Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base
2024,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,12.51,12.47,12.51
2030,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,10.7,10.61,11.07
2050,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.50445,6.35084,7.41314
2024,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,33.05,31.91,33.05
2030,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,24.02,23.05,28.39
2050,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,10.91,9.26251,17.57
2024,SanitAccessImpNumb,Improved sanitation access (number of people),HDI High,2879,2883,2879
2030,SanitAccessImpNumb,Improved sanitation access (number of people),HDI High,3012,3024,2963
2050,SanitAccessImpNumb,Improved sanitation access (number of people),HDI High,3131,3130,3043
2024,Sanitation%Improved,Improved sanitation access (percent),HDI High,94.92,95.07,94.92
2030,Sanitation%Improved,Improved sanitation access (percent),HDI High,97.19,97.6,95.58
2050,Sanitation%Improved,Improved sanitation access (percent),HDI High,100,100,97.01
2024,WatSafImpNumb,Improved water access (number of people),HDI High,2927,2930,2927
2030,WatSafImpNumb,Improved water access (number of people),HDI High,3038,3044,3008
2050,WatSafImpNumb,Improved water access (number of people),HDI High,3131,3130,3080
2024,Water%Improved,Improved water access (percent) ,HDI High,96.52,96.6,96.52
2030,Water%Improved,Improved water access (percent) ,HDI High,98,98.25,97.04
2050,Water%Improved,Improved water access (percent) ,HDI High,100,100,98.21
2024,MALNCHIL,Malnourished children under 5 (number of children),HDI High,12,11.98,12
2030,MALNCHIL,Malnourished children under 5 (number of children),HDI High,9.68692,9.54765,10.06
2050,MALNCHIL,Malnourished children under 5 (number of children),HDI High,5.82205,5.79514,6.41118
2024,MALNCHP,Malnourished children under 5 (percent) ,HDI High,6.34629,6.33411,6.34629
2030,MALNCHP,Malnourished children under 5 (percent) ,HDI High,5.44455,5.39356,5.63858
2050,MALNCHP,Malnourished children under 5 (percent) ,HDI High,3.76343,3.74803,4.04249
2024,MalnPop,Malnourished population (number of people),HDI High,66.95,65.93,66.95
2030,MalnPop,Malnourished population (number of people),HDI High,39.39,37.28,50.39
2050,MalnPop,Malnourished population (number of people),HDI High,4.69158,4.33592,18.91
2024,MALNPOPP,Malnourished population (percent) ,HDI High,2.20749,2.17368,2.20749
2030,MALNPOPP,Malnourished population (percent) ,HDI High,1.27082,1.20314,1.62565
2050,MALNPOPP,Malnourished population (percent) ,HDI High,0.14983,0.13852,0.60308
2024,MATMORTRATIO,Maternal mortality (ratio),HDI High,58.05,58.06,58.05
2030,MATMORTRATIO,Maternal mortality (ratio),HDI High,46.35,45.92,47.2
2050,MATMORTRATIO,Maternal mortality (ratio),HDI High,24.99,24.58,26.15
2024,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI High,8.24925,8.23026,8.24925
2030,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI High,7.16953,6.93645,6.9888
2050,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI High,4.64797,4.06189,4.14669
2024,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI High,55.42,53.44,55.42
2030,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI High,40.65,38.84,48.22
2050,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI High,19.95,16.22,32.26
2024,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI High,1.82727,1.76208,1.82727
2030,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI High,1.31157,1.25348,1.55571
2050,PovPerc190HF,Poverty <$1.90 per day (percent of population),HDI High,0.63702,0.51814,1.02874
2024,EDPRICR,Primary education gross completion rate (percent) ,HDI High,101.5,101.5,101.5
2030,EDPRICR,Primary education gross completion rate (percent) ,HDI High,100.9,101.4,101.3
2050,EDPRICR,Primary education gross completion rate (percent) ,HDI High,99.97,100,100
2024,EDSECPER,Secondary education gross completion rate (percent) ,HDI High,42.75,42.76,42.75
2030,EDSECPER,Secondary education gross completion rate (percent) ,HDI High,46.23,46.4,46.36
2050,EDSECPER,Secondary education gross completion rate (percent) ,HDI High,58.72,59.96,59.82
2024,POVCOUNTSD,"Poverty Headcount , Sex Difference by Age",HDI High,64.71,62.51,64.71
2030,POVCOUNTSD,"Poverty Headcount , Sex Difference by Age",HDI High,56.49,46.27,48.13
2050,POVCOUNTSD,"Poverty Headcount , Sex Difference by Age",HDI High,35.91,18.44,21.78
2024,POVRATE,"Poverty Rate, Sex Difference (Female minus male), percent",HDI High,2.13347,2.0609,2.13347
2030,POVRATE,"Poverty Rate, Sex Difference (Female minus male), percent",HDI High,1.55274,1.49329,1.82256
2050,POVRATE,"Poverty Rate, Sex Difference (Female minus male), percent",HDI High,0.69569,0.58919,1.14494
2024,POVCOUNTR,"Poverty Headcount Ratio, Female to Male by Age",HDI High,1.0437,1.04263,1.0437
2030,POVCOUNTR,"Poverty Headcount Ratio, Female to Male by Age",HDI High,0.99674,0.99283,1.01011
2050,POVCOUNTR,"Poverty Headcount Ratio, Female to Male by Age",HDI High,1.00286,1.00896,0.95843
2024,POVCOUNT25,"Poverty Headcount, Sex Difference (Female minus Male), Age 25-34, millions",HDI High,1.11615,1.11784,1.11615
2030,POVCOUNT25,"Poverty Headcount, Sex Difference (Female minus Male), Age 25-34, millions",HDI High,1.06392,1.06167,1.0704
2050,POVCOUNT25,"Poverty Headcount, Sex Difference (Female minus Male), Age 25-34, millions",HDI High,0.96386,0.97398,0.93298
2024,POVRATESD,"Poverty Rate, Sex Difference (Female minus male), Ages 25-34, percent",HDI High,2.023,1.95473,2.023
2030,POVRATESD,"Poverty Rate, Sex Difference (Female minus male), Ages 25-34, percent",HDI High,1.49061,1.4348,1.74657
2050,POVRATESD,"Poverty Rate, Sex Difference (Female minus male), Ages 25-34, percent",HDI High,0.65927,0.56159,1.08616
2024,HLSTUNTCHL,Stunted children under 5 (rate) ,HDI High,13.4,13.4,13.4
2030,HLSTUNTCHL,Stunted children under 5 (rate) ,HDI High,11.57,11.49,11.79
2050,HLSTUNTCHL,Stunted children under 5 (rate) ,HDI High,6.73394,6.67257,7.41367
2024,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,69.68,69.08,69.68
2030,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,57.68,57.36,60.24
2050,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,32.73,31.91,38.15
2024,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,213.4,211.7,213.4
2030,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,208.6,207.4,216.2
2050,POVCOUNTF,Female poverty headcount (number of people) ,HDI Low,137.7,132.4,193
2024,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,537.6,542.1,537.6
2030,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,745.4,760.1,682.6
2050,SanitAccessImpNumb,Improved sanitation access (number of people),HDI Low,1914,1919,1389
2024,Sanitation%Improved,Improved sanitation access (percent),HDI Low,48.97,49.38,48.97
2030,Sanitation%Improved,Improved sanitation access (percent),HDI Low,57.54,58.7,52.68
2050,Sanitation%Improved,Improved sanitation access (percent),HDI Low,94.92,95.53,67.45
2024,WatSafImpNumb,Improved water access (number of people),HDI Low,859.7,861.9,859.7
2030,WatSafImpNumb,Improved water access (number of people),HDI Low,1070,1079,1034
2050,WatSafImpNumb,Improved water access (number of people),HDI Low,1994,1990,1794
2024,Water%Improved,Improved water access (percent) ,HDI Low,78.31,78.51,78.31
2030,Water%Improved,Improved water access (percent) ,HDI Low,82.57,83.29,79.77
2050,Water%Improved,Improved water access (percent) ,HDI Low,98.88,99.05,87.11
2024,MALNCHIL,Malnourished children under 5 (number of children),HDI Low,32.88,32.19,32.88
2030,MALNCHIL,Malnourished children under 5 (number of children),HDI Low,31.09,30.89,32.57
2050,MALNCHIL,Malnourished children under 5 (number of children),HDI Low,17.84,17.44,23.03
