Baseline,JET SDG,SDG Push,Year,indicator
3.362,3.362,3.362,2019,CarbonEmissions
3.341,3.341,3.341,2020,CarbonEmissions
3.382,3.382,3.382,2021,CarbonEmissions
3.431,3.431,3.431,2022,CarbonEmissions
3.437,3.437,3.437,2023,CarbonEmissions
3.435,3.436,3.435,2024,CarbonEmissions
3.421,3.365,3.421,2025,CarbonEmissions
3.405,3.239,3.405,2026,CarbonEmissions
3.397,3.069,3.396,2027,CarbonEmissions
3.412,2.892,3.409,2028,CarbonEmissions
3.439,2.707,3.437,2029,CarbonEmissions
3.469,2.527,3.471,2030,CarbonEmissions
3.49,2.375,3.499,2031,CarbonEmissions
3.49,2.237,3.507,2032,CarbonEmissions
3.477,2.112,3.503,2033,CarbonEmissions
3.454,1.997,3.487,2034,CarbonEmissions
3.426,1.888,3.466,2035,CarbonEmissions
3.393,1.786,3.44,2036,CarbonEmissions
3.354,1.681,3.409,2037,CarbonEmissions
3.316,1.576,3.377,2038,CarbonEmissions
3.282,1.473,3.348,2039,CarbonEmissions
3.253,1.374,3.325,2040,CarbonEmissions
3.224,1.282,3.303,2041,CarbonEmissions
3.195,1.199,3.28,2042,CarbonEmissions
3.166,1.12,3.257,2043,CarbonEmissions
3.13,1.045,3.226,2044,CarbonEmissions
3.091,0.973,3.19,2045,CarbonEmissions
3.051,0.904,3.154,2046,CarbonEmissions
3.01,0.849,3.117,2047,CarbonEmissions
2.971,0.802,3.08,2048,CarbonEmissions
2.931,0.761,3.044,2049,CarbonEmissions
2.892,0.728,3.014,2050,CarbonEmissions
2.851,0.699,2.98,2051,CarbonEmissions
2.809,0.677,2.941,2052,CarbonEmissions
2.766,0.655,2.9,2053,CarbonEmissions
2.723,0.634,2.857,2054,CarbonEmissions
2.683,0.613,2.815,2055,CarbonEmissions
2.642,0.589,2.774,2056,CarbonEmissions
2.602,0.561,2.733,2057,CarbonEmissions
2.562,0.535,2.693,2058,CarbonEmissions
2.524,0.507,2.651,2059,CarbonEmissions
2.485,0.483,2.611,2060,CarbonEmissions
2.446,0.46,2.572,2061,CarbonEmissions
2.408,0.438,2.535,2062,CarbonEmissions
2.372,0.418,2.498,2063,CarbonEmissions
2.335,0.398,2.464,2064,CarbonEmissions
2.296,0.381,2.43,2065,CarbonEmissions
2.253,0.365,2.396,2066,CarbonEmissions
2.209,0.351,2.362,2067,CarbonEmissions
2.165,0.338,2.33,2068,CarbonEmissions
2.122,0.326,2.296,2069,CarbonEmissions
2.076,0.315,2.257,2070,CarbonEmissions
2.032,0.304,2.209,2071,CarbonEmissions
1.985,0.294,2.156,2072,CarbonEmissions
1.937,0.285,2.104,2073,CarbonEmissions
1.89,0.276,2.053,2074,CarbonEmissions
1.844,0.268,2.006,2075,CarbonEmissions
1.799,0.26,1.961,2076,CarbonEmissions
1.757,0.251,1.917,2077,CarbonEmissions
1.715,0.244,1.873,2078,CarbonEmissions
1.675,0.236,1.828,2079,CarbonEmissions
1.635,0.229,1.784,2080,CarbonEmissions
1.597,0.223,1.74,2081,CarbonEmissions
1.558,0.216,1.696,2082,CarbonEmissions
1.52,0.21,1.652,2083,CarbonEmissions
1.482,0.204,1.607,2084,CarbonEmissions
1.446,0.198,1.561,2085,CarbonEmissions
1.41,0.193,1.515,2086,CarbonEmissions
1.374,0.188,1.472,2087,CarbonEmissions
1.339,0.183,1.431,2088,CarbonEmissions
1.304,0.179,1.391,2089,CarbonEmissions
1.271,0.175,1.353,2090,CarbonEmissions
1.237,0.171,1.315,2091,CarbonEmissions
1.203,0.168,1.278,2092,CarbonEmissions
1.17,0.165,1.242,2093,CarbonEmissions
1.138,0.163,1.206,2094,CarbonEmissions
1.105,0.161,1.17,2095,CarbonEmissions
1.074,0.159,1.134,2096,CarbonEmissions
1.042,0.157,1.099,2097,CarbonEmissions
1.012,0.155,1.066,2098,CarbonEmissions
0.983,0.153,1.034,2099,CarbonEmissions
0.955,0.152,1.004,2100,CarbonEmissions
2.055,2.055,2.055,2019,CarbonEmissions_per_capita
2.038,2.038,2.038,2020,CarbonEmissions_per_capita
2.061,2.061,2.061,2021,CarbonEmissions_per_capita
2.09,2.09,2.09,2022,CarbonEmissions_per_capita
2.093,2.093,2.093,2023,CarbonEmissions_per_capita
2.093,2.093,2.093,2024,CarbonEmissions_per_capita
2.085,2.051,2.085,2025,CarbonEmissions_per_capita
2.076,1.975,2.076,2026,CarbonEmissions_per_capita
2.073,1.873,2.072,2027,CarbonEmissions_per_capita
2.084,1.766,2.082,2028,CarbonEmissions_per_capita
2.103,1.655,2.101,2029,CarbonEmissions_per_capita
2.124,1.547,2.125,2030,CarbonEmissions_per_capita
2.141,1.456,2.146,2031,CarbonEmissions_per_capita
2.145,1.374,2.154,2032,CarbonEmissions_per_capita
2.141,1.3,2.156,2033,CarbonEmissions_per_capita
2.132,1.232,2.151,2034,CarbonEmissions_per_capita
2.121,1.168,2.144,2035,CarbonEmissions_per_capita
2.106,1.108,2.133,2036,CarbonEmissions_per_capita
2.088,1.045,2.12,2037,CarbonEmissions_per_capita
2.071,0.983,2.107,2038,CarbonEmissions_per_capita
2.057,0.921,2.095,2039,CarbonEmissions_per_capita
2.046,0.863,2.088,2040,CarbonEmissions_per_capita
2.036,0.808,2.081,2041,CarbonEmissions_per_capita
2.026,0.758,2.075,2042,CarbonEmissions_per_capita
2.016,0.711,2.069,2043,CarbonEmissions_per_capita
2.002,0.666,2.058,2044,CarbonEmissions_per_capita
1.987,0.623,2.044,2045,CarbonEmissions_per_capita
1.971,0.582,2.031,2046,CarbonEmissions_per_capita
1.956,0.549,2.017,2047,CarbonEmissions_per_capita
1.941,0.522,2.004,2048,CarbonEmissions_per_capita
1.927,0.498,1.993,2049,CarbonEmissions_per_capita
1.913,0.479,1.985,2050,CarbonEmissions_per_capita
1.899,0.463,1.975,2051,CarbonEmissions_per_capita
1.884,0.451,1.962,2052,CarbonEmissions_per_capita
1.869,0.44,1.948,2053,CarbonEmissions_per_capita
1.854,0.429,1.933,2054,CarbonEmissions_per_capita
1.841,0.417,1.919,2055,CarbonEmissions_per_capita
1.828,0.404,1.906,2056,CarbonEmissions_per_capita
1.815,0.388,1.892,2057,CarbonEmissions_per_capita
1.802,0.373,1.879,2058,CarbonEmissions_per_capita
1.79,0.357,1.865,2059,CarbonEmissions_per_capita
1.777,0.343,1.852,2060,CarbonEmissions_per_capita
1.764,0.329,1.839,2061,CarbonEmissions_per_capita
1.752,0.316,1.828,2062,CarbonEmissions_per_capita
1.741,0.304,1.817,2063,CarbonEmissions_per_capita
1.729,0.292,1.807,2064,CarbonEmissions_per_capita
1.715,0.281,1.798,2065,CarbonEmissions_per_capita
1.698,0.272,1.788,2066,CarbonEmissions_per_capita
1.68,0.264,1.778,2067,CarbonEmissions_per_capita
1.661,0.257,1.769,2068,CarbonEmissions_per_capita
1.642,0.25,1.759,2069,CarbonEmissions_per_capita
1.621,0.243,1.744,2070,CarbonEmissions_per_capita
1.6,0.237,1.722,2071,CarbonEmissions_per_capita
1.578,0.231,1.696,2072,CarbonEmissions_per_capita
1.553,0.226,1.669,2073,CarbonEmissions_per_capita
1.529,0.221,1.643,2074,CarbonEmissions_per_capita
1.505,0.216,1.62,2075,CarbonEmissions_per_capita
1.481,0.211,1.597,2076,CarbonEmissions_per_capita
1.459,0.206,1.575,2077,CarbonEmissions_per_capita
1.438,0.202,1.552,2078,CarbonEmissions_per_capita
1.417,0.198,1.529,2079,CarbonEmissions_per_capita
1.396,0.193,1.505,2080,CarbonEmissions_per_capita
1.375,0.189,1.481,2081,CarbonEmissions_per_capita
1.354,0.186,1.457,2082,CarbonEmissions_per_capita
1.333,0.182,1.432,2083,CarbonEmissions_per_capita
1.312,0.178,1.405,2084,CarbonEmissions_per_capita
1.291,0.175,1.378,2085,CarbonEmissions_per_capita
1.271,0.172,1.35,2086,CarbonEmissions_per_capita
1.25,0.169,1.323,2087,CarbonEmissions_per_capita
1.229,0.166,1.298,2088,CarbonEmissions_per_capita
1.208,0.164,1.274,2089,CarbonEmissions_per_capita
1.187,0.161,1.25,2090,CarbonEmissions_per_capita
1.166,0.159,1.226,2091,CarbonEmissions_per_capita
1.144,0.158,1.202,2092,CarbonEmissions_per_capita
1.122,0.157,1.178,2093,CarbonEmissions_per_capita
1.101,0.156,1.154,2094,CarbonEmissions_per_capita
1.079,0.155,1.13,2095,CarbonEmissions_per_capita
1.057,0.155,1.105,2096,CarbonEmissions_per_capita
1.035,0.154,1.08,2097,CarbonEmissions_per_capita
1.014,0.154,1.056,2098,CarbonEmissions_per_capita
0.993,0.153,1.034,2099,CarbonEmissions_per_capita
0.973,0.153,1.013,2100,CarbonEmissions_per_capita
6.611,6.611,6.611,2019,ChildMort5Yrs
6.437,6.437,6.437,2020,ChildMort5Yrs
6.175,6.175,6.175,2021,ChildMort5Yrs
6.202,6.202,6.202,2022,ChildMort5Yrs
6.209,6.209,6.209,2023,ChildMort5Yrs
6.252,6.252,6.252,2024,ChildMort5Yrs
6.253,6.251,6.249,2025,ChildMort5Yrs
6.186,6.179,6.18,2026,ChildMort5Yrs
6.033,6.014,6.014,2027,ChildMort5Yrs
5.875,5.841,5.845,2028,ChildMort5Yrs
5.698,5.646,5.654,2029,ChildMort5Yrs
5.546,5.475,5.489,2030,ChildMort5Yrs
5.417,5.327,5.345,2031,ChildMort5Yrs
5.306,5.191,5.217,2032,ChildMort5Yrs
5.204,5.069,5.101,2033,ChildMort5Yrs
5.11,4.952,4.99,2034,ChildMort5Yrs
5.018,4.838,4.88,2035,ChildMort5Yrs
4.925,4.724,4.769,2036,ChildMort5Yrs
4.832,4.609,4.657,2037,ChildMort5Yrs
4.735,4.492,4.543,2038,ChildMort5Yrs
4.635,4.374,4.427,2039,ChildMort5Yrs
4.531,4.256,4.31,2040,ChildMort5Yrs
4.423,4.135,4.191,2041,ChildMort5Yrs
4.316,4.015,4.072,2042,ChildMort5Yrs
4.211,3.898,3.957,2043,ChildMort5Yrs
4.111,3.787,3.846,2044,ChildMort5Yrs
4.014,3.681,3.74,2045,ChildMort5Yrs
3.921,3.579,3.638,2046,ChildMort5Yrs
3.832,3.481,3.54,2047,ChildMort5Yrs
3.747,3.388,3.448,2048,ChildMort5Yrs
3.67,3.303,3.362,2049,ChildMort5Yrs
3.597,3.225,3.282,2050,ChildMort5Yrs
3.53,3.153,3.207,2051,ChildMort5Yrs
3.467,3.083,3.136,2052,ChildMort5Yrs
3.405,3.016,3.068,2053,ChildMort5Yrs
3.345,2.953,3.002,2054,ChildMort5Yrs
3.287,2.893,2.939,2055,ChildMort5Yrs
3.232,2.836,2.879,2056,ChildMort5Yrs
3.179,2.782,2.822,2057,ChildMort5Yrs
3.126,2.728,2.767,2058,ChildMort5Yrs
3.071,2.674,2.711,2059,ChildMort5Yrs
3.017,2.62,2.654,2060,ChildMort5Yrs
2.963,2.565,2.599,2061,ChildMort5Yrs
2.91,2.511,2.543,2062,ChildMort5Yrs
2.857,2.459,2.489,2063,ChildMort5Yrs
2.806,2.407,2.436,2064,ChildMort5Yrs
2.755,2.358,2.384,2065,ChildMort5Yrs
2.705,2.31,2.334,2066,ChildMort5Yrs
2.654,2.261,2.284,2067,ChildMort5Yrs
2.603,2.212,2.234,2068,ChildMort5Yrs
