Baseline,SDG Push,JET SDG,Year,indicator
0.05986,0.05986,0.05986,2019,CarbonEmissions
0.06007,0.06007,0.06007,2020,CarbonEmissions
0.06033,0.06033,0.06033,2021,CarbonEmissions
0.06042,0.06042,0.06042,2022,CarbonEmissions
0.06093,0.06093,0.06093,2023,CarbonEmissions
0.06115,0.06115,0.06115,2024,CarbonEmissions
0.06129,0.06129,0.06176,2025,CarbonEmissions
0.06155,0.06155,0.06228,2026,CarbonEmissions
0.06195,0.06195,0.06259,2027,CarbonEmissions
0.06216,0.06213,0.06232,2028,CarbonEmissions
0.0624,0.06237,0.0619,2029,CarbonEmissions
0.06267,0.06266,0.06135,2030,CarbonEmissions
0.06286,0.0629,0.06055,2031,CarbonEmissions
0.06288,0.063,0.05992,2032,CarbonEmissions
0.06279,0.063,0.05942,2033,CarbonEmissions
0.06262,0.06289,0.05904,2034,CarbonEmissions
0.0624,0.06274,0.0586,2035,CarbonEmissions
0.06215,0.0626,0.05826,2036,CarbonEmissions
0.0619,0.06244,0.05819,2037,CarbonEmissions
0.06164,0.0622,0.05802,2038,CarbonEmissions
0.06135,0.06193,0.0577,2039,CarbonEmissions
0.06107,0.06168,0.0573,2040,CarbonEmissions
0.06075,0.06142,0.05686,2041,CarbonEmissions
0.06038,0.06111,0.0564,2042,CarbonEmissions
0.05999,0.06077,0.05593,2043,CarbonEmissions
0.05952,0.06033,0.05545,2044,CarbonEmissions
0.05901,0.05984,0.055,2045,CarbonEmissions
0.0585,0.05934,0.05444,2046,CarbonEmissions
0.05795,0.05882,0.05363,2047,CarbonEmissions
0.05741,0.0583,0.05297,2048,CarbonEmissions
0.05687,0.05781,0.05239,2049,CarbonEmissions
0.05635,0.05739,0.05176,2050,CarbonEmissions
0.05583,0.05691,0.05122,2051,CarbonEmissions
0.05531,0.05642,0.05078,2052,CarbonEmissions
0.0548,0.05591,0.05041,2053,CarbonEmissions
0.05429,0.05538,0.05004,2054,CarbonEmissions
0.05379,0.05487,0.0497,2055,CarbonEmissions
0.05328,0.05435,0.04939,2056,CarbonEmissions
0.05278,0.05384,0.04891,2057,CarbonEmissions
0.05227,0.05334,0.04845,2058,CarbonEmissions
0.05179,0.05284,0.0479,2059,CarbonEmissions
0.05131,0.05237,0.04744,2060,CarbonEmissions
0.05084,0.05192,0.04697,2061,CarbonEmissions
0.0504,0.05149,0.04652,2062,CarbonEmissions
0.04999,0.05109,0.0461,2063,CarbonEmissions
0.04961,0.05072,0.04569,2064,CarbonEmissions
0.04926,0.05038,0.04521,2065,CarbonEmissions
0.04894,0.05008,0.04481,2066,CarbonEmissions
0.04864,0.04979,0.04446,2067,CarbonEmissions
0.04834,0.0495,0.04414,2068,CarbonEmissions
0.04804,0.04918,0.04383,2069,CarbonEmissions
0.04772,0.04884,0.04361,2070,CarbonEmissions
0.04741,0.04849,0.04337,2071,CarbonEmissions
0.04709,0.04813,0.04314,2072,CarbonEmissions
0.04677,0.0478,0.04291,2073,CarbonEmissions
0.04646,0.04749,0.04271,2074,CarbonEmissions
0.04617,0.0472,0.04248,2075,CarbonEmissions
0.04589,0.04693,0.04228,2076,CarbonEmissions
0.04562,0.04668,0.04206,2077,CarbonEmissions
0.04537,0.04642,0.04185,2078,CarbonEmissions
0.04513,0.04617,0.04163,2079,CarbonEmissions
0.0449,0.04593,0.04142,2080,CarbonEmissions
0.04468,0.0457,0.04121,2081,CarbonEmissions
0.04448,0.04547,0.04101,2082,CarbonEmissions
0.04429,0.04526,0.04082,2083,CarbonEmissions
0.04411,0.04507,0.04063,2084,CarbonEmissions
0.04396,0.04489,0.04046,2085,CarbonEmissions
