Baseline,SDG Push,JET SDG,Year,indicator
0.00211,0.00211,0.00211,2019,CarbonEmissions
0.00232,0.00232,0.00232,2020,CarbonEmissions
0.0025,0.0025,0.0025,2021,CarbonEmissions
0.00269,0.00269,0.00269,2022,CarbonEmissions
0.00289,0.00289,0.00289,2023,CarbonEmissions
0.00306,0.00306,0.00306,2024,CarbonEmissions
0.00323,0.00323,0.00334,2025,CarbonEmissions
0.00342,0.00342,0.0036,2026,CarbonEmissions
0.00363,0.00363,0.00385,2027,CarbonEmissions
0.00384,0.00384,0.00403,2028,CarbonEmissions
0.00408,0.00409,0.00419,2029,CarbonEmissions
0.00433,0.00435,0.00432,2030,CarbonEmissions
0.00458,0.00462,0.00443,2031,CarbonEmissions
0.00483,0.00489,0.00454,2032,CarbonEmissions
0.00506,0.00514,0.00467,2033,CarbonEmissions
0.00529,0.00539,0.00481,2034,CarbonEmissions
0.00553,0.00565,0.00495,2035,CarbonEmissions
0.00577,0.00592,0.00508,2036,CarbonEmissions
0.00602,0.00621,0.00522,2037,CarbonEmissions
0.00629,0.0065,0.00532,2038,CarbonEmissions
0.00657,0.0068,0.00538,2039,CarbonEmissions
0.00687,0.00713,0.00536,2040,CarbonEmissions
0.00718,0.00748,0.0053,2041,CarbonEmissions
0.00751,0.00784,0.00518,2042,CarbonEmissions
0.00785,0.00823,0.00505,2043,CarbonEmissions
0.0082,0.00861,0.00492,2044,CarbonEmissions
0.00855,0.009,0.00478,2045,CarbonEmissions
0.00891,0.00941,0.00466,2046,CarbonEmissions
0.00929,0.00984,0.00455,2047,CarbonEmissions
0.00969,0.01029,0.00447,2048,CarbonEmissions
0.01011,0.01078,0.00442,2049,CarbonEmissions
0.01056,0.01131,0.00443,2050,CarbonEmissions
0.01102,0.01186,0.00449,2051,CarbonEmissions
0.01149,0.0124,0.00458,2052,CarbonEmissions
0.01198,0.01295,0.0047,2053,CarbonEmissions
0.01248,0.01351,0.00483,2054,CarbonEmissions
0.01298,0.01408,0.00495,2055,CarbonEmissions
0.01349,0.01465,0.00503,2056,CarbonEmissions
0.014,0.01525,0.0051,2057,CarbonEmissions
0.01452,0.01587,0.00511,2058,CarbonEmissions
0.01504,0.0165,0.00512,2059,CarbonEmissions
0.01556,0.01715,0.00509,2060,CarbonEmissions
0.01607,0.01781,0.00504,2061,CarbonEmissions
0.01659,0.01851,0.00496,2062,CarbonEmissions
0.01713,0.01922,0.00487,2063,CarbonEmissions
0.01766,0.01996,0.00478,2064,CarbonEmissions
0.01822,0.02072,0.0047,2065,CarbonEmissions
0.01878,0.02152,0.00463,2066,CarbonEmissions
0.01936,0.02233,0.00457,2067,CarbonEmissions
0.01995,0.02318,0.00452,2068,CarbonEmissions
0.02057,0.02401,0.00449,2069,CarbonEmissions
0.0212,0.02486,0.00446,2070,CarbonEmissions
0.02187,0.02572,0.00445,2071,CarbonEmissions
0.02254,0.02656,0.00446,2072,CarbonEmissions
0.02321,0.02743,0.00447,2073,CarbonEmissions
0.02387,0.02833,0.00446,2074,CarbonEmissions
0.02452,0.02932,0.00448,2075,CarbonEmissions
0.02516,0.03031,0.00447,2076,CarbonEmissions
0.02582,0.03133,0.00447,2077,CarbonEmissions
0.02645,0.03234,0.00445,2078,CarbonEmissions
0.02705,0.03328,0.00444,2079,CarbonEmissions
0.02765,0.03423,0.0044,2080,CarbonEmissions
0.02825,0.03517,0.00437,2081,CarbonEmissions
0.02881,0.03609,0.0043,2082,CarbonEmissions
0.02935,0.037,0.00422,2083,CarbonEmissions
0.02988,0.03792,0.00413,2084,CarbonEmissions
0.03043,0.03883,0.00403,2085,CarbonEmissions
0.03098,0.03975,0.00392,2086,CarbonEmissions
0.03155,0.04069,0.00381,2087,CarbonEmissions
0.03214,0.0417,0.00371,2088,CarbonEmissions
0.03272,0.04276,0.00361,2089,CarbonEmissions
0.03331,0.04378,0.00349,2090,CarbonEmissions
0.03386,0.04459,0.00339,2091,CarbonEmissions
0.03434,0.04535,0.00331,2092,CarbonEmissions
0.03485,0.04603,0.00324,2093,CarbonEmissions
0.03533,0.04668,0.00319,2094,CarbonEmissions
0.03577,0.0472,0.00317,2095,CarbonEmissions
0.03616,0.04756,0.00316,2096,CarbonEmissions
0.03653,0.04785,0.00316,2097,CarbonEmissions
0.0369,0.04808,0.00318,2098,CarbonEmissions
0.03724,0.04806,0.0032,2099,CarbonEmissions
0.03766,0.04793,0.00323,2100,CarbonEmissions
86.44,86.44,86.44,2019,ChildMort5Yrs
84.98,84.98,84.98,2020,ChildMort5Yrs
81.37,81.37,81.37,2021,ChildMort5Yrs
77.96,77.96,77.96,2022,ChildMort5Yrs
75.32,75.32,75.32,2023,ChildMort5Yrs
72.65,72.65,72.65,2024,ChildMort5Yrs
69.92,69.76,69.76,2025,ChildMort5Yrs
67.35,66.84,66.84,2026,ChildMort5Yrs
65.16,64,63.99,2027,ChildMort5Yrs
62.95,61.34,61.32,2028,ChildMort5Yrs
60.9,58.84,58.78,2029,ChildMort5Yrs
58.97,56.46,56.36,2030,ChildMort5Yrs
57.08,54.17,54.03,2031,ChildMort5Yrs
55.24,51.97,51.8,2032,ChildMort5Yrs
53.46,49.86,49.67,2033,ChildMort5Yrs
51.73,47.84,47.63,2034,ChildMort5Yrs
50.03,45.9,45.69,2035,ChildMort5Yrs
48.38,44.05,43.83,2036,ChildMort5Yrs
46.78,42.29,42.07,2037,ChildMort5Yrs
45.22,40.65,40.42,2038,ChildMort5Yrs
43.7,39.1,38.87,2039,ChildMort5Yrs
