Baseline,SDG Push,JET SDG,Year,indicator
0.03067,0.03067,0.03067,2019,CarbonEmissions
0.03509,0.03509,0.03509,2020,CarbonEmissions
0.03764,0.03764,0.03764,2021,CarbonEmissions
0.0389,0.0389,0.0389,2022,CarbonEmissions
0.04161,0.04161,0.04161,2023,CarbonEmissions
0.04483,0.04483,0.04484,2024,CarbonEmissions
0.04747,0.04747,0.04957,2025,CarbonEmissions
0.05046,0.05046,0.05427,2026,CarbonEmissions
0.05375,0.05373,0.05853,2027,CarbonEmissions
0.05697,0.05692,0.06178,2028,CarbonEmissions
0.06055,0.06048,0.0646,2029,CarbonEmissions
0.0642,0.06417,0.06699,2030,CarbonEmissions
0.06768,0.06775,0.06888,2031,CarbonEmissions
0.07078,0.07099,0.0709,2032,CarbonEmissions
0.07371,0.07409,0.07303,2033,CarbonEmissions
0.07651,0.07696,0.07492,2034,CarbonEmissions
0.07927,0.07985,0.07666,2035,CarbonEmissions
0.08194,0.08277,0.0783,2036,CarbonEmissions
0.08462,0.08571,0.07987,2037,CarbonEmissions
0.08728,0.08849,0.08075,2038,CarbonEmissions
0.08984,0.09123,0.08073,2039,CarbonEmissions
0.09263,0.09406,0.07939,2040,CarbonEmissions
0.09574,0.09727,0.07723,2041,CarbonEmissions
0.09913,0.10083,0.07439,2042,CarbonEmissions
0.1027,0.10466,0.07119,2043,CarbonEmissions
0.10609,0.10813,0.06782,2044,CarbonEmissions
0.10938,0.11173,0.06434,2045,CarbonEmissions
0.11273,0.11544,0.06118,2046,CarbonEmissions
0.11609,0.11923,0.05807,2047,CarbonEmissions
0.11944,0.123,0.05521,2048,CarbonEmissions
0.1227,0.12688,0.05278,2049,CarbonEmissions
0.12589,0.13096,0.0511,2050,CarbonEmissions
0.12886,0.1348,0.04988,2051,CarbonEmissions
0.13161,0.13846,0.04895,2052,CarbonEmissions
0.13412,0.14194,0.04809,2053,CarbonEmissions
0.13637,0.14527,0.04731,2054,CarbonEmissions
0.13847,0.14842,0.04628,2055,CarbonEmissions
0.14039,0.15155,0.04478,2056,CarbonEmissions
0.1421,0.15446,0.0434,2057,CarbonEmissions
0.14351,0.15722,0.04155,2058,CarbonEmissions
0.14475,0.15964,0.03982,2059,CarbonEmissions
0.14564,0.16194,0.03769,2060,CarbonEmissions
0.14629,0.16398,0.03549,2061,CarbonEmissions
0.14677,0.16596,0.03316,2062,CarbonEmissions
0.14726,0.16771,0.03074,2063,CarbonEmissions
0.14758,0.16948,0.02842,2064,CarbonEmissions
0.14796,0.17111,0.02665,2065,CarbonEmissions
0.14823,0.17275,0.02485,2066,CarbonEmissions
0.14851,0.17416,0.0231,2067,CarbonEmissions
0.14865,0.17549,0.02145,2068,CarbonEmissions
0.14888,0.17644,0.0199,2069,CarbonEmissions
0.14892,0.17721,0.01838,2070,CarbonEmissions
0.14904,0.17774,0.01703,2071,CarbonEmissions
0.14899,0.17786,0.01578,2072,CarbonEmissions
0.14873,0.17797,0.01458,2073,CarbonEmissions
0.14838,0.17815,0.01336,2074,CarbonEmissions
0.14808,0.17856,0.01234,2075,CarbonEmissions
0.14778,0.1788,0.01123,2076,CarbonEmissions
0.14758,0.17916,0.01033,2077,CarbonEmissions
0.1472,0.17936,0.00932,2078,CarbonEmissions
0.14679,0.17918,0.00845,2079,CarbonEmissions
0.14638,0.17877,0.00754,2080,CarbonEmissions
0.146,0.17858,0.00672,2081,CarbonEmissions
0.14532,0.17807,0.0058,2082,CarbonEmissions
0.14447,0.17679,0.00485,2083,CarbonEmissions
0.14342,0.17498,0.00393,2084,CarbonEmissions
0.14223,0.17294,0.00302,2085,CarbonEmissions
0.14093,0.17081,0.00217,2086,CarbonEmissions
0.13961,0.16868,0.00135,2087,CarbonEmissions
0.13824,0.16649,0.00059,2088,CarbonEmissions
0.13685,0.16445,-0.00015,2089,CarbonEmissions
0.13544,0.16247,-0.00083,2090,CarbonEmissions
0.13388,0.16036,-0.00146,2091,CarbonEmissions
0.13209,0.15812,-0.00188,2092,CarbonEmissions
0.13023,0.15578,-0.00228,2093,CarbonEmissions
0.12833,0.15356,-0.00261,2094,CarbonEmissions
0.12631,0.15105,-0.00288,2095,CarbonEmissions
0.12415,0.14805,-0.00309,2096,CarbonEmissions
0.12193,0.14478,-0.00329,2097,CarbonEmissions
0.11971,0.14126,-0.00345,2098,CarbonEmissions
0.11738,0.13762,-0.00357,2099,CarbonEmissions
0.11488,0.13381,-0.00371,2100,CarbonEmissions
0.185,0.185,0.185,2019,CarbonEmissions_per_capita
0.21,0.21,0.21,2020,CarbonEmissions_per_capita
0.222,0.222,0.222,2021,CarbonEmissions_per_capita
0.227,0.227,0.227,2022,CarbonEmissions_per_capita
0.241,0.241,0.241,2023,CarbonEmissions_per_capita
0.256,0.256,0.257,2024,CarbonEmissions_per_capita
0.269,0.269,0.281,2025,CarbonEmissions_per_capita
0.283,0.283,0.305,2026,CarbonEmissions_per_capita
0.299,0.299,0.325,2027,CarbonEmissions_per_capita
0.314,0.314,0.341,2028,CarbonEmissions_per_capita
0.331,0.331,0.353,2029,CarbonEmissions_per_capita
0.348,0.349,0.364,2030,CarbonEmissions_per_capita
0.365,0.365,0.372,2031,CarbonEmissions_per_capita
0.379,0.38,0.38,2032,CarbonEmissions_per_capita
