Baseline,SDG Push,JET SDG,Year,indicator
0.00084,0.00084,0.00084,2019,CarbonEmissions
0.00141,0.00141,0.00141,2020,CarbonEmissions
0.00156,0.00156,0.00156,2021,CarbonEmissions
0.00158,0.00158,0.00158,2022,CarbonEmissions
0.00192,0.00192,0.00192,2023,CarbonEmissions
0.00234,0.00234,0.00231,2024,CarbonEmissions
0.00268,0.00268,0.00272,2025,CarbonEmissions
0.0031,0.0031,0.00316,2026,CarbonEmissions
0.00352,0.00351,0.00355,2027,CarbonEmissions
0.00408,0.00409,0.00407,2028,CarbonEmissions
0.00469,0.0047,0.00455,2029,CarbonEmissions
0.00534,0.00536,0.00503,2030,CarbonEmissions
0.00605,0.00608,0.00546,2031,CarbonEmissions
0.00681,0.00686,0.00595,2032,CarbonEmissions
0.00763,0.00771,0.00647,2033,CarbonEmissions
0.0085,0.0086,0.00708,2034,CarbonEmissions
0.00943,0.00958,0.00773,2035,CarbonEmissions
0.01043,0.01064,0.00845,2036,CarbonEmissions
0.01153,0.01181,0.00929,2037,CarbonEmissions
0.01272,0.01306,0.01011,2038,CarbonEmissions
0.014,0.01441,0.01088,2039,CarbonEmissions
0.01541,0.01589,0.01151,2040,CarbonEmissions
0.01693,0.01751,0.0121,2041,CarbonEmissions
0.01857,0.01926,0.01266,2042,CarbonEmissions
0.02034,0.02114,0.0132,2043,CarbonEmissions
0.02219,0.02312,0.01371,2044,CarbonEmissions
0.02417,0.02521,0.0142,2045,CarbonEmissions
0.02629,0.02746,0.01471,2046,CarbonEmissions
0.02856,0.02988,0.01505,2047,CarbonEmissions
0.031,0.03246,0.01544,2048,CarbonEmissions
0.0336,0.03527,0.01589,2049,CarbonEmissions
0.0364,0.03836,0.01651,2050,CarbonEmissions
0.03933,0.0417,0.01737,2051,CarbonEmissions
0.04268,0.0456,0.01842,2052,CarbonEmissions
0.04644,0.04985,0.01959,2053,CarbonEmissions
0.05048,0.05436,0.02085,2054,CarbonEmissions
0.05479,0.05906,0.02207,2055,CarbonEmissions
0.05934,0.06384,0.0232,2056,CarbonEmissions
0.06412,0.06869,0.02429,2057,CarbonEmissions
0.06912,0.0737,0.02514,2058,CarbonEmissions
0.0744,0.07887,0.02592,2059,CarbonEmissions
0.07966,0.08433,0.02652,2060,CarbonEmissions
0.08493,0.09006,0.027,2061,CarbonEmissions
0.09026,0.09614,0.02731,2062,CarbonEmissions
0.09581,0.10252,0.02746,2063,CarbonEmissions
0.10149,0.10925,0.02751,2064,CarbonEmissions
0.10741,0.11623,0.02767,2065,CarbonEmissions
0.11349,0.12464,0.02806,2066,CarbonEmissions
0.11979,0.13291,0.0283,2067,CarbonEmissions
0.12622,0.13786,0.02846,2068,CarbonEmissions
0.13261,0.14153,0.02854,2069,CarbonEmissions
0.13622,0.14419,0.02841,2070,CarbonEmissions
0.13916,0.14634,0.02834,2071,CarbonEmissions
0.1409,0.14779,0.02819,2072,CarbonEmissions
0.14205,0.14673,0.02792,2073,CarbonEmissions
0.14273,0.14543,0.0278,2074,CarbonEmissions
0.14297,0.14335,0.02759,2075,CarbonEmissions
0.14244,0.14039,0.02715,2076,CarbonEmissions
0.14066,0.13681,0.0266,2077,CarbonEmissions
0.13874,0.13265,0.02587,2078,CarbonEmissions
0.13641,0.12771,0.02508,2079,CarbonEmissions
0.13259,0.12079,0.02423,2080,CarbonEmissions
0.12877,0.11406,0.02338,2081,CarbonEmissions
0.12407,0.10634,0.02247,2082,CarbonEmissions
0.1186,0.09808,0.02165,2083,CarbonEmissions
0.11283,0.08954,0.02101,2084,CarbonEmissions
0.10643,0.08059,0.02047,2085,CarbonEmissions
0.09941,0.07137,0.01999,2086,CarbonEmissions
0.09173,0.0623,0.01955,2087,CarbonEmissions
0.08343,0.05331,0.01914,2088,CarbonEmissions
0.07444,0.04442,0.01873,2089,CarbonEmissions
0.06549,0.03566,0.01834,2090,CarbonEmissions
0.05658,0.02708,0.01787,2091,CarbonEmissions
0.04781,0.02125,0.01727,2092,CarbonEmissions
0.03926,0.02087,0.01685,2093,CarbonEmissions
0.03092,0.02054,0.01638,2094,CarbonEmissions
0.02382,0.02023,0.01577,2095,CarbonEmissions
0.02219,0.01995,0.01516,2096,CarbonEmissions
0.02054,0.0197,0.01453,2097,CarbonEmissions
0.01893,0.01949,0.01386,2098,CarbonEmissions
0.01739,0.01931,0.01261,2099,CarbonEmissions
0.01597,0.01919,0.01202,2100,CarbonEmissions
0.009,0.009,0.009,2019,CarbonEmissions_per_capita
0.015,0.015,0.015,2020,CarbonEmissions_per_capita
0.016,0.016,0.016,2021,CarbonEmissions_per_capita
0.016,0.016,0.016,2022,CarbonEmissions_per_capita
0.019,0.019,0.019,2023,CarbonEmissions_per_capita
0.022,0.022,0.022,2024,CarbonEmissions_per_capita
0.024,0.024,0.025,2025,CarbonEmissions_per_capita
0.027,0.027,0.028,2026,CarbonEmissions_per_capita
0.03,0.03,0.03,2027,CarbonEmissions_per_capita
0.033,0.034,0.033,2028,CarbonEmissions_per_capita
0.037,0.037,0.036,2029,CarbonEmissions_per_capita
0.041,0.041,0.039,2030,CarbonEmissions_per_capita
0.045,0.045,0.041,2031,CarbonEmissions_per_capita
0.049,0.05,0.043,2032,CarbonEmissions_per_capita
0.053,0.054,0.045,2033,CarbonEmissions_per_capita
0.058,0.059,0.048,2034,CarbonEmissions_per_capita
0.062,0.063,0.051,2035,CarbonEmissions_per_capita
0.067,0.068,0.054,2036,CarbonEmissions_per_capita
0.072,0.074,0.058,2037,CarbonEmissions_per_capita
0.077,0.079,0.061,2038,CarbonEmissions_per_capita
0.082,0.085,0.064,2039,CarbonEmissions_per_capita
0.088,0.091,0.066,2040,CarbonEmissions_per_capita
0.094,0.098,0.068,2041,CarbonEmissions_per_capita
0.1,0.105,0.069,2042,CarbonEmissions_per_capita
0.107,0.112,0.07,2043,CarbonEmissions_per_capita
0.113,0.119,0.071,2044,CarbonEmissions_per_capita
0.12,0.127,0.072,2045,CarbonEmissions_per_capita
0.127,0.135,0.072,2046,CarbonEmissions_per_capita
0.135,0.144,0.072,2047,CarbonEmissions_per_capita
0.143,0.153,0.073,2048,CarbonEmissions_per_capita
0.151,0.162,0.073,2049,CarbonEmissions_per_capita
0.16,0.173,0.074,2050,CarbonEmissions_per_capita
0.169,0.184,0.077,2051,CarbonEmissions_per_capita
0.179,0.197,0.08,2052,CarbonEmissions_per_capita
0.191,0.211,0.083,2053,CarbonEmissions_per_capita
0.203,0.226,0.087,2054,CarbonEmissions_per_capita
0.215,0.241,0.09,2055,CarbonEmissions_per_capita
0.228,0.256,0.093,2056,CarbonEmissions_per_capita
0.242,0.271,0.096,2057,CarbonEmissions_per_capita
0.256,0.286,0.098,2058,CarbonEmissions_per_capita
0.27,0.301,0.099,2059,CarbonEmissions_per_capita
0.284,0.317,0.1,2060,CarbonEmissions_per_capita
0.297,0.334,0.1,2061,CarbonEmissions_per_capita
0.31,0.352,0.1,2062,CarbonEmissions_per_capita
0.324,0.37,0.099,2063,CarbonEmissions_per_capita
0.337,0.389,0.098,2064,CarbonEmissions_per_capita
0.351,0.409,0.098,2065,CarbonEmissions_per_capita
0.366,0.434,0.098,2066,CarbonEmissions_per_capita
0.38,0.457,0.098,2067,CarbonEmissions_per_capita
0.395,0.469,0.097,2068,CarbonEmissions_per_capita
0.409,0.477,0.096,2069,CarbonEmissions_per_capita
0.414,0.481,0.095,2070,CarbonEmissions_per_capita
0.418,0.483,0.094,2071,CarbonEmissions_per_capita
0.418,0.483,0.092,2072,CarbonEmissions_per_capita
0.416,0.475,0.091,2073,CarbonEmissions_per_capita
0.414,0.466,0.089,2074,CarbonEmissions_per_capita
0.41,0.455,0.088,2075,CarbonEmissions_per_capita
0.404,0.442,0.086,2076,CarbonEmissions_per_capita
0.395,0.427,0.083,2077,CarbonEmissions_per_capita
0.386,0.411,0.08,2078,CarbonEmissions_per_capita
0.376,0.392,0.077,2079,CarbonEmissions_per_capita
0.362,0.368,0.074,2080,CarbonEmissions_per_capita
0.349,0.345,0.071,2081,CarbonEmissions_per_capita
0.334,0.319,0.068,2082,CarbonEmissions_per_capita
0.317,0.293,0.065,2083,CarbonEmissions_per_capita
0.299,0.265,0.062,2084,CarbonEmissions_per_capita
0.28,0.237,0.06,2085,CarbonEmissions_per_capita
0.26,0.209,0.059,2086,CarbonEmissions_per_capita
0.238,0.181,0.057,2087,CarbonEmissions_per_capita
0.215,0.154,0.056,2088,CarbonEmissions_per_capita
0.191,0.128,0.054,2089,CarbonEmissions_per_capita
0.167,0.102,0.053,2090,CarbonEmissions_per_capita
0.143,0.077,0.051,2091,CarbonEmissions_per_capita
0.12,0.06,0.049,2092,CarbonEmissions_per_capita
0.098,0.059,0.048,2093,CarbonEmissions_per_capita
0.077,0.058,0.046,2094,CarbonEmissions_per_capita
0.059,0.057,0.044,2095,CarbonEmissions_per_capita
0.055,0.056,0.043,2096,CarbonEmissions_per_capita
0.05,0.055,0.041,2097,CarbonEmissions_per_capita
0.046,0.054,0.039,2098,CarbonEmissions_per_capita
0.042,0.053,0.035,2099,CarbonEmissions_per_capita
0.039,0.053,0.033,2100,CarbonEmissions_per_capita
57.58,57.58,57.58,2019,ChildMort5Yrs
57.59,57.59,57.59,2020,ChildMort5Yrs
56.58,56.58,56.58,2021,ChildMort5Yrs
54.7,54.7,54.7,2022,ChildMort5Yrs
53.84,53.84,53.84,2023,ChildMort5Yrs
52.76,52.76,52.76,2024,ChildMort5Yrs
51.62,51,51,2025,ChildMort5Yrs
50.95,50.34,50.34,2026,ChildMort5Yrs
49.83,48.97,48.97,2027,ChildMort5Yrs
48.81,47.77,47.78,2028,ChildMort5Yrs
47.65,46.41,46.41,2029,ChildMort5Yrs
46.44,45.01,45,2030,ChildMort5Yrs
45.24,43.63,43.6,2031,ChildMort5Yrs
44.03,42.28,42.21,2032,ChildMort5Yrs
42.84,40.92,40.82,2033,ChildMort5Yrs
41.66,39.55,39.42,2034,ChildMort5Yrs
40.46,38.17,38.01,2035,ChildMort5Yrs
39.27,36.8,36.61,2036,ChildMort5Yrs
38.07,35.41,35.21,2037,ChildMort5Yrs
36.88,34.14,33.95,2038,ChildMort5Yrs
35.7,32.88,32.66,2039,ChildMort5Yrs
34.53,31.65,31.43,2040,ChildMort5Yrs
33.38,30.47,30.24,2041,ChildMort5Yrs
32.27,29.33,29.11,2042,ChildMort5Yrs
31.2,28.25,28.04,2043,ChildMort5Yrs
30.17,27.22,27.01,2044,ChildMort5Yrs
29.19,26.23,26.03,2045,ChildMort5Yrs
28.25,25.3,25.1,2046,ChildMort5Yrs
27.34,24.41,24.18,2047,ChildMort5Yrs
26.48,23.53,23.28,2048,ChildMort5Yrs
25.64,22.66,22.4,2049,ChildMort5Yrs
24.81,21.81,21.53,2050,ChildMort5Yrs
23.99,20.98,20.68,2051,ChildMort5Yrs
23.19,20.21,19.9,2052,ChildMort5Yrs
