Baseline,SDG Push,JET SDG,Year,indicator
0.00217,0.00217,0.00217,2019,CarbonEmissions
0.00234,0.00234,0.00234,2020,CarbonEmissions
0.00232,0.00232,0.00232,2021,CarbonEmissions
0.0024,0.0024,0.0024,2022,CarbonEmissions
0.00251,0.00251,0.00251,2023,CarbonEmissions
0.00257,0.00257,0.00257,2024,CarbonEmissions
0.00257,0.00257,0.00184,2025,CarbonEmissions
0.00255,0.00255,0.00104,2026,CarbonEmissions
0.00254,0.00253,0.00036,2027,CarbonEmissions
0.0026,0.0026,-0.00015,2028,CarbonEmissions
0.00266,0.00266,-0.00061,2029,CarbonEmissions
0.00271,0.00272,-0.00101,2030,CarbonEmissions
0.00275,0.00277,-0.00097,2031,CarbonEmissions
0.00276,0.0028,-0.00109,2032,CarbonEmissions
0.00278,0.00283,-0.00129,2033,CarbonEmissions
0.00279,0.00286,-0.00154,2034,CarbonEmissions
0.00281,0.0029,-0.00176,2035,CarbonEmissions
0.00284,0.00295,-0.00199,2036,CarbonEmissions
0.00286,0.00301,-0.00229,2037,CarbonEmissions
0.00288,0.00307,-0.00236,2038,CarbonEmissions
0.0029,0.00313,-0.00243,2039,CarbonEmissions
0.00293,0.00319,-0.00249,2040,CarbonEmissions
0.00295,0.00326,-0.00256,2041,CarbonEmissions
0.00297,0.00333,-0.00262,2042,CarbonEmissions
0.00298,0.00339,-0.00268,2043,CarbonEmissions
0.00298,0.00335,-0.00273,2044,CarbonEmissions
0.00298,0.00332,-0.00278,2045,CarbonEmissions
0.00297,0.0033,-0.00282,2046,CarbonEmissions
0.00295,0.00326,-0.00285,2047,CarbonEmissions
0.00291,0.00319,-0.00287,2048,CarbonEmissions
0.00281,0.00312,-0.0029,2049,CarbonEmissions
0.00273,0.00303,-0.00293,2050,CarbonEmissions
0.00263,0.00292,-0.00296,2051,CarbonEmissions
0.00254,0.00284,-0.00298,2052,CarbonEmissions
0.00244,0.00273,-0.003,2053,CarbonEmissions
0.00232,0.00262,-0.00302,2054,CarbonEmissions
0.00219,0.0025,-0.00304,2055,CarbonEmissions
0.00206,0.00238,-0.00305,2056,CarbonEmissions
0.00192,0.00225,-0.00306,2057,CarbonEmissions
0.00177,0.00211,-0.00308,2058,CarbonEmissions
0.00162,0.00195,-0.00309,2059,CarbonEmissions
0.00146,0.00178,-0.0031,2060,CarbonEmissions
0.0013,0.00159,-0.00311,2061,CarbonEmissions
0.00112,0.00139,-0.00312,2062,CarbonEmissions
0.00093,0.00116,-0.00313,2063,CarbonEmissions
0.00073,0.00093,-0.00314,2064,CarbonEmissions
0.00053,0.00069,-0.00315,2065,CarbonEmissions
0.00031,0.00048,-0.00316,2066,CarbonEmissions
0.00008,0.00025,-0.00316,2067,CarbonEmissions
-0.00015,0.00001,-0.00317,2068,CarbonEmissions
-0.00038,-0.00021,-0.00317,2069,CarbonEmissions
-0.0006,-0.00042,-0.00318,2070,CarbonEmissions
-0.00082,-0.00064,-0.00318,2071,CarbonEmissions
-0.00103,-0.00086,-0.00319,2072,CarbonEmissions
-0.00123,-0.00108,-0.00319,2073,CarbonEmissions
-0.00144,-0.00131,-0.00319,2074,CarbonEmissions
-0.00164,-0.00154,-0.0032,2075,CarbonEmissions
-0.00183,-0.00178,-0.0032,2076,CarbonEmissions
-0.00202,-0.00201,-0.0032,2077,CarbonEmissions
-0.00219,-0.00222,-0.00321,2078,CarbonEmissions
-0.00235,-0.00243,-0.00321,2079,CarbonEmissions
-0.00251,-0.00262,-0.00321,2080,CarbonEmissions
-0.00265,-0.00279,-0.00321,2081,CarbonEmissions
-0.00279,-0.00295,-0.00322,2082,CarbonEmissions
-0.00292,-0.00309,-0.00322,2083,CarbonEmissions
-0.00305,-0.0031,-0.00322,2084,CarbonEmissions
-0.0031,-0.00311,-0.00322,2085,CarbonEmissions
-0.00311,-0.00311,-0.00323,2086,CarbonEmissions
-0.00312,-0.00312,-0.00323,2087,CarbonEmissions
-0.00313,-0.00313,-0.00323,2088,CarbonEmissions
-0.00313,-0.00313,-0.00323,2089,CarbonEmissions
-0.00314,-0.00314,-0.00323,2090,CarbonEmissions
-0.00314,-0.00315,-0.00323,2091,CarbonEmissions
-0.00315,-0.00315,-0.00323,2092,CarbonEmissions
-0.00315,-0.00316,-0.00323,2093,CarbonEmissions
-0.00316,-0.00316,-0.00324,2094,CarbonEmissions
-0.00316,-0.00316,-0.00324,2095,CarbonEmissions
-0.00317,-0.00317,-0.00324,2096,CarbonEmissions
-0.00317,-0.00317,-0.00324,2097,CarbonEmissions
-0.00318,-0.00318,-0.00324,2098,CarbonEmissions
-0.00318,-0.00318,-0.00324,2099,CarbonEmissions
-0.00318,-0.00318,-0.00324,2100,CarbonEmissions
6.61433,6.61433,6.61433,2019,ChildMort5Yrs
6.67587,6.67587,6.67587,2020,ChildMort5Yrs
6.34886,6.34886,6.34886,2021,ChildMort5Yrs
6.14527,6.14527,6.14527,2022,ChildMort5Yrs
6.01458,6.01458,6.01458,2023,ChildMort5Yrs
5.90055,5.90055,5.90054,2024,ChildMort5Yrs
5.77031,5.77028,5.77624,2025,ChildMort5Yrs
5.61404,5.61083,5.60874,2026,ChildMort5Yrs
5.40094,5.38848,5.39123,2027,ChildMort5Yrs
5.19897,5.17867,5.18152,2028,ChildMort5Yrs
4.99571,4.96706,4.96777,2029,ChildMort5Yrs
4.80723,4.76929,4.76572,2030,ChildMort5Yrs
4.63191,4.58256,4.58038,2031,ChildMort5Yrs
4.46682,4.40553,4.39683,2032,ChildMort5Yrs
4.30984,4.23643,4.22329,2033,ChildMort5Yrs
4.15993,4.07403,4.05752,2034,ChildMort5Yrs
4.01464,3.91603,3.89804,2035,ChildMort5Yrs
3.87488,3.76388,3.74457,2036,ChildMort5Yrs
3.74108,3.61755,3.59736,2037,ChildMort5Yrs
3.61253,3.47644,3.45619,2038,ChildMort5Yrs
3.48861,3.34254,3.32216,2039,ChildMort5Yrs
3.36873,3.21373,3.19321,2040,ChildMort5Yrs
3.25356,3.09015,3.06936,2041,ChildMort5Yrs
3.1432,2.97215,2.9559,2042,ChildMort5Yrs
3.03769,2.8729,2.85538,2043,ChildMort5Yrs
2.93688,2.77573,2.75827,2044,ChildMort5Yrs
2.84022,2.68331,2.66592,2045,ChildMort5Yrs
2.74804,2.59551,2.57893,2046,ChildMort5Yrs
2.66357,2.51249,2.49593,2047,ChildMort5Yrs
