Baseline,SDG Push,JET SDG,Year,indicator
0.0019,0.0019,0.00189,2019,CarbonEmissions
0.0019,0.0019,0.00185,2020,CarbonEmissions
0.0018,0.0018,0.00185,2021,CarbonEmissions
0.0019,0.0019,0.00189,2022,CarbonEmissions
0.0019,0.0019,0.00195,2023,CarbonEmissions
0.0019,0.0019,0.00191,2024,CarbonEmissions
0.0019,0.0019,0.00189,2025,CarbonEmissions
0.0018,0.0018,0.00185,2026,CarbonEmissions
0.0018,0.0018,0.00177,2027,CarbonEmissions
0.0018,0.0018,0.00165,2028,CarbonEmissions
0.0018,0.0018,0.00151,2029,CarbonEmissions
0.0018,0.0018,0.00136,2030,CarbonEmissions
0.0018,0.0018,0.00121,2031,CarbonEmissions
0.0018,0.0018,0.00107,2032,CarbonEmissions
0.0018,0.0018,0.00094,2033,CarbonEmissions
0.0017,0.0018,0.00082,2034,CarbonEmissions
0.0017,0.0018,0.00073,2035,CarbonEmissions
0.0017,0.0018,0.00065,2036,CarbonEmissions
0.0017,0.0018,0.00058,2037,CarbonEmissions
0.0016,0.0018,0.0005,2038,CarbonEmissions
0.0016,0.0018,0.00041,2039,CarbonEmissions
0.0016,0.0018,0.00031,2040,CarbonEmissions
0.0016,0.0018,0.00021,2041,CarbonEmissions
0.0016,0.0018,0.0001,2042,CarbonEmissions
0.0016,0.0018,-0.00001,2043,CarbonEmissions
0.0015,0.0018,-0.00012,2044,CarbonEmissions
0.0015,0.0017,-0.00022,2045,CarbonEmissions
0.0015,0.0017,-0.00032,2046,CarbonEmissions
0.0014,0.0017,-0.00042,2047,CarbonEmissions
0.0014,0.0017,-0.00051,2048,CarbonEmissions
0.0014,0.0017,-0.00058,2049,CarbonEmissions
0.0013,0.0016,-0.00064,2050,CarbonEmissions
0.0013,0.0016,-0.0007,2051,CarbonEmissions
0.0013,0.0016,-0.00074,2052,CarbonEmissions
0.0013,0.0016,-0.00079,2053,CarbonEmissions
0.0012,0.0015,-0.00083,2054,CarbonEmissions
0.0012,0.0015,-0.00087,2055,CarbonEmissions
0.0011,0.0015,-0.0009,2056,CarbonEmissions
0.0011,0.0014,-0.00095,2057,CarbonEmissions
0.0011,0.0014,-0.00099,2058,CarbonEmissions
0.001,0.0014,-0.00103,2059,CarbonEmissions
0.001,0.0013,-0.00107,2060,CarbonEmissions
0.001,0.0013,-0.00111,2061,CarbonEmissions
0.0009,0.0013,-0.00115,2062,CarbonEmissions
0.0009,0.0012,-0.00118,2063,CarbonEmissions
0.0009,0.0012,-0.00121,2064,CarbonEmissions
0.0008,0.0012,-0.00124,2065,CarbonEmissions
0.0008,0.0011,-0.00127,2066,CarbonEmissions
0.0008,0.0011,-0.00129,2067,CarbonEmissions
0.0007,0.001,-0.00131,2068,CarbonEmissions
0.0007,0.001,-0.00133,2069,CarbonEmissions
