Baseline,SDG Push,JET SDG,Year,indicator
0.02586,0.02586,0.02586,2019,CarbonEmissions
0.02521,0.02521,0.02521,2020,CarbonEmissions
0.02454,0.02454,0.02454,2021,CarbonEmissions
0.02395,0.02395,0.02395,2022,CarbonEmissions
0.02365,0.02365,0.02365,2023,CarbonEmissions
0.02267,0.02267,0.02267,2024,CarbonEmissions
0.02185,0.02185,0.02179,2025,CarbonEmissions
0.02136,0.02137,0.02108,2026,CarbonEmissions
0.02093,0.02092,0.02022,2027,CarbonEmissions
0.02044,0.02043,0.01914,2028,CarbonEmissions
0.02,0.01999,0.01802,2029,CarbonEmissions
0.01958,0.01958,0.01689,2030,CarbonEmissions
0.01913,0.01917,0.01573,2031,CarbonEmissions
0.01864,0.01871,0.01467,2032,CarbonEmissions
0.01814,0.01824,0.01369,2033,CarbonEmissions
0.01765,0.01775,0.01277,2034,CarbonEmissions
0.01717,0.01729,0.01197,2035,CarbonEmissions
0.01669,0.01686,0.01119,2036,CarbonEmissions
0.01623,0.01644,0.0105,2037,CarbonEmissions
0.01578,0.01601,0.00978,2038,CarbonEmissions
0.01532,0.01558,0.00911,2039,CarbonEmissions
0.01488,0.01531,0.00854,2040,CarbonEmissions
0.01444,0.01502,0.00797,2041,CarbonEmissions
0.01401,0.01469,0.00741,2042,CarbonEmissions
0.01362,0.01438,0.00688,2043,CarbonEmissions
0.01327,0.01405,0.00638,2044,CarbonEmissions
0.01292,0.01374,0.00591,2045,CarbonEmissions
0.01259,0.01344,0.00547,2046,CarbonEmissions
0.01226,0.01315,0.005,2047,CarbonEmissions
0.01195,0.01286,0.00458,2048,CarbonEmissions
0.01164,0.01259,0.00421,2049,CarbonEmissions
0.01135,0.01234,0.00388,2050,CarbonEmissions
0.01106,0.01209,0.00359,2051,CarbonEmissions
0.01079,0.01184,0.00331,2052,CarbonEmissions
0.01052,0.01158,0.00304,2053,CarbonEmissions
0.01026,0.01135,0.00277,2054,CarbonEmissions
0.01001,0.01111,0.00251,2055,CarbonEmissions
0.00976,0.01089,0.00227,2056,CarbonEmissions
0.00952,0.01065,0.00203,2057,CarbonEmissions
0.00928,0.01043,0.00182,2058,CarbonEmissions
0.00905,0.01019,0.00161,2059,CarbonEmissions
0.00882,0.00997,0.00143,2060,CarbonEmissions
0.0086,0.00973,0.00127,2061,CarbonEmissions
0.00838,0.00949,0.00111,2062,CarbonEmissions
0.00816,0.00923,0.00097,2063,CarbonEmissions
0.00794,0.00899,0.00083,2064,CarbonEmissions
0.00771,0.00871,0.00073,2065,CarbonEmissions
0.00749,0.00846,0.00063,2066,CarbonEmissions
0.00727,0.00818,0.00054,2067,CarbonEmissions
0.00705,0.00792,0.00045,2068,CarbonEmissions
0.00683,0.00764,0.00036,2069,CarbonEmissions
0.00661,0.00737,0.00031,2070,CarbonEmissions
0.0064,0.00708,0.00023,2071,CarbonEmissions
0.00618,0.00677,0.00016,2072,CarbonEmissions
0.00595,0.00646,0.00008,2073,CarbonEmissions
0.00573,0.00616,0.00003,2074,CarbonEmissions
0.00551,0.00585,-0.00001,2075,CarbonEmissions
0.0053,0.00553,-0.00004,2076,CarbonEmissions
0.00509,0.00521,-0.00007,2077,CarbonEmissions
0.00488,0.00489,-0.0001,2078,CarbonEmissions
0.00467,0.00456,-0.00013,2079,CarbonEmissions
0.00447,0.00424,-0.00015,2080,CarbonEmissions
0.00427,0.00392,-0.00018,2081,CarbonEmissions
0.00407,0.0036,-0.0002,2082,CarbonEmissions
0.00386,0.00327,-0.00022,2083,CarbonEmissions
0.00364,0.00295,-0.00024,2084,CarbonEmissions
0.00343,0.00263,-0.00025,2085,CarbonEmissions
0.0032,0.0023,-0.00027,2086,CarbonEmissions
0.00297,0.00198,-0.00029,2087,CarbonEmissions
0.00273,0.00165,-0.0003,2088,CarbonEmissions
0.00249,0.00132,-0.00031,2089,CarbonEmissions
0.00225,0.00099,-0.00033,2090,CarbonEmissions
0.00201,0.00065,-0.00034,2091,CarbonEmissions
0.00177,0.00032,-0.00035,2092,CarbonEmissions
0.00152,-0.00001,-0.00036,2093,CarbonEmissions
0.00128,-0.0001,-0.00037,2094,CarbonEmissions
0.00104,-0.00013,-0.00038,2095,CarbonEmissions
0.0008,-0.00015,-0.00039,2096,CarbonEmissions
0.00056,-0.00017,-0.0004,2097,CarbonEmissions
0.00032,-0.00019,-0.00041,2098,CarbonEmissions
0.00008,-0.00021,-0.00041,2099,CarbonEmissions
