Baseline,SDG Push,JET SDG,Year,indicator
0.0001,0.0001,0.0001,2019,CarbonEmissions
0.0001,0.0001,0.0001,2020,CarbonEmissions
0.0002,0.0002,0.0002,2021,CarbonEmissions
0.0002,0.0002,0.0002,2022,CarbonEmissions
0.0002,0.0002,0.0002,2023,CarbonEmissions
0.0002,0.0002,0.0002,2024,CarbonEmissions
0.0002,0.0002,0.0002,2025,CarbonEmissions
0.0002,0.0002,0.0003,2026,CarbonEmissions
0.0003,0.0003,0.0003,2027,CarbonEmissions
0.0003,0.0003,0.0003,2028,CarbonEmissions
0.0003,0.0003,0.0003,2029,CarbonEmissions
0.0003,0.0003,0.0003,2030,CarbonEmissions
0.0004,0.0004,0.0004,2031,CarbonEmissions
0.0004,0.0004,0.0004,2032,CarbonEmissions
0.0004,0.0004,0.0004,2033,CarbonEmissions
0.0004,0.0005,0.0004,2034,CarbonEmissions
0.0005,0.0005,0.0005,2035,CarbonEmissions
0.0005,0.0005,0.0005,2036,CarbonEmissions
0.0005,0.0006,0.0005,2037,CarbonEmissions
0.0006,0.0006,0.0006,2038,CarbonEmissions
0.0006,0.0006,0.0006,2039,CarbonEmissions
0.0006,0.0007,0.0006,2040,CarbonEmissions
0.0007,0.0007,0.0006,2041,CarbonEmissions
0.0007,0.0007,0.0006,2042,CarbonEmissions
0.0007,0.0008,0.0006,2043,CarbonEmissions
0.0007,0.0008,0.0006,2044,CarbonEmissions
0.0008,0.0008,0.0005,2045,CarbonEmissions
0.0008,0.0008,0.0005,2046,CarbonEmissions
0.0008,0.0008,0.0005,2047,CarbonEmissions
0.0008,0.0009,0.0005,2048,CarbonEmissions
0.0008,0.0009,0.0005,2049,CarbonEmissions
0.0009,0.0009,0.0005,2050,CarbonEmissions
0.0009,0.001,0.0005,2051,CarbonEmissions
0.0009,0.001,0.0005,2052,CarbonEmissions
0.001,0.0011,0.0005,2053,CarbonEmissions
0.001,0.0011,0.0005,2054,CarbonEmissions
0.001,0.0012,0.0005,2055,CarbonEmissions
0.0011,0.0012,0.0005,2056,CarbonEmissions
0.0011,0.0012,0.0005,2057,CarbonEmissions
0.0011,0.0013,0.0005,2058,CarbonEmissions
0.0011,0.0013,0.0005,2059,CarbonEmissions
0.0011,0.0013,0.0004,2060,CarbonEmissions
0.0011,0.0013,0.0004,2061,CarbonEmissions
0.0012,0.0013,0.0004,2062,CarbonEmissions
0.0012,0.0013,0.0003,2063,CarbonEmissions
0.0011,0.0013,0.0003,2064,CarbonEmissions
0.0011,0.0013,0.0003,2065,CarbonEmissions
0.0011,0.0013,0.0003,2066,CarbonEmissions
0.0011,0.0013,0.0003,2067,CarbonEmissions
0.0011,0.0013,0.0002,2068,CarbonEmissions
0.0011,0.0013,0.0002,2069,CarbonEmissions
0.0011,0.0013,0.0002,2070,CarbonEmissions
0.001,0.0012,0.0002,2071,CarbonEmissions
0.001,0.0012,0.0002,2072,CarbonEmissions
0.001,0.0012,0.0001,2073,CarbonEmissions
0.0009,0.0011,0.0001,2074,CarbonEmissions
0.0009,0.0011,0.0001,2075,CarbonEmissions
0.0009,0.0011,0.0001,2076,CarbonEmissions
0.0008,0.001,0.0001,2077,CarbonEmissions
0.0008,0.001,0.0001,2078,CarbonEmissions
0.0008,0.0009,0,2079,CarbonEmissions
0.0007,0.0009,0,2080,CarbonEmissions
0.0007,0.0008,0,2081,CarbonEmissions
0.0007,0.0008,0,2082,CarbonEmissions
0.0006,0.0007,0,2083,CarbonEmissions
0.0006,0.0007,0,2084,CarbonEmissions
0.0005,0.0007,0,2085,CarbonEmissions
0.0005,0.0006,0,2086,CarbonEmissions
0.0005,0.0006,0,2087,CarbonEmissions
0.0004,0.0006,0,2088,CarbonEmissions
0.0004,0.0005,0,2089,CarbonEmissions
0.0004,0.0005,-0.0001,2090,CarbonEmissions
0.0004,0.0005,-0.0001,2091,CarbonEmissions
0.0003,0.0004,-0.0001,2092,CarbonEmissions
0.0003,0.0004,-0.0001,2093,CarbonEmissions
0.0003,0.0004,-0.0001,2094,CarbonEmissions
0.0003,0.0003,-0.0001,2095,CarbonEmissions
0.0003,0.0003,-0.0001,2096,CarbonEmissions
0.0002,0.0003,-0.0001,2097,CarbonEmissions
0.0002,0.0003,-0.0001,2098,CarbonEmissions
0.0002,0.0002,-0.0001,2099,CarbonEmissions
0.0002,0.0002,-0.0001,2100,CarbonEmissions
44.58,44.58,44.58,2019,ChildMort5Yrs
43.59,43.59,43.59,2020,ChildMort5Yrs
42.01,42.01,42.01,2021,ChildMort5Yrs
40,40,40,2022,ChildMort5Yrs
37.55,37.55,37.55,2023,ChildMort5Yrs
35.69,35.69,35.69,2024,ChildMort5Yrs
33.94,33.79,33.79,2025,ChildMort5Yrs
32.31,32.08,32.08,2026,ChildMort5Yrs
30.36,30,30,2027,ChildMort5Yrs
28.67,28.18,28.17,2028,ChildMort5Yrs
27.04,26.43,26.37,2029,ChildMort5Yrs
25.49,24.77,24.63,2030,ChildMort5Yrs
24.06,23.25,23.07,2031,ChildMort5Yrs
22.71,21.8,21.59,2032,ChildMort5Yrs
21.36,20.38,20.18,2033,ChildMort5Yrs
20.13,19.08,18.88,2034,ChildMort5Yrs
19,17.88,17.69,2035,ChildMort5Yrs
17.95,16.78,16.59,2036,ChildMort5Yrs
17,15.77,15.58,2037,ChildMort5Yrs
16.13,14.87,14.68,2038,ChildMort5Yrs
15.34,14.06,13.87,2039,ChildMort5Yrs
14.61,13.32,13.12,2040,ChildMort5Yrs
13.95,12.64,12.44,2041,ChildMort5Yrs
13.34,12.02,11.82,2042,ChildMort5Yrs
12.79,11.45,11.24,2043,ChildMort5Yrs
12.28,10.93,10.71,2044,ChildMort5Yrs
11.81,10.52,10.33,2045,ChildMort5Yrs
11.36,10.18,9.96406,2046,ChildMort5Yrs
10.95,9.83361,9.59356,2047,ChildMort5Yrs
10.56,9.4901,9.2232,2048,ChildMort5Yrs
10.18,9.13077,8.85507,2049,ChildMort5Yrs
9.8189,8.76835,8.49346,2050,ChildMort5Yrs
9.50545,8.42017,8.1541,2051,ChildMort5Yrs
9.24647,8.09502,7.84103,2052,ChildMort5Yrs
8.98892,7.79088,7.54883,2053,ChildMort5Yrs
8.73228,7.50345,7.27915,2054,ChildMort5Yrs
8.47989,7.23624,7.03108,2055,ChildMort5Yrs
8.22955,6.98607,6.79921,2056,ChildMort5Yrs
7.98633,6.75029,6.57897,2057,ChildMort5Yrs
