Baseline,SDG Push,JET SDG,Year,indicator
0.00748,0.00748,0.00748,2019,CarbonEmissions
0.00725,0.00725,0.00725,2020,CarbonEmissions
0.00714,0.00714,0.00714,2021,CarbonEmissions
0.00715,0.00715,0.00715,2022,CarbonEmissions
0.00715,0.00715,0.00715,2023,CarbonEmissions
0.00697,0.00697,0.00697,2024,CarbonEmissions
0.00676,0.00676,0.00643,2025,CarbonEmissions
0.00653,0.00653,0.00575,2026,CarbonEmissions
0.00632,0.00632,0.00499,2027,CarbonEmissions
0.00613,0.00613,0.00421,2028,CarbonEmissions
0.00599,0.00599,0.00346,2029,CarbonEmissions
0.00585,0.00586,0.00272,2030,CarbonEmissions
0.0057,0.00572,0.002,2031,CarbonEmissions
0.00554,0.00557,0.00132,2032,CarbonEmissions
0.00538,0.00543,0.00066,2033,CarbonEmissions
0.00523,0.00527,0.00001,2034,CarbonEmissions
0.0051,0.00514,-0.00035,2035,CarbonEmissions
0.00495,0.00501,-0.00075,2036,CarbonEmissions
0.00481,0.00488,-0.00117,2037,CarbonEmissions
0.00467,0.00474,-0.0016,2038,CarbonEmissions
0.00453,0.00461,-0.00203,2039,CarbonEmissions
0.0044,0.00447,-0.0023,2040,CarbonEmissions
0.00426,0.00435,-0.00252,2041,CarbonEmissions
0.00413,0.00422,-0.00269,2042,CarbonEmissions
0.004,0.0041,-0.00284,2043,CarbonEmissions
0.00386,0.00395,-0.00298,2044,CarbonEmissions
0.00373,0.00381,-0.00311,2045,CarbonEmissions
0.00359,0.00366,-0.00323,2046,CarbonEmissions
0.00346,0.00352,-0.00335,2047,CarbonEmissions
0.00332,0.00337,-0.00346,2048,CarbonEmissions
0.00318,0.00322,-0.00359,2049,CarbonEmissions
0.00305,0.00309,-0.00368,2050,CarbonEmissions
0.0029,0.00294,-0.00381,2051,CarbonEmissions
0.00275,0.00278,-0.00392,2052,CarbonEmissions
0.0026,0.00262,-0.00394,2053,CarbonEmissions
0.00245,0.00247,-0.00397,2054,CarbonEmissions
0.0023,0.00231,-0.00399,2055,CarbonEmissions
0.00215,0.00216,-0.00401,2056,CarbonEmissions
0.00201,0.002,-0.00403,2057,CarbonEmissions
0.00186,0.00184,-0.00405,2058,CarbonEmissions
0.00171,0.00167,-0.00406,2059,CarbonEmissions
0.00156,0.0015,-0.00408,2060,CarbonEmissions
0.00142,0.00133,-0.00409,2061,CarbonEmissions
0.00126,0.00116,-0.0041,2062,CarbonEmissions
0.00111,0.00098,-0.00411,2063,CarbonEmissions
0.00095,0.0008,-0.00412,2064,CarbonEmissions
0.0008,0.00062,-0.00413,2065,CarbonEmissions
0.00065,0.00045,-0.00414,2066,CarbonEmissions
0.00049,0.00027,-0.00414,2067,CarbonEmissions
0.00033,0.00011,-0.00415,2068,CarbonEmissions
0.00018,-0.00007,-0.00415,2069,CarbonEmissions
0.00002,-0.00024,-0.00416,2070,CarbonEmissions
