Baseline,SDG Push,JET SDG,Year,indicator
0.04564,0.04564,0.04564,2019,CarbonEmissions
0.04635,0.04635,0.04635,2020,CarbonEmissions
0.04683,0.04683,0.04683,2021,CarbonEmissions
0.04711,0.04711,0.04711,2022,CarbonEmissions
0.04791,0.04791,0.04791,2023,CarbonEmissions
0.04862,0.04862,0.04862,2024,CarbonEmissions
0.04916,0.04916,0.05107,2025,CarbonEmissions
0.04961,0.04961,0.05306,2026,CarbonEmissions
0.05012,0.0501,0.0544,2027,CarbonEmissions
0.05078,0.05075,0.05513,2028,CarbonEmissions
0.05164,0.05162,0.05554,2029,CarbonEmissions
0.0526,0.05266,0.05579,2030,CarbonEmissions
0.05343,0.05363,0.05547,2031,CarbonEmissions
0.05397,0.05436,0.05555,2032,CarbonEmissions
0.05434,0.05495,0.05598,2033,CarbonEmissions
0.05468,0.05546,0.05685,2034,CarbonEmissions
0.05485,0.05581,0.05761,2035,CarbonEmissions
0.05517,0.05638,0.05872,2036,CarbonEmissions
0.05548,0.05691,0.06075,2037,CarbonEmissions
0.05585,0.0574,0.06266,2038,CarbonEmissions
0.05625,0.0579,0.06421,2039,CarbonEmissions
0.05676,0.05852,0.06529,2040,CarbonEmissions
0.0572,0.05918,0.06618,2041,CarbonEmissions
0.05781,0.05983,0.06708,2042,CarbonEmissions
0.05821,0.06035,0.06796,2043,CarbonEmissions
0.05865,0.0609,0.06886,2044,CarbonEmissions
0.05881,0.06111,0.06985,2045,CarbonEmissions
0.05919,0.06153,0.07053,2046,CarbonEmissions
0.05932,0.06174,0.06942,2047,CarbonEmissions
0.05975,0.0622,0.06826,2048,CarbonEmissions
0.05998,0.06264,0.06774,2049,CarbonEmissions
0.06041,0.06302,0.06743,2050,CarbonEmissions
0.06064,0.06367,0.06815,2051,CarbonEmissions
0.06115,0.06397,0.06988,2052,CarbonEmissions
0.0614,0.0645,0.07251,2053,CarbonEmissions
0.06192,0.06471,0.07588,2054,CarbonEmissions
0.0622,0.06521,0.0796,2055,CarbonEmissions
0.06272,0.06542,0.08252,2056,CarbonEmissions
0.06297,0.06592,0.08396,2057,CarbonEmissions
0.06344,0.06615,0.08538,2058,CarbonEmissions
0.06367,0.06663,0.08609,2059,CarbonEmissions
0.06409,0.06688,0.08637,2060,CarbonEmissions
0.06421,0.0674,0.08657,2061,CarbonEmissions
0.06458,0.0677,0.08667,2062,CarbonEmissions
0.06476,0.06829,0.08693,2063,CarbonEmissions
0.0652,0.06867,0.08712,2064,CarbonEmissions
0.06546,0.06938,0.08584,2065,CarbonEmissions
0.06599,0.0699,0.08535,2066,CarbonEmissions
0.06631,0.07065,0.08512,2067,CarbonEmissions
0.06687,0.07111,0.08507,2068,CarbonEmissions
0.06719,0.07171,0.0852,2069,CarbonEmissions
0.06771,0.07199,0.08534,2070,CarbonEmissions
0.068,0.07231,0.08584,2071,CarbonEmissions
0.06847,0.07271,0.08651,2072,CarbonEmissions
0.06868,0.07295,0.08733,2073,CarbonEmissions
0.06915,0.07348,0.08838,2074,CarbonEmissions
0.06943,0.07416,0.08912,2075,CarbonEmissions
0.06985,0.07498,0.0902,2076,CarbonEmissions
0.07033,0.07569,0.09071,2077,CarbonEmissions
0.07092,0.07639,0.09147,2078,CarbonEmissions
0.0713,0.07696,0.09166,2079,CarbonEmissions
0.07186,0.07719,0.09204,2080,CarbonEmissions
0.07255,0.07747,0.09173,2081,CarbonEmissions
0.07326,0.07759,0.09141,2082,CarbonEmissions
0.07369,0.07762,0.09091,2083,CarbonEmissions
0.07407,0.0777,0.0903,2084,CarbonEmissions
0.07442,0.0777,0.08964,2085,CarbonEmissions
0.07471,0.07758,0.08895,2086,CarbonEmissions
0.07502,0.0774,0.08823,2087,CarbonEmissions
0.07529,0.07717,0.08754,2088,CarbonEmissions
0.07545,0.07692,0.08686,2089,CarbonEmissions
0.07554,0.07661,0.08622,2090,CarbonEmissions
0.07547,0.0762,0.08564,2091,CarbonEmissions
0.07525,0.07571,0.08445,2092,CarbonEmissions
0.07488,0.07512,0.08351,2093,CarbonEmissions
0.07439,0.07448,0.08273,2094,CarbonEmissions
0.07372,0.07366,0.08208,2095,CarbonEmissions
0.0729,0.07268,0.08157,2096,CarbonEmissions
0.07197,0.07157,0.08119,2097,CarbonEmissions
0.07094,0.07032,0.08089,2098,CarbonEmissions
0.0698,0.06891,0.08084,2099,CarbonEmissions
0.06867,0.06742,0.08002,2100,CarbonEmissions
