Baseline,SDG Push,JET SDG,Year,indicator
0.01086,0.01086,0.01086,2019,CarbonEmissions
0.0114,0.0114,0.0114,2020,CarbonEmissions
0.0116,0.0116,0.0116,2021,CarbonEmissions
0.01177,0.01177,0.01177,2022,CarbonEmissions
0.01211,0.01211,0.01211,2023,CarbonEmissions
0.01235,0.01235,0.01235,2024,CarbonEmissions
0.01235,0.01235,0.01259,2025,CarbonEmissions
0.01243,0.01242,0.01272,2026,CarbonEmissions
0.01267,0.01265,0.01276,2027,CarbonEmissions
0.01291,0.0129,0.01255,2028,CarbonEmissions
0.01321,0.01322,0.01221,2029,CarbonEmissions
0.01355,0.01359,0.01186,2030,CarbonEmissions
0.01386,0.01394,0.01141,2031,CarbonEmissions
0.0141,0.01423,0.01109,2032,CarbonEmissions
0.0143,0.0145,0.01088,2033,CarbonEmissions
0.01446,0.01473,0.01078,2034,CarbonEmissions
0.01461,0.01495,0.01065,2035,CarbonEmissions
0.01475,0.01518,0.01059,2036,CarbonEmissions
0.0149,0.01541,0.01044,2037,CarbonEmissions
0.01504,0.01561,0.01021,2038,CarbonEmissions
0.01518,0.0158,0.00988,2039,CarbonEmissions
0.01534,0.01601,0.00943,2040,CarbonEmissions
0.01549,0.01623,0.00894,2041,CarbonEmissions
0.01562,0.01643,0.00842,2042,CarbonEmissions
0.01573,0.01661,0.00784,2043,CarbonEmissions
0.0158,0.01677,0.00726,2044,CarbonEmissions
0.01589,0.01694,0.00669,2045,CarbonEmissions
0.01599,0.01712,0.00611,2046,CarbonEmissions
0.01609,0.01731,0.00568,2047,CarbonEmissions
0.01621,0.01751,0.00536,2048,CarbonEmissions
0.01638,0.01776,0.00509,2049,CarbonEmissions
0.01662,0.01814,0.00484,2050,CarbonEmissions
0.01684,0.0185,0.00464,2051,CarbonEmissions
0.01706,0.01882,0.0045,2052,CarbonEmissions
0.01728,0.01912,0.0044,2053,CarbonEmissions
0.01749,0.01939,0.00431,2054,CarbonEmissions
0.0177,0.01966,0.00421,2055,CarbonEmissions
0.01788,0.01991,0.00407,2056,CarbonEmissions
0.01805,0.02014,0.00386,2057,CarbonEmissions
0.01819,0.02037,0.00362,2058,CarbonEmissions
0.01832,0.02056,0.00334,2059,CarbonEmissions
0.01842,0.02076,0.00308,2060,CarbonEmissions
0.01849,0.02094,0.00281,2061,CarbonEmissions
