Baseline,SDG Push,JET SDG,Year,indicator
0.08379,0.08379,0.08379,2019,CarbonEmissions
0.08098,0.08098,0.08098,2020,CarbonEmissions
0.07951,0.07951,0.07951,2021,CarbonEmissions
0.08296,0.08296,0.08296,2022,CarbonEmissions
0.08643,0.08643,0.08642,2023,CarbonEmissions
0.08667,0.08667,0.08667,2024,CarbonEmissions
0.0863,0.0863,0.08428,2025,CarbonEmissions
0.08731,0.08733,0.08353,2026,CarbonEmissions
0.08912,0.08913,0.0831,2027,CarbonEmissions
0.09063,0.09061,0.08155,2028,CarbonEmissions
0.09229,0.09234,0.0795,2029,CarbonEmissions
0.0939,0.09409,0.07689,2030,CarbonEmissions
0.09542,0.09579,0.07404,2031,CarbonEmissions
0.09653,0.09714,0.07103,2032,CarbonEmissions
0.09751,0.0984,0.06801,2033,CarbonEmissions
0.09833,0.09942,0.06491,2034,CarbonEmissions
0.0991,0.1005,0.06199,2035,CarbonEmissions
0.09995,0.10186,0.05904,2036,CarbonEmissions
0.10084,0.10333,0.05624,2037,CarbonEmissions
0.10176,0.10461,0.05318,2038,CarbonEmissions
0.10257,0.10588,0.04991,2039,CarbonEmissions
0.10352,0.10728,0.04704,2040,CarbonEmissions
0.10437,0.10884,0.04402,2041,CarbonEmissions
0.10522,0.11028,0.04094,2042,CarbonEmissions
0.10599,0.11169,0.03789,2043,CarbonEmissions
0.10651,0.11277,0.03492,2044,CarbonEmissions
0.10694,0.1137,0.032,2045,CarbonEmissions
0.10731,0.11456,0.0294,2046,CarbonEmissions
0.10763,0.1154,0.0267,2047,CarbonEmissions
0.10797,0.11619,0.02421,2048,CarbonEmissions
0.1083,0.11708,0.02201,2049,CarbonEmissions
0.10872,0.1182,0.02033,2050,CarbonEmissions
0.10894,0.11898,0.01887,2051,CarbonEmissions
0.10912,0.11954,0.01763,2052,CarbonEmissions
0.10926,0.11992,0.01652,2053,CarbonEmissions
0.10931,0.12015,0.01553,2054,CarbonEmissions
0.10932,0.12024,0.01462,2055,CarbonEmissions
0.10929,0.1203,0.01357,2056,CarbonEmissions
0.1092,0.12025,0.01267,2057,CarbonEmissions
0.10902,0.12012,0.01158,2058,CarbonEmissions
0.10881,0.11982,0.01061,2059,CarbonEmissions
0.10844,0.1195,0.0096,2060,CarbonEmissions
0.10797,0.1191,0.00856,2061,CarbonEmissions
0.10747,0.11875,0.00747,2062,CarbonEmissions
0.10702,0.11834,0.00634,2063,CarbonEmissions
0.10654,0.118,0.00526,2064,CarbonEmissions
0.10611,0.11761,0.00437,2065,CarbonEmissions
0.10565,0.11722,0.00348,2066,CarbonEmissions
0.10517,0.11665,0.00264,2067,CarbonEmissions
0.10461,0.11602,0.00185,2068,CarbonEmissions
0.10407,0.11511,0.0011,2069,CarbonEmissions
0.10341,0.11409,0.00056,2070,CarbonEmissions
0.10278,0.11297,0,2071,CarbonEmissions
0.10207,0.11175,-0.0005,2072,CarbonEmissions
0.10132,0.11069,-0.00095,2073,CarbonEmissions
0.10055,0.10987,-0.00139,2074,CarbonEmissions
0.09987,0.10935,-0.00174,2075,CarbonEmissions
0.09926,0.10893,-0.00212,2076,CarbonEmissions
0.0988,0.10864,-0.00242,2077,CarbonEmissions
0.09829,0.10826,-0.00278,2078,CarbonEmissions
0.09783,0.1077,-0.00307,2079,CarbonEmissions
0.09743,0.1072,-0.0034,2080,CarbonEmissions
0.09711,0.10665,-0.00366,2081,CarbonEmissions
0.09668,0.10604,-0.00397,2082,CarbonEmissions
0.09622,0.1054,-0.00427,2083,CarbonEmissions
0.09573,0.10474,-0.00457,2084,CarbonEmissions
0.0953,0.10397,-0.00488,2085,CarbonEmissions
0.09481,0.10308,-0.00517,2086,CarbonEmissions
0.09442,0.10227,-0.00545,2087,CarbonEmissions
0.0941,0.1015,-0.00572,2088,CarbonEmissions
0.09382,0.10087,-0.00598,2089,CarbonEmissions
0.09358,0.10026,-0.00623,2090,CarbonEmissions
0.09327,0.09952,-0.00645,2091,CarbonEmissions
0.09288,0.09879,-0.00662,2092,CarbonEmissions
0.09249,0.09797,-0.00678,2093,CarbonEmissions
0.09208,0.09718,-0.00689,2094,CarbonEmissions
0.09161,0.09621,-0.00696,2095,CarbonEmissions
0.09107,0.09499,-0.007,2096,CarbonEmissions
0.09051,0.09369,-0.007,2097,CarbonEmissions
0.08998,0.09239,-0.00698,2098,CarbonEmissions
0.08944,0.09113,-0.00691,2099,CarbonEmissions
0.08912,0.09017,-0.00683,2100,CarbonEmissions
3.14984,3.14984,3.14984,2019,ChildMort5Yrs
3.23815,3.23815,3.23815,2020,ChildMort5Yrs
3.04295,3.04295,3.04295,2021,ChildMort5Yrs
2.92128,2.92128,2.92128,2022,ChildMort5Yrs
2.8269,2.8269,2.8269,2023,ChildMort5Yrs
2.73352,2.73352,2.73352,2024,ChildMort5Yrs
2.66371,2.6631,2.66308,2025,ChildMort5Yrs
2.60734,2.60499,2.60499,2026,ChildMort5Yrs
2.56932,2.56285,2.56262,2027,ChildMort5Yrs
2.53131,2.52003,2.51918,2028,ChildMort5Yrs
2.48755,2.4708,2.46903,2029,ChildMort5Yrs
2.43933,2.41674,2.41382,2030,ChildMort5Yrs
2.38704,2.35817,2.35405,2031,ChildMort5Yrs
2.33262,2.29709,2.29202,2032,ChildMort5Yrs
2.27824,2.23569,2.2299,2033,ChildMort5Yrs
2.22446,2.1746,2.16843,2034,ChildMort5Yrs
2.17014,2.11278,2.10654,2035,ChildMort5Yrs
2.11632,2.05111,2.04478,2036,ChildMort5Yrs
2.06306,1.99047,1.98415,2037,ChildMort5Yrs
2.0103,1.93094,1.92472,2038,ChildMort5Yrs
1.95781,1.87272,1.8666,2039,ChildMort5Yrs
