Baseline,SDG Push,JET SDG,Year,indicator
0.09328,0.09328,0.09328,2019,CarbonEmissions
0.09215,0.09215,0.09215,2020,CarbonEmissions
0.08889,0.08889,0.08889,2021,CarbonEmissions
0.08842,0.08842,0.08842,2022,CarbonEmissions
0.08935,0.08935,0.08935,2023,CarbonEmissions
0.0874,0.0874,0.08741,2024,CarbonEmissions
0.08474,0.08474,0.08376,2025,CarbonEmissions
0.08301,0.08304,0.07996,2026,CarbonEmissions
0.08208,0.08209,0.07564,2027,CarbonEmissions
0.08089,0.08083,0.06999,2028,CarbonEmissions
0.07995,0.07992,0.06409,2029,CarbonEmissions
0.07911,0.07923,0.05818,2030,CarbonEmissions
0.07811,0.07846,0.05208,2031,CarbonEmissions
0.07678,0.07739,0.04645,2032,CarbonEmissions
0.07535,0.07624,0.04113,2033,CarbonEmissions
0.07386,0.07494,0.03602,2034,CarbonEmissions
0.07244,0.07376,0.03227,2035,CarbonEmissions
0.07105,0.07276,0.02822,2036,CarbonEmissions
0.06973,0.07179,0.02427,2037,CarbonEmissions
0.06842,0.07065,0.0201,2038,CarbonEmissions
0.06708,0.06952,0.01607,2039,CarbonEmissions
0.06592,0.06853,0.01302,2040,CarbonEmissions
0.06483,0.06777,0.01033,2041,CarbonEmissions
0.06387,0.06703,0.00789,2042,CarbonEmissions
0.06307,0.06644,0.00556,2043,CarbonEmissions
0.06221,0.06572,0.0033,2044,CarbonEmissions
0.06137,0.06496,0.00109,2045,CarbonEmissions
0.06053,0.06414,-0.001,2046,CarbonEmissions
0.05966,0.06331,-0.00321,2047,CarbonEmissions
0.05879,0.06237,-0.00527,2048,CarbonEmissions
0.05786,0.06148,-0.00715,2049,CarbonEmissions
0.057,0.06076,-0.00872,2050,CarbonEmissions
0.05589,0.05973,-0.01041,2051,CarbonEmissions
0.05476,0.05861,-0.01209,2052,CarbonEmissions
0.05363,0.05745,-0.01381,2053,CarbonEmissions
0.05244,0.05624,-0.01554,2054,CarbonEmissions
0.05128,0.05497,-0.01711,2055,CarbonEmissions
0.05009,0.05372,-0.01845,2056,CarbonEmissions
0.04889,0.0524,-0.01969,2057,CarbonEmissions
0.04764,0.05107,-0.02066,2058,CarbonEmissions
0.04642,0.04963,-0.02154,2059,CarbonEmissions
0.04513,0.0482,-0.02226,2060,CarbonEmissions
0.04383,0.0467,-0.02286,2061,CarbonEmissions
0.04249,0.04522,-0.02321,2062,CarbonEmissions
0.04119,0.04368,-0.02343,2063,CarbonEmissions
0.03984,0.0422,-0.02364,2064,CarbonEmissions
0.03853,0.04069,-0.02382,2065,CarbonEmissions
0.03721,0.03923,-0.02397,2066,CarbonEmissions
0.03591,0.03774,-0.0241,2067,CarbonEmissions
0.03457,0.03631,-0.02423,2068,CarbonEmissions
0.03328,0.03477,-0.02434,2069,CarbonEmissions
0.03191,0.03322,-0.02442,2070,CarbonEmissions
0.03058,0.03161,-0.02451,2071,CarbonEmissions
0.02923,0.02991,-0.02458,2072,CarbonEmissions
0.02781,0.02823,-0.02465,2073,CarbonEmissions
0.02639,0.02658,-0.02472,2074,CarbonEmissions
0.02503,0.025,-0.02478,2075,CarbonEmissions
0.0237,0.02345,-0.02483,2076,CarbonEmissions
0.02243,0.02188,-0.02489,2077,CarbonEmissions
0.02113,0.02029,-0.02493,2078,CarbonEmissions
0.01985,0.01862,-0.02498,2079,CarbonEmissions
0.01861,0.01701,-0.02502,2080,CarbonEmissions
0.01743,0.01542,-0.02506,2081,CarbonEmissions
0.0162,0.01385,-0.02509,2082,CarbonEmissions
0.01497,0.01231,-0.02513,2083,CarbonEmissions
0.01375,0.01078,-0.02516,2084,CarbonEmissions
0.01257,0.00923,-0.02519,2085,CarbonEmissions
0.01134,0.00769,-0.02521,2086,CarbonEmissions
0.01013,0.00616,-0.02524,2087,CarbonEmissions
0.00893,0.00464,-0.02526,2088,CarbonEmissions
0.00771,0.00315,-0.02528,2089,CarbonEmissions
0.00648,0.0017,-0.0253,2090,CarbonEmissions
0.00522,0.00024,-0.02531,2091,CarbonEmissions
0.00393,-0.00117,-0.02533,2092,CarbonEmissions
0.00261,-0.00256,-0.02534,2093,CarbonEmissions
0.00129,-0.00385,-0.02536,2094,CarbonEmissions
0.00003,-0.00513,-0.02537,2095,CarbonEmissions
-0.00122,-0.00641,-0.02538,2096,CarbonEmissions
-0.00242,-0.00764,-0.02539,2097,CarbonEmissions
-0.00356,-0.00884,-0.0254,2098,CarbonEmissions
-0.00466,-0.00999,-0.02541,2099,CarbonEmissions
-0.00566,-0.01106,-0.02542,2100,CarbonEmissions
1.397,1.397,1.397,2019,CarbonEmissions_per_capita
1.374,1.374,1.374,2020,CarbonEmissions_per_capita
1.32,1.32,1.32,2021,CarbonEmissions_per_capita
1.309,1.309,1.309,2022,CarbonEmissions_per_capita
1.32,1.32,1.32,2023,CarbonEmissions_per_capita
1.288,1.288,1.288,2024,CarbonEmissions_per_capita
1.246,1.246,1.232,2025,CarbonEmissions_per_capita
1.219,1.219,1.174,2026,CarbonEmissions_per_capita
1.202,1.202,1.108,2027,CarbonEmissions_per_capita
1.182,1.181,1.023,2028,CarbonEmissions_per_capita
1.166,1.166,0.935,2029,CarbonEmissions_per_capita
1.152,1.153,0.847,2030,CarbonEmissions_per_capita
1.135,1.14,0.757,2031,CarbonEmissions_per_capita
1.114,1.122,0.674,2032,CarbonEmissions_per_capita
1.092,1.104,0.596,2033,CarbonEmissions_per_capita
1.069,1.083,0.521,2034,CarbonEmissions_per_capita
1.046,1.065,0.466,2035,CarbonEmissions_per_capita
1.025,1.049,0.407,2036,CarbonEmissions_per_capita
1.005,1.033,0.349,2037,CarbonEmissions_per_capita
0.985,1.015,0.289,2038,CarbonEmissions_per_capita
0.964,0.998,0.231,2039,CarbonEmissions_per_capita
0.947,0.982,0.187,2040,CarbonEmissions_per_capita
0.93,0.97,0.148,2041,CarbonEmissions_per_capita
0.915,0.959,0.113,2042,CarbonEmissions_per_capita
0.903,0.949,0.079,2043,CarbonEmissions_per_capita
0.89,0.938,0.047,2044,CarbonEmissions_per_capita
0.877,0.926,0.016,2045,CarbonEmissions_per_capita
0.865,0.914,-0.014,2046,CarbonEmissions_per_capita
0.852,0.901,-0.046,2047,CarbonEmissions_per_capita
0.839,0.888,-0.075,2048,CarbonEmissions_per_capita
0.826,0.875,-0.102,2049,CarbonEmissions_per_capita
0.813,0.864,-0.124,2050,CarbonEmissions_per_capita
0.797,0.849,-0.148,2051,CarbonEmissions_per_capita
0.782,0.834,-0.172,2052,CarbonEmissions_per_capita
0.766,0.817,-0.196,2053,CarbonEmissions_per_capita
0.749,0.8,-0.221,2054,CarbonEmissions_per_capita
0.733,0.783,-0.243,2055,CarbonEmissions_per_capita
0.716,0.765,-0.263,2056,CarbonEmissions_per_capita
0.699,0.747,-0.281,2057,CarbonEmissions_per_capita
0.682,0.728,-0.294,2058,CarbonEmissions_per_capita
0.665,0.708,-0.307,2059,CarbonEmissions_per_capita
0.647,0.688,-0.318,2060,CarbonEmissions_per_capita
0.629,0.667,-0.327,2061,CarbonEmissions_per_capita
0.61,0.647,-0.332,2062,CarbonEmissions_per_capita
0.592,0.625,-0.335,2063,CarbonEmissions_per_capita
0.573,0.605,-0.339,2064,CarbonEmissions_per_capita
0.555,0.583,-0.341,2065,CarbonEmissions_per_capita
0.536,0.563,-0.344,2066,CarbonEmissions_per_capita
0.518,0.542,-0.346,2067,CarbonEmissions_per_capita
0.499,0.522,-0.348,2068,CarbonEmissions_per_capita
0.48,0.5,-0.35,2069,CarbonEmissions_per_capita
0.461,0.478,-0.351,2070,CarbonEmissions_per_capita
0.442,0.455,-0.353,2071,CarbonEmissions_per_capita
