Baseline,SDG Push,JET SDG,Year,indicator
0.003,0.003,0.00302,2019,CarbonEmissions
0.0032,0.0032,0.00317,2020,CarbonEmissions
0.0031,0.0031,0.00314,2021,CarbonEmissions
0.0032,0.0032,0.00319,2022,CarbonEmissions
0.0034,0.0034,0.00343,2023,CarbonEmissions
0.0036,0.0036,0.00358,2024,CarbonEmissions
0.0036,0.0036,0.00368,2025,CarbonEmissions
0.0037,0.0037,0.00372,2026,CarbonEmissions
0.0037,0.0037,0.00373,2027,CarbonEmissions
0.0038,0.0038,0.00371,2028,CarbonEmissions
0.0039,0.0039,0.00366,2029,CarbonEmissions
0.004,0.0041,0.0036,2030,CarbonEmissions
0.0042,0.0042,0.00355,2031,CarbonEmissions
0.0042,0.0043,0.0035,2032,CarbonEmissions
0.0043,0.0044,0.00345,2033,CarbonEmissions
0.0044,0.0045,0.0034,2034,CarbonEmissions
0.0044,0.0045,0.00334,2035,CarbonEmissions
0.0045,0.0046,0.00328,2036,CarbonEmissions
0.0046,0.0047,0.00313,2037,CarbonEmissions
0.0046,0.0048,0.00297,2038,CarbonEmissions
0.0047,0.0049,0.00279,2039,CarbonEmissions
0.0047,0.005,0.00257,2040,CarbonEmissions
0.0048,0.0051,0.00235,2041,CarbonEmissions
0.0048,0.0052,0.00212,2042,CarbonEmissions
0.0049,0.0053,0.0019,2043,CarbonEmissions
0.0049,0.0053,0.00169,2044,CarbonEmissions
0.005,0.0054,0.00149,2045,CarbonEmissions
0.005,0.0054,0.00132,2046,CarbonEmissions
0.005,0.0055,0.00123,2047,CarbonEmissions
0.005,0.0055,0.00114,2048,CarbonEmissions
0.005,0.0056,0.00107,2049,CarbonEmissions
0.005,0.0056,0.00101,2050,CarbonEmissions
0.005,0.0056,0.00097,2051,CarbonEmissions
0.005,0.0057,0.00092,2052,CarbonEmissions
0.005,0.0057,0.00089,2053,CarbonEmissions
0.0049,0.0057,0.00085,2054,CarbonEmissions
0.0049,0.0056,0.00081,2055,CarbonEmissions
0.0049,0.0056,0.00076,2056,CarbonEmissions
0.0048,0.0056,0.00071,2057,CarbonEmissions
0.0048,0.0056,0.00066,2058,CarbonEmissions
0.0047,0.0056,0.00062,2059,CarbonEmissions
0.0047,0.0057,0.00057,2060,CarbonEmissions
0.0046,0.0057,0.00052,2061,CarbonEmissions
0.0046,0.0057,0.00047,2062,CarbonEmissions
0.0045,0.0057,0.00042,2063,CarbonEmissions
0.0045,0.0057,0.00037,2064,CarbonEmissions
0.0044,0.0057,0.00033,2065,CarbonEmissions
0.0043,0.0056,0.00029,2066,CarbonEmissions
0.0043,0.0056,0.00025,2067,CarbonEmissions
0.0043,0.0056,0.00022,2068,CarbonEmissions
0.0043,0.0055,0.00018,2069,CarbonEmissions
0.0042,0.0055,0.00015,2070,CarbonEmissions
0.0042,0.0054,0.00012,2071,CarbonEmissions
0.0041,0.0053,0.00009,2072,CarbonEmissions
0.0041,0.0052,0.00006,2073,CarbonEmissions
0.004,0.0051,0.00003,2074,CarbonEmissions
0.0039,0.0051,0.00001,2075,CarbonEmissions
0.0039,0.005,-0.00002,2076,CarbonEmissions
0.0038,0.0049,-0.00004,2077,CarbonEmissions
0.0037,0.0048,-0.00006,2078,CarbonEmissions
0.0037,0.0047,-0.00008,2079,CarbonEmissions
0.0036,0.0047,-0.0001,2080,CarbonEmissions
0.0035,0.0046,-0.00011,2081,CarbonEmissions
0.0034,0.0045,-0.00013,2082,CarbonEmissions
0.0033,0.0044,-0.00014,2083,CarbonEmissions
0.0033,0.0043,-0.00015,2084,CarbonEmissions
0.0032,0.0042,-0.00017,2085,CarbonEmissions
0.0031,0.0041,-0.00018,2086,CarbonEmissions
0.003,0.004,-0.00019,2087,CarbonEmissions
0.003,0.0039,-0.0002,2088,CarbonEmissions
0.0029,0.0038,-0.00021,2089,CarbonEmissions
0.0028,0.0037,-0.00022,2090,CarbonEmissions
0.0028,0.0036,-0.00022,2091,CarbonEmissions
0.0027,0.0035,-0.00023,2092,CarbonEmissions
0.0026,0.0034,-0.00023,2093,CarbonEmissions
0.0026,0.0033,-0.00023,2094,CarbonEmissions
0.0025,0.0032,-0.00023,2095,CarbonEmissions
0.0024,0.0031,-0.00023,2096,CarbonEmissions
0.0024,0.003,-0.00024,2097,CarbonEmissions
0.0023,0.0029,-0.00024,2098,CarbonEmissions
0.0022,0.0028,-0.00024,2099,CarbonEmissions
0.0022,0.0027,-0.00024,2100,CarbonEmissions
8.37619,8.37619,8.37619,2019,ChildMort5Yrs
8.79551,8.79551,8.79551,2020,ChildMort5Yrs
8.38117,8.38117,8.38117,2021,ChildMort5Yrs
7.85527,7.85527,7.85527,2022,ChildMort5Yrs
7.66144,7.66144,7.66144,2023,ChildMort5Yrs
7.56527,7.56527,7.56527,2024,ChildMort5Yrs
7.46316,7.44694,7.44801,2025,ChildMort5Yrs
7.33785,7.30609,7.30608,2026,ChildMort5Yrs
7.1714,7.08247,7.08074,2027,ChildMort5Yrs
7.02138,6.87688,6.86776,2028,ChildMort5Yrs
6.87053,6.67798,6.65782,2029,ChildMort5Yrs
6.73577,6.49427,6.46343,2030,ChildMort5Yrs
6.60878,6.41081,6.37143,2031,ChildMort5Yrs
6.49444,6.31409,6.26805,2032,ChildMort5Yrs
6.42852,6.19838,6.14775,2033,ChildMort5Yrs
6.34825,6.06271,6.01125,2034,ChildMort5Yrs
6.25221,5.90594,5.85804,2035,ChildMort5Yrs
6.14357,5.73339,5.68906,2036,ChildMort5Yrs
6.02205,5.56098,5.51665,2037,ChildMort5Yrs
5.88876,5.4038,5.35969,2038,ChildMort5Yrs
5.75316,5.24928,5.2054,2039,ChildMort5Yrs
5.61625,5.09567,5.05266,2040,ChildMort5Yrs
5.48193,4.94755,4.90452,2041,ChildMort5Yrs
5.35139,4.80498,4.76194,2042,ChildMort5Yrs
5.22485,4.66792,4.6244,2043,ChildMort5Yrs
5.10239,4.53549,4.4915,2044,ChildMort5Yrs
4.98433,4.40804,4.36402,2045,ChildMort5Yrs
4.87247,4.28748,4.24354,2046,ChildMort5Yrs
4.76724,4.17406,4.13031,2047,ChildMort5Yrs
4.66874,4.06738,4.02401,2048,ChildMort5Yrs
4.57723,3.96687,3.92431,2049,ChildMort5Yrs
4.49375,3.87415,3.83274,2050,ChildMort5Yrs
4.41652,3.78749,3.74751,2051,ChildMort5Yrs
4.34511,3.70827,3.6704,2052,ChildMort5Yrs
4.27956,3.63663,3.6017,2053,ChildMort5Yrs
4.2211,3.57305,3.53951,2054,ChildMort5Yrs
4.16979,3.51547,3.48308,2055,ChildMort5Yrs
4.12322,3.45668,3.41344,2056,ChildMort5Yrs
4.08031,3.38616,3.34585,2057,ChildMort5Yrs
4.04028,3.3227,3.2856,2058,ChildMort5Yrs
4.0022,3.2656,3.22955,2059,ChildMort5Yrs
3.96658,3.21202,3.17738,2060,ChildMort5Yrs
3.93025,3.15955,3.12625,2061,ChildMort5Yrs
3.89453,3.10788,3.07483,2062,ChildMort5Yrs
3.85935,3.05753,3.02411,2063,ChildMort5Yrs
3.8245,3.00846,2.97413,2064,ChildMort5Yrs
3.78891,2.95936,2.92717,2065,ChildMort5Yrs
3.73336,2.91366,2.88266,2066,ChildMort5Yrs
3.67965,2.86783,2.83687,2067,ChildMort5Yrs
3.62669,2.82101,2.79016,2068,ChildMort5Yrs
3.57515,2.77491,2.74436,2069,ChildMort5Yrs
3.5233,2.72866,2.69862,2070,ChildMort5Yrs
3.47222,2.68329,2.65332,2071,ChildMort5Yrs
3.42177,2.63805,2.60916,2072,ChildMort5Yrs
3.37245,2.59459,2.56625,2073,ChildMort5Yrs
3.32488,2.5526,2.52488,2074,ChildMort5Yrs
3.27962,2.5127,2.48467,2075,ChildMort5Yrs
3.23711,2.47419,2.4466,2076,ChildMort5Yrs
3.19767,2.43759,2.4104,2077,ChildMort5Yrs
3.16122,2.40311,2.3767,2078,ChildMort5Yrs
3.12756,2.37091,2.34494,2079,ChildMort5Yrs
3.09636,2.34098,2.31517,2080,ChildMort5Yrs
3.06766,2.3127,2.28671,2081,ChildMort5Yrs
3.04104,2.28557,2.25945,2082,ChildMort5Yrs
3.01606,2.25957,2.23335,2083,ChildMort5Yrs
2.99265,2.23431,2.20811,2084,ChildMort5Yrs
2.97029,2.20984,2.18383,2085,ChildMort5Yrs
2.94906,2.18634,2.16073,2086,ChildMort5Yrs
2.92841,2.16424,2.13913,2087,ChildMort5Yrs
2.90851,2.14325,2.11868,2088,ChildMort5Yrs
2.88958,2.12369,2.09945,2089,ChildMort5Yrs
2.87336,2.10699,2.08278,2090,ChildMort5Yrs
2.8577,2.09148,2.06736,2091,ChildMort5Yrs
2.84237,2.07663,2.0526,2092,ChildMort5Yrs
2.82728,2.06248,2.03838,2093,ChildMort5Yrs
2.8151,2.05109,2.02698,2094,ChildMort5Yrs
2.80311,2.03942,2.01532,2095,ChildMort5Yrs
2.79108,2.02687,2.00277,2096,ChildMort5Yrs
2.7792,2.01419,1.99052,2097,ChildMort5Yrs
2.76755,2.00092,1.97747,2098,ChildMort5Yrs
2.75727,1.98787,1.96474,2099,ChildMort5Yrs
2.74667,1.97378,1.95103,2100,ChildMort5Yrs
0,0,0,2019,ENP_Coal
0,0,0,2020,ENP_Coal
0,0,0,2021,ENP_Coal
0,0,0,2022,ENP_Coal
0,0,0,2023,ENP_Coal
0,0,0,2024,ENP_Coal
0,0,0,2025,ENP_Coal
0,0,0,2026,ENP_Coal
0,0,0,2027,ENP_Coal
0,0,0,2028,ENP_Coal
0,0,0,2029,ENP_Coal
0,0,0,2030,ENP_Coal
0.0001,0.0001,0,2031,ENP_Coal
0.0001,0.0001,0,2032,ENP_Coal
0.0001,0.0001,0,2033,ENP_Coal
