Baseline,SDG Push,JET SDG,Year,indicator
0.00503,0.00503,0.00503,2019,CarbonEmissions
0.00585,0.00585,0.00585,2020,CarbonEmissions
0.00645,0.00645,0.00645,2021,CarbonEmissions
0.00692,0.00692,0.00692,2022,CarbonEmissions
0.00737,0.00737,0.00737,2023,CarbonEmissions
0.00765,0.00765,0.00765,2024,CarbonEmissions
0.00786,0.00786,0.00832,2025,CarbonEmissions
0.00823,0.00823,0.00905,2026,CarbonEmissions
0.00869,0.00869,0.00975,2027,CarbonEmissions
0.00916,0.00916,0.01029,2028,CarbonEmissions
0.00972,0.00972,0.01075,2029,CarbonEmissions
0.01029,0.01031,0.01115,2030,CarbonEmissions
0.0108,0.01085,0.01142,2031,CarbonEmissions
0.0112,0.01129,0.01178,2032,CarbonEmissions
0.01155,0.01166,0.01223,2033,CarbonEmissions
0.01179,0.01189,0.01274,2034,CarbonEmissions
0.01202,0.0121,0.01323,2035,CarbonEmissions
0.01218,0.01229,0.01374,2036,CarbonEmissions
0.01239,0.01246,0.01432,2037,CarbonEmissions
0.01251,0.01256,0.01478,2038,CarbonEmissions
0.01266,0.01269,0.01505,2039,CarbonEmissions
0.01286,0.01286,0.01502,2040,CarbonEmissions
0.01307,0.01302,0.0148,2041,CarbonEmissions
0.01325,0.01318,0.01447,2042,CarbonEmissions
0.01341,0.01337,0.01407,2043,CarbonEmissions
0.01354,0.0135,0.01365,2044,CarbonEmissions
0.01366,0.01363,0.01319,2045,CarbonEmissions
0.01378,0.01377,0.01278,2046,CarbonEmissions
0.01386,0.01387,0.01223,2047,CarbonEmissions
0.01392,0.01393,0.01175,2048,CarbonEmissions
0.01392,0.01393,0.01135,2049,CarbonEmissions
0.01388,0.01391,0.01111,2050,CarbonEmissions
0.01378,0.0138,0.01097,2051,CarbonEmissions
0.01364,0.01363,0.01086,2052,CarbonEmissions
0.01345,0.01343,0.01068,2053,CarbonEmissions
0.01322,0.0132,0.01042,2054,CarbonEmissions
0.01295,0.01292,0.01003,2055,CarbonEmissions
0.01262,0.01267,0.00954,2056,CarbonEmissions
0.01233,0.01231,0.00901,2057,CarbonEmissions
0.01196,0.01193,0.00844,2058,CarbonEmissions
0.01151,0.01146,0.00788,2059,CarbonEmissions
0.01097,0.01095,0.00718,2060,CarbonEmissions
0.01036,0.01036,0.00652,2061,CarbonEmissions
0.00967,0.00973,0.00586,2062,CarbonEmissions
0.00895,0.00911,0.00527,2063,CarbonEmissions
0.00819,0.00849,0.00474,2064,CarbonEmissions
0.00742,0.00788,0.00446,2065,CarbonEmissions
0.00665,0.00733,0.00416,2066,CarbonEmissions
0.00588,0.0068,0.00385,2067,CarbonEmissions
0.00511,0.00635,0.00355,2068,CarbonEmissions
0.0044,0.00594,0.00325,2069,CarbonEmissions
0.00369,0.00559,0.00291,2070,CarbonEmissions
0.00304,0.00531,0.00258,2071,CarbonEmissions
0.00241,0.00499,0.00224,2072,CarbonEmissions
0.00178,0.00467,0.0019,2073,CarbonEmissions
0.00121,0.00435,0.00157,2074,CarbonEmissions
0.00073,0.00405,0.00126,2075,CarbonEmissions
0.00033,0.00365,0.00099,2076,CarbonEmissions
0.00001,0.00332,0.00076,2077,CarbonEmissions
-0.00026,0.00306,0.00061,2078,CarbonEmissions
-0.00046,0.00283,0.00047,2079,CarbonEmissions
-0.0006,0.00254,0.00041,2080,CarbonEmissions
-0.00065,0.00228,0.00032,2081,CarbonEmissions
-0.00067,0.00207,0.00023,2082,CarbonEmissions
-0.00065,0.00191,0.00015,2083,CarbonEmissions
-0.0006,0.00179,0.00007,2084,CarbonEmissions
-0.00071,0.0017,-0.00004,2085,CarbonEmissions
-0.0007,0.00166,-0.00014,2086,CarbonEmissions
-0.00066,0.00163,-0.00028,2087,CarbonEmissions
-0.00061,0.00136,-0.00043,2088,CarbonEmissions
-0.00054,0.0011,-0.00059,2089,CarbonEmissions
-0.00042,0.00093,-0.00075,2090,CarbonEmissions
-0.00026,0.00079,-0.00091,2091,CarbonEmissions
-0.00016,0.00071,-0.0011,2092,CarbonEmissions
-0.00003,0.00049,-0.00129,2093,CarbonEmissions
0.00012,0.00057,-0.0015,2094,CarbonEmissions
0.00027,0.00075,-0.00173,2095,CarbonEmissions
0.00042,0.00096,-0.00198,2096,CarbonEmissions
0.00054,0.00117,-0.0021,2097,CarbonEmissions
0.00066,0.00136,-0.00223,2098,CarbonEmissions
0.00076,0.00156,-0.00233,2099,CarbonEmissions
0.0008,0.00168,-0.00244,2100,CarbonEmissions
49.86,49.86,49.86,2019,ChildMort5Yrs
50.39,50.39,50.39,2020,ChildMort5Yrs
49.78,49.78,49.78,2021,ChildMort5Yrs
48.71,48.71,48.71,2022,ChildMort5Yrs
48.27,48.27,48.27,2023,ChildMort5Yrs
47.85,47.85,47.85,2024,ChildMort5Yrs
46.81,46.59,46.59,2025,ChildMort5Yrs
45.65,45.11,45.12,2026,ChildMort5Yrs
44.48,43.54,43.55,2027,ChildMort5Yrs
43.27,42,42,2028,ChildMort5Yrs
42.08,40.54,40.53,2029,ChildMort5Yrs
40.93,39.16,39.14,2030,ChildMort5Yrs
39.82,37.84,37.79,2031,ChildMort5Yrs
38.74,36.59,36.5,2032,ChildMort5Yrs
37.67,35.37,35.24,2033,ChildMort5Yrs
36.6,34.16,33.98,2034,ChildMort5Yrs
35.54,32.96,32.73,2035,ChildMort5Yrs
34.49,31.79,31.51,2036,ChildMort5Yrs
33.46,30.64,30.32,2037,ChildMort5Yrs
32.46,29.59,29.23,2038,ChildMort5Yrs
31.49,28.62,28.24,2039,ChildMort5Yrs
30.55,27.68,27.25,2040,ChildMort5Yrs
29.73,26.77,26.3,2041,ChildMort5Yrs
28.89,25.89,25.38,2042,ChildMort5Yrs
28.08,25.03,24.48,2043,ChildMort5Yrs
27.3,24.2,23.62,2044,ChildMort5Yrs
26.54,23.38,22.78,2045,ChildMort5Yrs
25.8,22.6,21.97,2046,ChildMort5Yrs
25.08,21.83,21.19,2047,ChildMort5Yrs
24.38,21.08,20.44,2048,ChildMort5Yrs
23.69,20.35,19.71,2049,ChildMort5Yrs
23.02,19.64,19,2050,ChildMort5Yrs
22.35,18.95,18.31,2051,ChildMort5Yrs
21.7,18.31,17.68,2052,ChildMort5Yrs
21.07,17.69,17.07,2053,ChildMort5Yrs
20.46,17.07,16.47,2054,ChildMort5Yrs
19.88,16.48,15.89,2055,ChildMort5Yrs
19.31,15.94,15.47,2056,ChildMort5Yrs
18.76,15.53,15.06,2057,ChildMort5Yrs
18.23,15.1,14.62,2058,ChildMort5Yrs
