Baseline,SDG Push,JET SDG,Year,indicator
0.0008,0.0008,0.00075,2019,CarbonEmissions
0.0008,0.0008,0.00079,2020,CarbonEmissions
0.0009,0.0009,0.00091,2021,CarbonEmissions
0.0011,0.0011,0.00108,2022,CarbonEmissions
0.0015,0.0015,0.0015,2023,CarbonEmissions
0.0019,0.0019,0.00192,2024,CarbonEmissions
0.0024,0.0024,0.00241,2025,CarbonEmissions
0.0027,0.0027,0.00275,2026,CarbonEmissions
0.003,0.003,0.00306,2027,CarbonEmissions
0.0032,0.0032,0.00316,2028,CarbonEmissions
0.0033,0.0033,0.00316,2029,CarbonEmissions
0.0034,0.0034,0.00309,2030,CarbonEmissions
0.0035,0.0035,0.00301,2031,CarbonEmissions
0.0035,0.0035,0.00292,2032,CarbonEmissions
0.0035,0.0035,0.00284,2033,CarbonEmissions
0.0035,0.0036,0.00276,2034,CarbonEmissions
0.0035,0.0036,0.00268,2035,CarbonEmissions
0.0035,0.0036,0.00261,2036,CarbonEmissions
0.0035,0.0036,0.0025,2037,CarbonEmissions
0.0035,0.0036,0.00238,2038,CarbonEmissions
0.0035,0.0036,0.00224,2039,CarbonEmissions
0.0035,0.0037,0.00209,2040,CarbonEmissions
0.0035,0.0037,0.00192,2041,CarbonEmissions
0.0035,0.0037,0.00174,2042,CarbonEmissions
0.0034,0.0036,0.00157,2043,CarbonEmissions
0.0034,0.0036,0.00141,2044,CarbonEmissions
0.0034,0.0036,0.00128,2045,CarbonEmissions
0.0034,0.0036,0.00116,2046,CarbonEmissions
0.0033,0.0036,0.00108,2047,CarbonEmissions
0.0033,0.0036,0.00102,2048,CarbonEmissions
0.0033,0.0036,0.00097,2049,CarbonEmissions
0.0033,0.0036,0.00093,2050,CarbonEmissions
0.0033,0.0036,0.00091,2051,CarbonEmissions
0.0033,0.0036,0.00089,2052,CarbonEmissions
0.0032,0.0036,0.00087,2053,CarbonEmissions
0.0032,0.0035,0.00086,2054,CarbonEmissions
0.0032,0.0035,0.00084,2055,CarbonEmissions
0.0032,0.0035,0.00081,2056,CarbonEmissions
0.0032,0.0035,0.00078,2057,CarbonEmissions
0.0031,0.0035,0.00074,2058,CarbonEmissions
0.0031,0.0034,0.0007,2059,CarbonEmissions
0.0031,0.0034,0.00066,2060,CarbonEmissions
0.003,0.0034,0.00062,2061,CarbonEmissions
0.003,0.0033,0.00058,2062,CarbonEmissions
0.0029,0.0033,0.00054,2063,CarbonEmissions
0.0029,0.0032,0.0005,2064,CarbonEmissions
0.0028,0.0032,0.00047,2065,CarbonEmissions
0.0028,0.0032,0.00044,2066,CarbonEmissions
0.0028,0.0032,0.00041,2067,CarbonEmissions
0.0027,0.0031,0.00039,2068,CarbonEmissions
0.0027,0.0031,0.00036,2069,CarbonEmissions
0.0027,0.003,0.00034,2070,CarbonEmissions
0.0026,0.003,0.00032,2071,CarbonEmissions
0.0026,0.003,0.00031,2072,CarbonEmissions
0.0026,0.0029,0.00029,2073,CarbonEmissions
0.0025,0.0029,0.00028,2074,CarbonEmissions
0.0025,0.0028,0.00026,2075,CarbonEmissions
0.0024,0.0028,0.00025,2076,CarbonEmissions
0.0024,0.0028,0.00024,2077,CarbonEmissions
0.0024,0.0027,0.00023,2078,CarbonEmissions
0.0023,0.0027,0.00021,2079,CarbonEmissions
0.0023,0.0027,0.0002,2080,CarbonEmissions
0.0023,0.0027,0.00019,2081,CarbonEmissions
0.0022,0.0026,0.00018,2082,CarbonEmissions
0.0022,0.0026,0.00017,2083,CarbonEmissions
0.0022,0.0025,0.00016,2084,CarbonEmissions
0.0021,0.0025,0.00015,2085,CarbonEmissions
0.0021,0.0025,0.00014,2086,CarbonEmissions
0.0021,0.0024,0.00013,2087,CarbonEmissions
0.002,0.0024,0.00012,2088,CarbonEmissions
0.002,0.0023,0.00011,2089,CarbonEmissions
0.002,0.0023,0.0001,2090,CarbonEmissions
0.0019,0.0022,0.0001,2091,CarbonEmissions
0.0019,0.0022,0.00009,2092,CarbonEmissions
0.0019,0.0022,0.00009,2093,CarbonEmissions
0.0018,0.0021,0.00008,2094,CarbonEmissions
0.0018,0.0021,0.00008,2095,CarbonEmissions
0.0018,0.0021,0.00007,2096,CarbonEmissions
0.0017,0.002,0.00007,2097,CarbonEmissions
0.0017,0.002,0.00007,2098,CarbonEmissions
0.0017,0.002,0.00007,2099,CarbonEmissions
0.0016,0.0019,0.00006,2100,CarbonEmissions
20.94,20.94,20.94,2019,ChildMort5Yrs
16.15,16.15,16.15,2020,ChildMort5Yrs
13.82,13.82,13.82,2021,ChildMort5Yrs
9.57162,9.57162,9.57162,2022,ChildMort5Yrs
7.66338,7.66338,7.66338,2023,ChildMort5Yrs
6.19087,6.19087,6.19087,2024,ChildMort5Yrs
5.48007,5.45988,5.45989,2025,ChildMort5Yrs
4.83277,4.7964,4.79633,2026,ChildMort5Yrs
4.5696,4.48487,4.48341,2027,ChildMort5Yrs
4.41199,4.28933,4.28538,2028,ChildMort5Yrs
4.32502,4.21512,4.20733,2029,ChildMort5Yrs
4.2754,4.13554,4.12456,2030,ChildMort5Yrs
4.22281,4.05487,4.0425,2031,ChildMort5Yrs
4.15294,3.95707,3.94353,2032,ChildMort5Yrs
4.07077,3.84124,3.82869,2033,ChildMort5Yrs
3.98462,3.71965,3.70725,2034,ChildMort5Yrs
3.89621,3.60427,3.59172,2035,ChildMort5Yrs
3.80108,3.48491,3.47268,2036,ChildMort5Yrs
3.70066,3.36262,3.35103,2037,ChildMort5Yrs
3.60326,3.25557,3.24356,2038,ChildMort5Yrs
3.51695,3.1609,3.14889,2039,ChildMort5Yrs
3.44699,3.08029,3.0677,2040,ChildMort5Yrs
3.38856,3.01259,2.99913,2041,ChildMort5Yrs
3.33232,2.94911,2.93479,2042,ChildMort5Yrs
3.26761,2.88099,2.86708,2043,ChildMort5Yrs
3.19543,2.80606,2.79206,2044,ChildMort5Yrs
3.12087,2.72967,2.7156,2045,ChildMort5Yrs
3.04631,2.65395,2.6398,2046,ChildMort5Yrs
2.97515,2.58217,2.56785,2047,ChildMort5Yrs
2.90494,2.51106,2.49681,2048,ChildMort5Yrs
2.83505,2.44141,2.42754,2049,ChildMort5Yrs
2.76657,2.37399,2.36073,2050,ChildMort5Yrs
2.70109,2.31068,2.29837,2051,ChildMort5Yrs
2.63899,2.25096,2.23821,2052,ChildMort5Yrs
2.58132,2.1939,2.18031,2053,ChildMort5Yrs
2.52649,2.13949,2.12559,2054,ChildMort5Yrs
2.47331,2.08752,2.07406,2055,ChildMort5Yrs
2.42395,2.04033,2.02858,2056,ChildMort5Yrs
2.37935,1.99806,1.98849,2057,ChildMort5Yrs
2.34107,1.9623,1.95533,2058,ChildMort5Yrs
2.3093,1.93183,1.92711,2059,ChildMort5Yrs
2.28323,1.90559,1.90219,2060,ChildMort5Yrs
2.26127,1.88096,1.8775,2061,ChildMort5Yrs
2.24076,1.85703,1.85283,2062,ChildMort5Yrs
2.21988,1.83279,1.82751,2063,ChildMort5Yrs
2.19756,1.80769,1.8017,2064,ChildMort5Yrs
2.1724,1.7802,1.77314,2065,ChildMort5Yrs
2.14424,1.74927,1.74122,2066,ChildMort5Yrs
2.11399,1.71755,1.709,2067,ChildMort5Yrs
2.0822,1.68612,1.67742,2068,ChildMort5Yrs
2.04986,1.65493,1.64686,2069,ChildMort5Yrs
2.017,1.62452,1.61753,2070,ChildMort5Yrs
1.98421,1.59567,1.58993,2071,ChildMort5Yrs
1.95208,1.56734,1.56307,2072,ChildMort5Yrs
1.92083,1.5403,1.53733,2073,ChildMort5Yrs
1.89062,1.51447,1.51212,2074,ChildMort5Yrs
1.86123,1.48804,1.48591,2075,ChildMort5Yrs
1.8323,1.4615,1.45919,2076,ChildMort5Yrs
1.80345,1.4347,1.43166,2077,ChildMort5Yrs
1.77449,1.40665,1.40301,2078,ChildMort5Yrs
1.74534,1.37863,1.37456,2079,ChildMort5Yrs
1.71635,1.35122,1.34672,2080,ChildMort5Yrs
1.68764,1.32381,1.31945,2081,ChildMort5Yrs
1.65968,1.29796,1.29385,2082,ChildMort5Yrs
1.63463,1.27526,1.27186,2083,ChildMort5Yrs
1.61125,1.25451,1.25179,2084,ChildMort5Yrs
1.58926,1.23586,1.23424,2085,ChildMort5Yrs
1.56888,1.21915,1.21803,2086,ChildMort5Yrs
1.54949,1.20307,1.2027,2087,ChildMort5Yrs
1.53133,1.18801,1.18769,2088,ChildMort5Yrs
1.51348,1.17318,1.17291,2089,ChildMort5Yrs
1.49659,1.15838,1.15757,2090,ChildMort5Yrs
1.47941,1.14333,1.14256,2091,ChildMort5Yrs
1.46274,1.12849,1.12703,2092,ChildMort5Yrs
1.44562,1.11305,1.11204,2093,ChildMort5Yrs
1.42924,1.09887,1.0976,2094,ChildMort5Yrs
1.41261,1.08525,1.08488,2095,ChildMort5Yrs
1.39684,1.07249,1.07226,2096,ChildMort5Yrs
1.38107,1.0603,1.06119,2097,ChildMort5Yrs
1.36615,1.04928,1.05054,2098,ChildMort5Yrs
1.35132,1.03834,1.04032,2099,ChildMort5Yrs
1.33702,1.02796,1.03017,2100,ChildMort5Yrs
0,0,0,2019,ENP_Coal
0,0,0,2020,ENP_Coal
0,0,0,2021,ENP_Coal
0,0,0,2022,ENP_Coal
0,0,0,2023,ENP_Coal
0,0,0,2024,ENP_Coal
0,0,0,2025,ENP_Coal
0,0,0,2026,ENP_Coal
0,0,0,2027,ENP_Coal
0,0,0,2028,ENP_Coal
0,0,0,2029,ENP_Coal
0,0,0,2030,ENP_Coal
0,0,0,2031,ENP_Coal
0,0,0,2032,ENP_Coal
0,0,0,2033,ENP_Coal
0,0,0,2034,ENP_Coal
0,0,0,2035,ENP_Coal
0,0,0,2036,ENP_Coal
0,0,0,2037,ENP_Coal
0,0,0,2038,ENP_Coal
0,0,0,2039,ENP_Coal
0,0,0,2040,ENP_Coal
0,0,0,2041,ENP_Coal
0,0,0,2042,ENP_Coal
0,0,0,2043,ENP_Coal
0,0,0,2044,ENP_Coal
0,0,0,2045,ENP_Coal
0,0,0,2046,ENP_Coal
0,0,0,2047,ENP_Coal
0,0,0,2048,ENP_Coal
0,0,0,2049,ENP_Coal
0,0,0,2050,ENP_Coal
0,0,0,2051,ENP_Coal
0,0,0,2052,ENP_Coal
0,0,0,2053,ENP_Coal
0,0,0,2054,ENP_Coal
0,0,0,2055,ENP_Coal
0,0,0,2056,ENP_Coal
0,0,0,2057,ENP_Coal
0,0,0,2058,ENP_Coal
0,0,0,2059,ENP_Coal
0,0,0,2060,ENP_Coal
0,0,0,2061,ENP_Coal
0,0,0,2062,ENP_Coal
0,0,0,2063,ENP_Coal
0,0,0,2064,ENP_Coal
0,0,0,2065,ENP_Coal
0,0,0,2066,ENP_Coal
0,0,0,2067,ENP_Coal
0,0,0,2068,ENP_Coal
0,0,0,2069,ENP_Coal
0,0,0,2070,ENP_Coal
0,0,0,2071,ENP_Coal
0,0,0,2072,ENP_Coal
0,0,0,2073,ENP_Coal
0,0,0,2074,ENP_Coal
0,0,0,2075,ENP_Coal
0,0,0,2076,ENP_Coal
0,0,0,2077,ENP_Coal
0,0,0,2078,ENP_Coal
0,0,0,2079,ENP_Coal
0,0,0,2080,ENP_Coal
0,0,0,2081,ENP_Coal
0,0,0,2082,ENP_Coal
0,0,0,2083,ENP_Coal
0,0,0,2084,ENP_Coal
0,0,0,2085,ENP_Coal
0,0,0,2086,ENP_Coal
0,0,0,2087,ENP_Coal
0,0,0,2088,ENP_Coal
0,0,0,2089,ENP_Coal
0,0,0,2090,ENP_Coal
0,0,0,2091,ENP_Coal
0,0,0,2092,ENP_Coal
0,0,0,2093,ENP_Coal
0,0,0,2094,ENP_Coal
0,0,0,2095,ENP_Coal
0,0,0,2096,ENP_Coal
0,0,0,2097,ENP_Coal
0,0,0,2098,ENP_Coal
0,0,0,2099,ENP_Coal
0,0,0,2100,ENP_Coal
0.00104,0.00104,0.001,2019,ENP_Gas
0.00105,0.00105,0.001,2020,ENP_Gas
0.00098,0.00098,0.001,2021,ENP_Gas
0.00103,0.00103,0.001,2022,ENP_Gas
0.00089,0.00089,0.0009,2023,ENP_Gas
0.00107,0.00107,0.0011,2024,ENP_Gas
0.0014,0.0014,0.0014,2025,ENP_Gas
0.00187,0.00187,0.0018,2026,ENP_Gas
0.0024,0.0024,0.0022,2027,ENP_Gas
0.00277,0.00277,0.0023,2028,ENP_Gas
0.00303,0.00303,0.0023,2029,ENP_Gas
0.00325,0.00326,0.0022,2030,ENP_Gas
0.00349,0.00353,0.0021,2031,ENP_Gas
0.00374,0.0038,0.0021,2032,ENP_Gas
0.00398,0.00409,0.0021,2033,ENP_Gas
0.00422,0.00437,0.0022,2034,ENP_Gas
0.00444,0.00463,0.0022,2035,ENP_Gas
0.00464,0.00487,0.0023,2036,ENP_Gas
0.00489,0.00516,0.0024,2037,ENP_Gas
0.00518,0.00548,0.0024,2038,ENP_Gas
0.00553,0.00586,0.0025,2039,ENP_Gas
0.0059,0.00627,0.0025,2040,ENP_Gas
0.00624,0.00664,0.0025,2041,ENP_Gas
0.00653,0.00699,0.0024,2042,ENP_Gas
0.0068,0.0073,0.0023,2043,ENP_Gas
0.00705,0.00761,0.0022,2044,ENP_Gas
0.00733,0.00794,0.0021,2045,ENP_Gas
0.00763,0.00831,0.002,2046,ENP_Gas
0.00796,0.00871,0.002,2047,ENP_Gas
0.00831,0.00914,0.0019,2048,ENP_Gas
0.00868,0.00959,0.0019,2049,ENP_Gas
0.00906,0.01006,0.0019,2050,ENP_Gas
0.00943,0.01052,0.002,2051,ENP_Gas
0.00982,0.01099,0.002,2052,ENP_Gas
0.0102,0.01144,0.0021,2053,ENP_Gas
0.01059,0.01189,0.0021,2054,ENP_Gas
0.01097,0.01234,0.0022,2055,ENP_Gas
0.01136,0.01279,0.0022,2056,ENP_Gas
0.01174,0.01328,0.0022,2057,ENP_Gas
0.01211,0.01376,0.0022,2058,ENP_Gas
0.01247,0.01425,0.0021,2059,ENP_Gas
0.01282,0.01473,0.0021,2060,ENP_Gas
0.01314,0.01523,0.002,2061,ENP_Gas
0.01347,0.01572,0.0019,2062,ENP_Gas
0.01379,0.01623,0.0018,2063,ENP_Gas
0.01413,0.01675,0.0018,2064,ENP_Gas
0.01449,0.01728,0.0017,2065,ENP_Gas
0.01485,0.0178,0.0016,2066,ENP_Gas
0.01521,0.0183,0.0016,2067,ENP_Gas
0.01557,0.01876,0.0015,2068,ENP_Gas
0.01589,0.01918,0.0015,2069,ENP_Gas
0.0162,0.01957,0.0014,2070,ENP_Gas
0.01647,0.01992,0.0014,2071,ENP_Gas
0.01672,0.02028,0.0014,2072,ENP_Gas
0.01699,0.02063,0.0013,2073,ENP_Gas
0.01725,0.021,0.0013,2074,ENP_Gas
0.01749,0.02139,0.0013,2075,ENP_Gas
0.01774,0.02184,0.0012,2076,ENP_Gas
0.01798,0.02228,0.0012,2077,ENP_Gas
0.01824,0.02271,0.0012,2078,ENP_Gas
0.01849,0.02314,0.0011,2079,ENP_Gas
0.01873,0.02354,0.0011,2080,ENP_Gas
0.01896,0.02392,0.001,2081,ENP_Gas
0.01918,0.02428,0.001,2082,ENP_Gas
0.01939,0.0246,0.001,2083,ENP_Gas
0.01958,0.02491,0.0009,2084,ENP_Gas
0.01976,0.02519,0.0009,2085,ENP_Gas
0.01993,0.02545,0.0008,2086,ENP_Gas
0.02011,0.0257,0.0008,2087,ENP_Gas
0.02028,0.02594,0.0007,2088,ENP_Gas
0.02046,0.02621,0.0007,2089,ENP_Gas
0.02063,0.02648,0.0007,2090,ENP_Gas
0.0208,0.02676,0.0006,2091,ENP_Gas
0.02096,0.02704,0.0006,2092,ENP_Gas
0.02112,0.02731,0.0006,2093,ENP_Gas
0.02126,0.02755,0.0005,2094,ENP_Gas
0.0214,0.02779,0.0005,2095,ENP_Gas
0.02152,0.02801,0.0005,2096,ENP_Gas
0.02165,0.02821,0.0005,2097,ENP_Gas
0.02175,0.0284,0.0004,2098,ENP_Gas
0.02187,0.02859,0.0004,2099,ENP_Gas
0.02197,0.02877,0.0004,2100,ENP_Gas
0.0001,0.0001,0.0001,2019,ENP_Hydro
0.0001,0.0001,0.0001,2020,ENP_Hydro
0.0001,0.0001,0.0001,2021,ENP_Hydro
0.0001,0.0001,0.0001,2022,ENP_Hydro
0.0001,0.0001,0.0001,2023,ENP_Hydro
0.0001,0.0001,0.0001,2024,ENP_Hydro
