Baseline,SDG Push,JET SDG,Year,indicator
0.19143,0.19143,0.19143,2019,CarbonEmissions
0.20058,0.20058,0.20058,2020,CarbonEmissions
0.20585,0.20585,0.20585,2021,CarbonEmissions
0.20883,0.20883,0.20883,2022,CarbonEmissions
0.2146,0.2146,0.2146,2023,CarbonEmissions
0.21879,0.21879,0.2188,2024,CarbonEmissions
0.22256,0.22256,0.21505,2025,CarbonEmissions
0.22674,0.22671,0.20818,2026,CarbonEmissions
0.23168,0.23158,0.19972,2027,CarbonEmissions
0.23454,0.23451,0.18747,2028,CarbonEmissions
0.23755,0.2376,0.17606,2029,CarbonEmissions
0.23884,0.23898,0.16545,2030,CarbonEmissions
0.23941,0.23961,0.16007,2031,CarbonEmissions
0.23794,0.23822,0.15485,2032,CarbonEmissions
0.23498,0.23523,0.15071,2033,CarbonEmissions
0.23118,0.23109,0.14688,2034,CarbonEmissions
0.22698,0.22663,0.14344,2035,CarbonEmissions
0.22295,0.22271,0.14023,2036,CarbonEmissions
0.21944,0.21931,0.136,2037,CarbonEmissions
0.21636,0.21612,0.13125,2038,CarbonEmissions
0.21359,0.21338,0.12576,2039,CarbonEmissions
0.21147,0.21141,0.1194,2040,CarbonEmissions
0.20973,0.21001,0.11301,2041,CarbonEmissions
0.20812,0.20878,0.10681,2042,CarbonEmissions
0.20661,0.20762,0.10075,2043,CarbonEmissions
0.20458,0.20593,0.09492,2044,CarbonEmissions
0.20247,0.20407,0.08937,2045,CarbonEmissions
0.20031,0.20214,0.08473,2046,CarbonEmissions
0.19809,0.2002,0.08162,2047,CarbonEmissions
0.19591,0.19819,0.0788,2048,CarbonEmissions
0.19365,0.19628,0.07592,2049,CarbonEmissions
0.19137,0.19466,0.07263,2050,CarbonEmissions
0.18896,0.19283,0.06972,2051,CarbonEmissions
0.18646,0.19069,0.06739,2052,CarbonEmissions
0.18386,0.18837,0.06543,2053,CarbonEmissions
0.18114,0.18583,0.06366,2054,CarbonEmissions
0.17843,0.18321,0.06202,2055,CarbonEmissions
0.17559,0.18047,0.06023,2056,CarbonEmissions
0.17265,0.17762,0.05789,2057,CarbonEmissions
0.16959,0.1747,0.05574,2058,CarbonEmissions
0.1665,0.17161,0.05337,2059,CarbonEmissions
0.16326,0.16855,0.05134,2060,CarbonEmissions
0.15991,0.16543,0.04937,2061,CarbonEmissions
0.15646,0.16238,0.04747,2062,CarbonEmissions
