Baseline,SDG Push,JET SDG,Year,indicator
0.0839,0.0839,0.0839,2019,CarbonEmissions
0.08203,0.08203,0.08203,2020,CarbonEmissions
0.07888,0.07888,0.07888,2021,CarbonEmissions
0.07891,0.07891,0.07891,2022,CarbonEmissions
0.07994,0.07994,0.07994,2023,CarbonEmissions
0.07874,0.07874,0.07875,2024,CarbonEmissions
0.07667,0.07667,0.07545,2025,CarbonEmissions
0.07466,0.07467,0.07128,2026,CarbonEmissions
0.07262,0.07263,0.06602,2027,CarbonEmissions
0.07137,0.07138,0.06074,2028,CarbonEmissions
0.07054,0.07065,0.05548,2029,CarbonEmissions
0.06978,0.07009,0.05019,2030,CarbonEmissions
0.06883,0.06938,0.04497,2031,CarbonEmissions
0.06754,0.06837,0.03995,2032,CarbonEmissions
0.06617,0.06728,0.03513,2033,CarbonEmissions
0.06475,0.06605,0.03042,2034,CarbonEmissions
0.06339,0.06492,0.02695,2035,CarbonEmissions
0.06206,0.06394,0.02328,2036,CarbonEmissions
0.06082,0.06307,0.01978,2037,CarbonEmissions
0.05967,0.06214,0.01628,2038,CarbonEmissions
0.05852,0.06128,0.01293,2039,CarbonEmissions
0.05752,0.06051,0.01021,2040,CarbonEmissions
0.05651,0.05986,0.00774,2041,CarbonEmissions
0.05555,0.05915,0.00559,2042,CarbonEmissions
0.05461,0.05847,0.00366,2043,CarbonEmissions
0.05358,0.05762,0.00188,2044,CarbonEmissions
0.05256,0.05677,0.00021,2045,CarbonEmissions
0.05156,0.0559,-0.00128,2046,CarbonEmissions
0.05057,0.05508,-0.00278,2047,CarbonEmissions
0.04963,0.05426,-0.00418,2048,CarbonEmissions
0.04871,0.05354,-0.00555,2049,CarbonEmissions
0.04793,0.05305,-0.00658,2050,CarbonEmissions
0.04682,0.05219,-0.00777,2051,CarbonEmissions
0.04574,0.05124,-0.0089,2052,CarbonEmissions
0.04469,0.05023,-0.01002,2053,CarbonEmissions
0.04363,0.0492,-0.01109,2054,CarbonEmissions
0.0426,0.04813,-0.01208,2055,CarbonEmissions
0.04156,0.04704,-0.0129,2056,CarbonEmissions
0.04054,0.0459,-0.0137,2057,CarbonEmissions
0.03945,0.04474,-0.01429,2058,CarbonEmissions
0.03836,0.0435,-0.01489,2059,CarbonEmissions
0.03721,0.04227,-0.01537,2060,CarbonEmissions
0.03606,0.041,-0.01578,2061,CarbonEmissions
0.03489,0.03974,-0.01614,2062,CarbonEmissions
0.03375,0.03844,-0.01645,2063,CarbonEmissions
0.03259,0.03719,-0.01674,2064,CarbonEmissions
0.03146,0.03591,-0.01678,2065,CarbonEmissions
0.03033,0.03468,-0.01688,2066,CarbonEmissions
0.02922,0.03341,-0.017,2067,CarbonEmissions
0.02809,0.03217,-0.01712,2068,CarbonEmissions
0.02702,0.03086,-0.01725,2069,CarbonEmissions
0.0259,0.02956,-0.01725,2070,CarbonEmissions
