Baseline,SDG Push,JET SDG,Year,indicator
0.0021,0.0021,0.00212,2019,CarbonEmissions
0.0021,0.0021,0.00206,2020,CarbonEmissions
0.002,0.002,0.00197,2021,CarbonEmissions
0.0019,0.0019,0.00189,2022,CarbonEmissions
0.0019,0.0019,0.00191,2023,CarbonEmissions
0.0019,0.0019,0.00191,2024,CarbonEmissions
0.0019,0.0019,0.00191,2025,CarbonEmissions
0.0018,0.0018,0.00186,2026,CarbonEmissions
0.0018,0.0018,0.00179,2027,CarbonEmissions
0.0018,0.0018,0.00168,2028,CarbonEmissions
0.0018,0.0018,0.00154,2029,CarbonEmissions
0.0018,0.0018,0.0014,2030,CarbonEmissions
0.0018,0.0018,0.00127,2031,CarbonEmissions
0.0017,0.0018,0.00116,2032,CarbonEmissions
0.0017,0.0017,0.00106,2033,CarbonEmissions
0.0017,0.0017,0.00096,2034,CarbonEmissions
0.0016,0.0017,0.00087,2035,CarbonEmissions
0.0016,0.0017,0.00079,2036,CarbonEmissions
0.0016,0.0017,0.00067,2037,CarbonEmissions
0.0015,0.0016,0.00056,2038,CarbonEmissions
0.0015,0.0016,0.00043,2039,CarbonEmissions
0.0015,0.0016,0.0003,2040,CarbonEmissions
0.0015,0.0016,0.00016,2041,CarbonEmissions
0.0014,0.0016,0.00003,2042,CarbonEmissions
0.0014,0.0016,-0.00009,2043,CarbonEmissions
0.0014,0.0015,-0.00021,2044,CarbonEmissions
0.0013,0.0015,-0.00032,2045,CarbonEmissions
0.0013,0.0015,-0.00041,2046,CarbonEmissions
0.0013,0.0015,-0.00047,2047,CarbonEmissions
0.0012,0.0014,-0.00052,2048,CarbonEmissions
0.0012,0.0014,-0.00057,2049,CarbonEmissions
0.0012,0.0014,-0.0006,2050,CarbonEmissions
0.0011,0.0014,-0.00063,2051,CarbonEmissions
0.0011,0.0013,-0.00066,2052,CarbonEmissions
0.0011,0.0013,-0.00068,2053,CarbonEmissions
0.001,0.0013,-0.0007,2054,CarbonEmissions
0.001,0.0013,-0.00072,2055,CarbonEmissions
0.001,0.0013,-0.00074,2056,CarbonEmissions
0.001,0.0013,-0.00077,2057,CarbonEmissions
0.0009,0.0012,-0.00079,2058,CarbonEmissions
0.0009,0.0012,-0.00082,2059,CarbonEmissions
0.0009,0.0012,-0.00084,2060,CarbonEmissions
0.0008,0.0012,-0.00087,2061,CarbonEmissions
0.0008,0.0012,-0.0009,2062,CarbonEmissions
0.0008,0.0012,-0.00092,2063,CarbonEmissions
0.0008,0.0012,-0.00095,2064,CarbonEmissions
0.0007,0.0012,-0.00097,2065,CarbonEmissions
0.0007,0.0012,-0.00098,2066,CarbonEmissions
0.0007,0.0012,-0.001,2067,CarbonEmissions
0.0007,0.0012,-0.00102,2068,CarbonEmissions
0.0007,0.0012,-0.00103,2069,CarbonEmissions
0.0007,0.0012,-0.00105,2070,CarbonEmissions
0.0006,0.0012,-0.00106,2071,CarbonEmissions
0.0006,0.0012,-0.00107,2072,CarbonEmissions
0.0006,0.0012,-0.00109,2073,CarbonEmissions
0.0006,0.0012,-0.0011,2074,CarbonEmissions
0.0006,0.0012,-0.00111,2075,CarbonEmissions
0.0006,0.0012,-0.00112,2076,CarbonEmissions
0.0006,0.0012,-0.00113,2077,CarbonEmissions
0.0006,0.0012,-0.00114,2078,CarbonEmissions
0.0005,0.0012,-0.00115,2079,CarbonEmissions
0.0005,0.0012,-0.00116,2080,CarbonEmissions
0.0005,0.0012,-0.00117,2081,CarbonEmissions
0.0005,0.0012,-0.00118,2082,CarbonEmissions
0.0005,0.0012,-0.00118,2083,CarbonEmissions
0.0005,0.0012,-0.00119,2084,CarbonEmissions
0.0005,0.0011,-0.0012,2085,CarbonEmissions
0.0005,0.0011,-0.00121,2086,CarbonEmissions
0.0005,0.0011,-0.00121,2087,CarbonEmissions
0.0005,0.001,-0.00122,2088,CarbonEmissions
0.0005,0.001,-0.00123,2089,CarbonEmissions
0.0004,0.0009,-0.00123,2090,CarbonEmissions
0.0004,0.0009,-0.00124,2091,CarbonEmissions
0.0004,0.0008,-0.00124,2092,CarbonEmissions
0.0004,0.0008,-0.00124,2093,CarbonEmissions
0.0003,0.0007,-0.00125,2094,CarbonEmissions
0.0003,0.0007,-0.00125,2095,CarbonEmissions
0.0003,0.0006,-0.00125,2096,CarbonEmissions
0.0003,0.0005,-0.00125,2097,CarbonEmissions
0.0002,0.0005,-0.00125,2098,CarbonEmissions
0.0002,0.0004,-0.00125,2099,CarbonEmissions
0.0002,0.0003,-0.00126,2100,CarbonEmissions
12.98,12.98,12.98,2019,ChildMort5Yrs
13.7,13.7,13.7,2020,ChildMort5Yrs
13.21,13.21,13.21,2021,ChildMort5Yrs
12.6,12.6,12.6,2022,ChildMort5Yrs
12.31,12.31,12.31,2023,ChildMort5Yrs
12.11,12.11,12.11,2024,ChildMort5Yrs
11.84,11.8,11.8,2025,ChildMort5Yrs
11.5,11.41,11.41,2026,ChildMort5Yrs
11.11,10.95,10.95,2027,ChildMort5Yrs
10.71,10.5,10.49,2028,ChildMort5Yrs
10.3,10.03,10.02,2029,ChildMort5Yrs
9.91401,9.59019,9.57596,2030,ChildMort5Yrs
9.56278,9.1895,9.17136,2031,ChildMort5Yrs
9.23671,8.81268,8.7893,2032,ChildMort5Yrs
8.92722,8.4544,8.4266,2033,ChildMort5Yrs
8.62998,8.1113,8.08049,2034,ChildMort5Yrs
8.33461,7.77085,7.73775,2035,ChildMort5Yrs
8.04551,7.43828,7.4049,2036,ChildMort5Yrs
7.76468,7.11714,7.08472,2037,ChildMort5Yrs
7.49476,6.83118,6.80027,2038,ChildMort5Yrs
7.23887,6.56238,6.53288,2039,ChildMort5Yrs
6.99148,6.30565,6.27736,2040,ChildMort5Yrs
6.75694,6.06382,6.03592,2041,ChildMort5Yrs
6.53456,5.83584,5.80787,2042,ChildMort5Yrs
6.32409,5.62062,5.59203,2043,ChildMort5Yrs
6.12463,5.41763,5.38798,2044,ChildMort5Yrs
5.93468,5.22528,5.19442,2045,ChildMort5Yrs
5.75204,5.04107,5.00937,2046,ChildMort5Yrs
5.57506,4.8632,4.83074,2047,ChildMort5Yrs
5.40278,4.69063,4.65786,2048,ChildMort5Yrs
5.2341,4.52215,4.48991,2049,ChildMort5Yrs
5.07173,4.36045,4.32901,2050,ChildMort5Yrs
4.91273,4.2026,4.172,2051,ChildMort5Yrs
4.75627,4.04789,4.01847,2052,ChildMort5Yrs
4.60242,3.89631,3.86778,2053,ChildMort5Yrs
4.45137,3.74609,3.7186,2054,ChildMort5Yrs
4.30602,3.60026,3.57386,2055,ChildMort5Yrs
4.16487,3.45739,3.43296,2056,ChildMort5Yrs
4.02684,3.31854,3.29519,2057,ChildMort5Yrs
3.89213,3.18356,3.16148,2058,ChildMort5Yrs
3.76082,3.0523,3.03104,2059,ChildMort5Yrs
3.63515,2.92645,2.906,2060,ChildMort5Yrs
3.51273,2.80376,2.7841,2061,ChildMort5Yrs
3.39312,2.68437,2.66535,2062,ChildMort5Yrs
3.27593,2.56783,2.54949,2063,ChildMort5Yrs
3.15959,2.45405,2.4362,2064,ChildMort5Yrs
3.04582,2.34395,2.32689,2065,ChildMort5Yrs
2.93439,2.23748,2.22129,2066,ChildMort5Yrs
2.82564,2.13492,2.11959,2067,ChildMort5Yrs
2.72053,2.03669,2.02224,2068,ChildMort5Yrs
2.6198,1.94379,1.93023,2069,ChildMort5Yrs
2.52324,1.85619,1.84341,2070,ChildMort5Yrs
