Baseline,SDG Push,JET SDG,Year,indicator
0.29537,0.29537,0.29537,2019,CarbonEmissions
0.28793,0.28793,0.28793,2020,CarbonEmissions
0.28369,0.28369,0.28369,2021,CarbonEmissions
0.27957,0.27957,0.27956,2022,CarbonEmissions
0.27567,0.27567,0.27567,2023,CarbonEmissions
0.27126,0.27126,0.27127,2024,CarbonEmissions
0.2652,0.2652,0.26529,2025,CarbonEmissions
0.25987,0.25992,0.2572,2026,CarbonEmissions
0.25514,0.25517,0.24616,2027,CarbonEmissions
0.25081,0.25066,0.23236,2028,CarbonEmissions
0.24734,0.24727,0.21798,2029,CarbonEmissions
0.24396,0.24421,0.20336,2030,CarbonEmissions
0.24009,0.24088,0.18931,2031,CarbonEmissions
0.23528,0.23673,0.1759,2032,CarbonEmissions
0.23024,0.2324,0.16327,2033,CarbonEmissions
0.22502,0.22766,0.15097,2034,CarbonEmissions
0.21989,0.2231,0.14037,2035,CarbonEmissions
0.21483,0.21884,0.12957,2036,CarbonEmissions
0.21,0.21474,0.1192,2037,CarbonEmissions
0.20536,0.21039,0.10867,2038,CarbonEmissions
0.20075,0.20619,0.09829,2039,CarbonEmissions
0.19665,0.20236,0.08924,2040,CarbonEmissions
0.1926,0.19894,0.08075,2041,CarbonEmissions
0.18875,0.19548,0.07301,2042,CarbonEmissions
0.18503,0.19225,0.066,2043,CarbonEmissions
0.18117,0.1887,0.05964,2044,CarbonEmissions
0.17749,0.18525,0.05378,2045,CarbonEmissions
0.17399,0.18193,0.04867,2046,CarbonEmissions
0.17072,0.17886,0.04371,2047,CarbonEmissions
0.16773,0.17589,0.03919,2048,CarbonEmissions
0.16493,0.17329,0.03522,2049,CarbonEmissions
0.16258,0.17132,0.03215,2050,CarbonEmissions
0.15966,0.16862,0.02903,2051,CarbonEmissions
0.15683,0.16585,0.02611,2052,CarbonEmissions
0.15412,0.16308,0.02328,2053,CarbonEmissions
0.15146,0.16033,0.02058,2054,CarbonEmissions
0.14892,0.15755,0.01797,2055,CarbonEmissions
0.14642,0.15488,0.01562,2056,CarbonEmissions
0.14397,0.15217,0.01356,2057,CarbonEmissions
0.14144,0.14949,0.01179,2058,CarbonEmissions
0.13898,0.14664,0.01021,2059,CarbonEmissions
0.13636,0.1438,0.00878,2060,CarbonEmissions
0.13371,0.14086,0.00747,2061,CarbonEmissions
0.13101,0.13799,0.00623,2062,CarbonEmissions
0.12841,0.13503,0.00506,2063,CarbonEmissions
0.12576,0.1322,0.00398,2064,CarbonEmissions
0.12322,0.12934,0.00341,2065,CarbonEmissions
0.12066,0.12657,0.00278,2066,CarbonEmissions
0.11814,0.12369,0.00213,2067,CarbonEmissions
0.11558,0.12087,0.00152,2068,CarbonEmissions
0.11314,0.11786,0.00093,2069,CarbonEmissions
0.11061,0.11484,0.00064,2070,CarbonEmissions
0.10822,0.11179,0.00015,2071,CarbonEmissions
0.10581,0.10867,-0.00027,2072,CarbonEmissions
0.10333,0.10568,-0.00067,2073,CarbonEmissions
0.10089,0.1029,-0.00101,2074,CarbonEmissions
0.0986,0.10039,-0.00136,2075,CarbonEmissions
0.09642,0.09784,-0.00164,2076,CarbonEmissions
0.09442,0.09549,-0.00193,2077,CarbonEmissions
0.09242,0.09317,-0.00212,2078,CarbonEmissions
0.09048,0.09075,-0.00232,2079,CarbonEmissions
0.08861,0.08845,-0.00243,2080,CarbonEmissions
0.08684,0.08617,-0.00256,2081,CarbonEmissions
0.08496,0.08389,-0.00264,2082,CarbonEmissions
0.08309,0.08159,-0.00271,2083,CarbonEmissions
0.0812,0.07931,-0.00276,2084,CarbonEmissions
0.07936,0.07701,-0.0028,2085,CarbonEmissions
0.07744,0.07463,-0.00284,2086,CarbonEmissions
0.07558,0.07232,-0.00288,2087,CarbonEmissions
0.07373,0.07005,-0.00291,2088,CarbonEmissions
0.0719,0.06786,-0.00295,2089,CarbonEmissions
0.0701,0.06567,-0.00298,2090,CarbonEmissions
0.06827,0.06339,-0.00302,2091,CarbonEmissions
0.0664,0.06111,-0.00305,2092,CarbonEmissions
0.06457,0.0588,-0.00309,2093,CarbonEmissions
0.06273,0.05654,-0.00314,2094,CarbonEmissions
0.06087,0.05418,-0.0032,2095,CarbonEmissions
0.05896,0.05171,-0.00326,2096,CarbonEmissions
0.05705,0.04921,-0.00327,2097,CarbonEmissions
0.05517,0.04672,-0.00327,2098,CarbonEmissions
0.0533,0.04426,-0.00327,2099,CarbonEmissions
0.05156,0.04195,-0.00327,2100,CarbonEmissions
2.1244,2.1244,2.1244,2019,ChildMort5Yrs
2.15833,2.15833,2.15833,2020,ChildMort5Yrs
2.08886,2.08886,2.08886,2021,ChildMort5Yrs
2.0488,2.0488,2.0488,2022,ChildMort5Yrs
1.9977,1.9977,1.9977,2023,ChildMort5Yrs
1.95486,1.95486,1.95486,2024,ChildMort5Yrs
1.92151,1.92135,1.92135,2025,ChildMort5Yrs
1.88505,1.88363,1.88363,2026,ChildMort5Yrs
1.84235,1.83826,1.83829,2027,ChildMort5Yrs
1.79887,1.79157,1.79123,2028,ChildMort5Yrs
1.75429,1.74346,1.74234,2029,ChildMort5Yrs
1.71195,1.6972,1.69505,2030,ChildMort5Yrs
1.67176,1.65279,1.64949,2031,ChildMort5Yrs
1.6335,1.61008,1.60571,2032,ChildMort5Yrs
1.59709,1.56901,1.56375,2033,ChildMort5Yrs
1.56253,1.52974,1.52387,2034,ChildMort5Yrs
1.52882,1.49167,1.48612,2035,ChildMort5Yrs
1.49616,1.45494,1.44914,2036,ChildMort5Yrs
1.46437,1.41938,1.41347,2037,ChildMort5Yrs
1.43305,1.38478,1.37904,2038,ChildMort5Yrs
1.40187,1.35051,1.34505,2039,ChildMort5Yrs
1.37201,1.31794,1.31281,2040,ChildMort5Yrs
1.34239,1.28586,1.28086,2041,ChildMort5Yrs
1.31299,1.25411,1.24921,2042,ChildMort5Yrs
1.2837,1.22264,1.21764,2043,ChildMort5Yrs
1.2544,1.19134,1.18617,2044,ChildMort5Yrs
1.22654,1.16227,1.15729,2045,ChildMort5Yrs
1.19894,1.13413,1.12903,2046,ChildMort5Yrs
1.17183,1.10677,1.1016,2047,ChildMort5Yrs
1.14538,1.08024,1.0751,2048,ChildMort5Yrs
1.1194,1.05394,1.04847,2049,ChildMort5Yrs
