Baseline,SDG Push,JET SDG,Year,indicator
0.1669,0.1669,0.1669,2019,CarbonEmissions
0.16272,0.16272,0.16272,2020,CarbonEmissions
0.16162,0.16162,0.16162,2021,CarbonEmissions
0.16127,0.16127,0.16126,2022,CarbonEmissions
0.16086,0.16086,0.16085,2023,CarbonEmissions
0.1571,0.1571,0.1571,2024,CarbonEmissions
0.15395,0.15395,0.15433,2025,CarbonEmissions
0.15157,0.15161,0.15072,2026,CarbonEmissions
0.14964,0.14967,0.14536,2027,CarbonEmissions
0.14778,0.14779,0.13811,2028,CarbonEmissions
0.14633,0.14653,0.13017,2029,CarbonEmissions
0.14489,0.14541,0.12177,2030,CarbonEmissions
0.1431,0.14402,0.11348,2031,CarbonEmissions
0.14063,0.142,0.10538,2032,CarbonEmissions
0.13795,0.13974,0.09756,2033,CarbonEmissions
0.13499,0.13708,0.08942,2034,CarbonEmissions
0.13195,0.13446,0.08206,2035,CarbonEmissions
0.12895,0.1321,0.07468,2036,CarbonEmissions
0.12601,0.12977,0.06748,2037,CarbonEmissions
0.12316,0.12716,0.06008,2038,CarbonEmissions
0.12011,0.12423,0.05265,2039,CarbonEmissions
0.11713,0.12145,0.04614,2040,CarbonEmissions
0.11416,0.11901,0.03995,2041,CarbonEmissions
0.1113,0.11644,0.03424,2042,CarbonEmissions
0.1085,0.11395,0.02894,2043,CarbonEmissions
0.1055,0.11107,0.02404,2044,CarbonEmissions
0.1025,0.10813,0.01946,2045,CarbonEmissions
0.09946,0.10506,0.01543,2046,CarbonEmissions
0.0964,0.10198,0.01151,2047,CarbonEmissions
0.09337,0.09876,0.0079,2048,CarbonEmissions
0.09039,0.09573,0.00452,2049,CarbonEmissions
0.08758,0.09298,0.00176,2050,CarbonEmissions
0.08468,0.09006,-0.00098,2051,CarbonEmissions
0.08184,0.08707,-0.00352,2052,CarbonEmissions
0.07894,0.08398,-0.006,2053,CarbonEmissions
0.076,0.08087,-0.00837,2054,CarbonEmissions
0.07308,0.07772,-0.01055,2055,CarbonEmissions
0.07018,0.07463,-0.01256,2056,CarbonEmissions
0.06726,0.07144,-0.01433,2057,CarbonEmissions
0.06436,0.06833,-0.01582,2058,CarbonEmissions
0.06159,0.06514,-0.01721,2059,CarbonEmissions
0.0588,0.06206,-0.0184,2060,CarbonEmissions
0.05604,0.05896,-0.01941,2061,CarbonEmissions
0.05327,0.05598,-0.02027,2062,CarbonEmissions
0.05065,0.053,-0.02099,2063,CarbonEmissions
0.04803,0.05023,-0.02162,2064,CarbonEmissions
0.04556,0.04751,-0.02187,2065,CarbonEmissions
0.04314,0.04496,-0.02218,2066,CarbonEmissions
0.04081,0.04241,-0.02252,2067,CarbonEmissions
0.03849,0.04001,-0.02282,2068,CarbonEmissions
0.03631,0.03754,-0.02313,2069,CarbonEmissions
