Baseline,SDG Push,JET SDG,Year,indicator
0.0001,0.0001,0.0001,2019,CarbonEmissions
0.0001,0.0001,0.0001,2020,CarbonEmissions
0.0001,0.0001,0.0001,2021,CarbonEmissions
0.0001,0.0001,0.0001,2022,CarbonEmissions
0.0001,0.0001,0.0001,2023,CarbonEmissions
0.0002,0.0002,0.0002,2024,CarbonEmissions
0.0002,0.0002,0.0002,2025,CarbonEmissions
0.0002,0.0002,0.0002,2026,CarbonEmissions
0.0002,0.0002,0.0002,2027,CarbonEmissions
0.0002,0.0002,0.0002,2028,CarbonEmissions
0.0002,0.0002,0.0002,2029,CarbonEmissions
0.0002,0.0002,0.0002,2030,CarbonEmissions
0.0002,0.0002,0.0002,2031,CarbonEmissions
0.0002,0.0002,0.0001,2032,CarbonEmissions
0.0002,0.0002,0.0001,2033,CarbonEmissions
0.0002,0.0002,0.0001,2034,CarbonEmissions
0.0002,0.0002,0.0001,2035,CarbonEmissions
0.0002,0.0002,0.0001,2036,CarbonEmissions
0.0002,0.0002,0.0001,2037,CarbonEmissions
0.0002,0.0002,0.0001,2038,CarbonEmissions
0.0002,0.0002,0.0001,2039,CarbonEmissions
0.0002,0.0002,0.0001,2040,CarbonEmissions
0.0002,0.0002,0.0001,2041,CarbonEmissions
0.0002,0.0002,0.0001,2042,CarbonEmissions
0.0002,0.0002,0.0001,2043,CarbonEmissions
0.0002,0.0002,0.0001,2044,CarbonEmissions
0.0002,0.0002,0.0001,2045,CarbonEmissions
0.0002,0.0002,0.0001,2046,CarbonEmissions
0.0002,0.0002,0.0001,2047,CarbonEmissions
0.0002,0.0002,0.0001,2048,CarbonEmissions
0.0002,0.0002,0.0001,2049,CarbonEmissions
0.0002,0.0002,0.0001,2050,CarbonEmissions
0.0002,0.0002,0.0001,2051,CarbonEmissions
0.0002,0.0002,0.0001,2052,CarbonEmissions
0.0001,0.0002,0.0001,2053,CarbonEmissions
0.0001,0.0002,0,2054,CarbonEmissions
0.0001,0.0002,0,2055,CarbonEmissions
0.0001,0.0001,0,2056,CarbonEmissions
0.0001,0.0001,0,2057,CarbonEmissions
0.0001,0.0001,0,2058,CarbonEmissions
0.0001,0.0001,0,2059,CarbonEmissions
0.0001,0.0001,0,2060,CarbonEmissions
0.0001,0.0001,0,2061,CarbonEmissions
0.0001,0.0001,0,2062,CarbonEmissions
0.0001,0.0001,0,2063,CarbonEmissions
0.0001,0.0001,0,2064,CarbonEmissions
0.0001,0.0001,0,2065,CarbonEmissions
0.0001,0.0001,0,2066,CarbonEmissions
0.0001,0.0001,0,2067,CarbonEmissions
0.0001,0.0001,0,2068,CarbonEmissions
0.0001,0.0001,0,2069,CarbonEmissions
0.0001,0.0001,0,2070,CarbonEmissions
0.0001,0.0001,0,2071,CarbonEmissions
0,0.0001,0,2072,CarbonEmissions
0,0.0001,0,2073,CarbonEmissions
0,0.0001,0,2074,CarbonEmissions
0,0.0001,0,2075,CarbonEmissions
0,0,0,2076,CarbonEmissions
0,0,0,2077,CarbonEmissions
0,0,0,2078,CarbonEmissions
0,0,0,2079,CarbonEmissions
0,0,0,2080,CarbonEmissions
0,0,0,2081,CarbonEmissions
0,0,0,2082,CarbonEmissions
0,0,0,2083,CarbonEmissions
0,0,0,2084,CarbonEmissions
0,0,0,2085,CarbonEmissions
0,0,0,2086,CarbonEmissions
0,0,0,2087,CarbonEmissions
0,0,0,2088,CarbonEmissions
0,0,0,2089,CarbonEmissions
0,0,0,2090,CarbonEmissions
0,0,0,2091,CarbonEmissions
0,0,0,2092,CarbonEmissions
0,0,0,2093,CarbonEmissions
0,0,0,2094,CarbonEmissions
0,0,0,2095,CarbonEmissions
0,0,0,2096,CarbonEmissions
0,0,0,2097,CarbonEmissions
0,0,0,2098,CarbonEmissions
0,0,0,2099,CarbonEmissions
0,0,0,2100,CarbonEmissions
12.7,12.7,12.7,2019,ChildMort5Yrs
14.78,14.78,14.78,2020,ChildMort5Yrs
13.45,13.45,13.45,2021,ChildMort5Yrs
12.03,12.03,12.03,2022,ChildMort5Yrs
11.55,11.55,11.55,2023,ChildMort5Yrs
11.28,11.28,11.28,2024,ChildMort5Yrs
10.96,10.96,10.96,2025,ChildMort5Yrs
10.64,10.64,10.64,2026,ChildMort5Yrs
10.29,10.26,10.26,2027,ChildMort5Yrs
9.95967,9.90995,9.90566,2028,ChildMort5Yrs
9.6312,9.56191,9.55328,2029,ChildMort5Yrs
9.31958,9.22905,9.21484,2030,ChildMort5Yrs
9.02787,8.91487,8.89506,2031,ChildMort5Yrs
8.75634,8.61958,8.59309,2032,ChildMort5Yrs
8.50291,8.3414,8.30872,2033,ChildMort5Yrs
8.26482,8.07786,8.03975,2034,ChildMort5Yrs
8.03026,7.81758,7.77524,2035,ChildMort5Yrs
7.80639,7.56779,7.5219,2036,ChildMort5Yrs
7.5932,7.32833,7.27959,2037,ChildMort5Yrs
7.39087,7.10027,7.05012,2038,ChildMort5Yrs
7.20034,6.88804,6.83641,2039,ChildMort5Yrs
7.01135,6.67913,6.62536,2040,ChildMort5Yrs
6.83076,6.47974,6.42194,2041,ChildMort5Yrs
6.6582,6.28955,6.2264,2042,ChildMort5Yrs
6.49329,6.10725,6.03848,2043,ChildMort5Yrs
6.33583,5.93258,5.85894,2044,ChildMort5Yrs
6.18406,5.76398,5.68549,2045,ChildMort5Yrs
6.03687,5.60037,5.51837,2046,ChildMort5Yrs
5.89324,5.4407,5.35593,2047,ChildMort5Yrs
5.75249,5.2842,5.19736,2048,ChildMort5Yrs
5.6135,5.12959,5.0419,2049,ChildMort5Yrs
5.48001,4.9808,4.89293,2050,ChildMort5Yrs
5.34843,4.83413,4.74678,2051,ChildMort5Yrs
5.21896,4.68957,4.60373,2052,ChildMort5Yrs
5.09109,4.54738,4.4631,2053,ChildMort5Yrs
4.96492,4.40712,4.32485,2054,ChildMort5Yrs
4.8461,4.27461,4.19458,2055,ChildMort5Yrs
4.73016,4.14543,4.06765,2056,ChildMort5Yrs
4.61664,4.01939,3.9434,2057,ChildMort5Yrs
4.50482,3.89574,3.82163,2058,ChildMort5Yrs
4.39406,3.77424,3.70119,2059,ChildMort5Yrs
4.28975,3.65902,3.58684,2060,ChildMort5Yrs
4.18769,3.54661,3.47515,2061,ChildMort5Yrs
4.08763,3.43663,3.36606,2062,ChildMort5Yrs
3.98935,3.32905,3.25935,2063,ChildMort5Yrs
3.89222,3.22363,3.1546,2064,ChildMort5Yrs
