Baseline,SDG Push,JET SDG,Year,indicator
0.00153,0.00153,0.00153,2019,CarbonEmissions
0.00178,0.00178,0.00178,2020,CarbonEmissions
0.00194,0.00194,0.00194,2021,CarbonEmissions
0.00206,0.00206,0.00206,2022,CarbonEmissions
0.00224,0.00224,0.00224,2023,CarbonEmissions
0.00242,0.00242,0.00241,2024,CarbonEmissions
0.00258,0.00258,0.00268,2025,CarbonEmissions
0.00277,0.00276,0.00293,2026,CarbonEmissions
0.003,0.00299,0.00318,2027,CarbonEmissions
0.00321,0.00322,0.00334,2028,CarbonEmissions
0.00346,0.00348,0.00348,2029,CarbonEmissions
0.00371,0.00375,0.00359,2030,CarbonEmissions
0.00397,0.00403,0.0037,2031,CarbonEmissions
0.00421,0.0043,0.00381,2032,CarbonEmissions
0.00445,0.00457,0.00393,2033,CarbonEmissions
0.00469,0.00483,0.00407,2034,CarbonEmissions
0.00493,0.00509,0.0042,2035,CarbonEmissions
0.00518,0.00538,0.00433,2036,CarbonEmissions
0.00545,0.00568,0.00446,2037,CarbonEmissions
0.00573,0.00599,0.00457,2038,CarbonEmissions
0.00602,0.00631,0.00461,2039,CarbonEmissions
0.00633,0.00665,0.00457,2040,CarbonEmissions
0.00665,0.00701,0.00448,2041,CarbonEmissions
0.00698,0.00738,0.00435,2042,CarbonEmissions
0.00731,0.00776,0.0042,2043,CarbonEmissions
0.00764,0.00814,0.00404,2044,CarbonEmissions
0.00798,0.00853,0.00388,2045,CarbonEmissions
0.00834,0.00893,0.00374,2046,CarbonEmissions
0.00871,0.00936,0.0036,2047,CarbonEmissions
0.00911,0.00981,0.00349,2048,CarbonEmissions
0.00951,0.01029,0.00342,2049,CarbonEmissions
0.00995,0.01081,0.0034,2050,CarbonEmissions
0.01038,0.01134,0.00343,2051,CarbonEmissions
0.01083,0.01188,0.00349,2052,CarbonEmissions
0.01128,0.01243,0.00358,2053,CarbonEmissions
0.01175,0.013,0.00367,2054,CarbonEmissions
0.01223,0.01359,0.00375,2055,CarbonEmissions
0.01272,0.01419,0.00378,2056,CarbonEmissions
0.01323,0.01482,0.00381,2057,CarbonEmissions
0.01373,0.01545,0.00378,2058,CarbonEmissions
0.01425,0.01608,0.00375,2059,CarbonEmissions
0.01476,0.01674,0.00367,2060,CarbonEmissions
0.01527,0.0174,0.00358,2061,CarbonEmissions
0.0158,0.01809,0.00346,2062,CarbonEmissions
0.01634,0.01879,0.00333,2063,CarbonEmissions
0.01689,0.01951,0.00319,2064,CarbonEmissions
0.01746,0.02022,0.00308,2065,CarbonEmissions
0.01804,0.02096,0.00297,2066,CarbonEmissions
0.01863,0.02172,0.00289,2067,CarbonEmissions
0.01923,0.02246,0.00281,2068,CarbonEmissions
0.01983,0.02317,0.00274,2069,CarbonEmissions
0.02043,0.02387,0.00265,2070,CarbonEmissions
0.02104,0.02454,0.00259,2071,CarbonEmissions
0.02164,0.02522,0.00253,2072,CarbonEmissions
0.02223,0.02593,0.00247,2073,CarbonEmissions
0.02281,0.0267,0.00243,2074,CarbonEmissions
0.02342,0.02754,0.00242,2075,CarbonEmissions
0.02403,0.02841,0.00238,2076,CarbonEmissions
0.02467,0.02934,0.00237,2077,CarbonEmissions
0.02529,0.03028,0.00234,2078,CarbonEmissions
0.02591,0.03119,0.00232,2079,CarbonEmissions
0.02653,0.03213,0.00229,2080,CarbonEmissions
0.02718,0.03305,0.00228,2081,CarbonEmissions
0.02777,0.03394,0.00225,2082,CarbonEmissions
0.02836,0.03482,0.00222,2083,CarbonEmissions
0.02892,0.03571,0.0022,2084,CarbonEmissions
0.02949,0.03657,0.00216,2085,CarbonEmissions
0.03003,0.03743,0.00213,2086,CarbonEmissions
0.03059,0.03831,0.0021,2087,CarbonEmissions
0.03115,0.03919,0.00208,2088,CarbonEmissions
0.03172,0.04017,0.00205,2089,CarbonEmissions
0.03229,0.04119,0.00203,2090,CarbonEmissions
0.03284,0.04216,0.00201,2091,CarbonEmissions
0.03335,0.04315,0.00201,2092,CarbonEmissions
0.03385,0.04412,0.00201,2093,CarbonEmissions
0.03429,0.04512,0.00203,2094,CarbonEmissions
0.0347,0.04607,0.00207,2095,CarbonEmissions
0.03508,0.04692,0.00212,2096,CarbonEmissions
0.0354,0.04775,0.00219,2097,CarbonEmissions
0.03577,0.04857,0.00227,2098,CarbonEmissions
0.03606,0.0494,0.00231,2099,CarbonEmissions
0.03641,0.05036,0.00236,2100,CarbonEmissions
123.6,123.6,123.6,2019,ChildMort5Yrs
122.7,122.7,122.7,2020,ChildMort5Yrs
119.3,119.3,119.3,2021,ChildMort5Yrs
114.5,114.5,114.5,2022,ChildMort5Yrs
109.8,109.8,109.8,2023,ChildMort5Yrs
105.3,105.3,105.3,2024,ChildMort5Yrs
100.5,100.4,100.4,2025,ChildMort5Yrs
96,95.49,95.49,2026,ChildMort5Yrs
91.98,90.59,90.58,2027,ChildMort5Yrs
88.04,86,85.99,2028,ChildMort5Yrs
84.28,81.65,81.61,2029,ChildMort5Yrs
80.71,77.58,77.51,2030,ChildMort5Yrs
77.31,73.73,73.62,2031,ChildMort5Yrs
74.09,70.1,69.94,2032,ChildMort5Yrs
71.06,66.68,66.49,2033,ChildMort5Yrs
68.26,63.49,63.27,2034,ChildMort5Yrs
65.61,60.51,60.26,2035,ChildMort5Yrs
63.13,57.71,57.46,2036,ChildMort5Yrs
60.8,55.1,54.84,2037,ChildMort5Yrs
58.59,52.74,52.47,2038,ChildMort5Yrs
56.5,50.58,50.3,2039,ChildMort5Yrs
54.51,48.6,48.31,2040,ChildMort5Yrs
52.62,46.74,46.43,2041,ChildMort5Yrs
50.84,44.98,44.64,2042,ChildMort5Yrs
49.18,43.29,42.93,2043,ChildMort5Yrs
47.59,41.67,41.29,2044,ChildMort5Yrs
46.05,40.1,39.71,2045,ChildMort5Yrs
44.55,38.58,38.18,2046,ChildMort5Yrs
43.09,37.1,36.69,2047,ChildMort5Yrs
41.65,35.67,35.27,2048,ChildMort5Yrs
40.25,34.3,33.9,2049,ChildMort5Yrs
38.89,32.96,32.57,2050,ChildMort5Yrs
37.57,31.69,31.3,2051,ChildMort5Yrs
36.3,30.48,30.1,2052,ChildMort5Yrs
35.08,29.3,28.92,2053,ChildMort5Yrs
33.9,28.16,27.78,2054,ChildMort5Yrs
32.77,27.05,26.67,2055,ChildMort5Yrs
31.67,25.97,25.59,2056,ChildMort5Yrs
30.6,24.92,24.54,2057,ChildMort5Yrs
29.55,23.9,23.52,2058,ChildMort5Yrs
28.53,22.91,22.54,2059,ChildMort5Yrs
