Baseline,SDG Push,JET SDG,Year,indicator
0.00113,0.00113,0.0011,2019,CarbonEmissions
0.00124,0.00124,0.0012,2020,CarbonEmissions
0.0013,0.0013,0.0013,2021,CarbonEmissions
0.00134,0.00134,0.0013,2022,CarbonEmissions
0.00142,0.00142,0.0014,2023,CarbonEmissions
0.00149,0.00149,0.0015,2024,CarbonEmissions
0.00156,0.00156,0.0016,2025,CarbonEmissions
0.00164,0.00164,0.0017,2026,CarbonEmissions
0.00172,0.00172,0.0018,2027,CarbonEmissions
0.00179,0.00179,0.0019,2028,CarbonEmissions
0.00187,0.00187,0.0019,2029,CarbonEmissions
0.00196,0.00196,0.002,2030,CarbonEmissions
0.00204,0.00204,0.002,2031,CarbonEmissions
0.00211,0.00212,0.002,2032,CarbonEmissions
0.00218,0.0022,0.002,2033,CarbonEmissions
0.00225,0.00227,0.0021,2034,CarbonEmissions
0.00231,0.00234,0.0021,2035,CarbonEmissions
0.00237,0.0024,0.0021,2036,CarbonEmissions
0.00243,0.00248,0.0021,2037,CarbonEmissions
0.00249,0.00254,0.0021,2038,CarbonEmissions
0.00255,0.00262,0.0021,2039,CarbonEmissions
0.00263,0.00269,0.002,2040,CarbonEmissions
0.0027,0.00278,0.002,2041,CarbonEmissions
0.00277,0.00286,0.0019,2042,CarbonEmissions
0.00285,0.00295,0.0018,2043,CarbonEmissions
0.00292,0.00303,0.0017,2044,CarbonEmissions
0.00299,0.00311,0.0016,2045,CarbonEmissions
0.00306,0.00319,0.0016,2046,CarbonEmissions
0.00312,0.00327,0.0015,2047,CarbonEmissions
0.00319,0.00335,0.0014,2048,CarbonEmissions
0.00326,0.00343,0.0014,2049,CarbonEmissions
0.00333,0.00353,0.0013,2050,CarbonEmissions
0.0034,0.00362,0.0013,2051,CarbonEmissions
0.00347,0.0037,0.0013,2052,CarbonEmissions
0.00353,0.00379,0.0013,2053,CarbonEmissions
0.0036,0.00387,0.0013,2054,CarbonEmissions
0.00366,0.00394,0.0013,2055,CarbonEmissions
0.00373,0.00402,0.0012,2056,CarbonEmissions
0.00379,0.0041,0.0012,2057,CarbonEmissions
0.00385,0.00417,0.0012,2058,CarbonEmissions
0.0039,0.00423,0.0012,2059,CarbonEmissions
0.00396,0.0043,0.0011,2060,CarbonEmissions
0.00401,0.00437,0.0011,2061,CarbonEmissions
0.00405,0.00443,0.001,2062,CarbonEmissions
0.0041,0.0045,0.001,2063,CarbonEmissions
0.00414,0.00456,0.0009,2064,CarbonEmissions
0.00419,0.00463,0.0009,2065,CarbonEmissions
0.00424,0.00469,0.0008,2066,CarbonEmissions
0.00428,0.00476,0.0008,2067,CarbonEmissions
0.00432,0.00482,0.0008,2068,CarbonEmissions
0.00436,0.00488,0.0007,2069,CarbonEmissions
0.0044,0.00494,0.0007,2070,CarbonEmissions
0.00444,0.005,0.0007,2071,CarbonEmissions
0.00448,0.00505,0.0007,2072,CarbonEmissions
0.00451,0.00511,0.0006,2073,CarbonEmissions
0.00454,0.00517,0.0006,2074,CarbonEmissions
0.00457,0.00523,0.0006,2075,CarbonEmissions
0.00459,0.0053,0.0006,2076,CarbonEmissions
0.00462,0.00536,0.0006,2077,CarbonEmissions
0.00464,0.00542,0.0005,2078,CarbonEmissions
0.00467,0.00546,0.0005,2079,CarbonEmissions
0.00469,0.00551,0.0005,2080,CarbonEmissions
0.00472,0.00555,0.0005,2081,CarbonEmissions
0.00474,0.00559,0.0005,2082,CarbonEmissions
0.00476,0.00563,0.0004,2083,CarbonEmissions
0.00477,0.00566,0.0004,2084,CarbonEmissions
0.00479,0.00569,0.0004,2085,CarbonEmissions
0.0048,0.0057,0.0004,2086,CarbonEmissions
0.00482,0.00571,0.0003,2087,CarbonEmissions
0.00484,0.00572,0.0003,2088,CarbonEmissions
0.00486,0.00573,0.0003,2089,CarbonEmissions
0.00488,0.00573,0.0003,2090,CarbonEmissions
0.00489,0.00572,0.0003,2091,CarbonEmissions
0.0049,0.00571,0.0003,2092,CarbonEmissions
0.0049,0.00568,0.0002,2093,CarbonEmissions
0.0049,0.00566,0.0002,2094,CarbonEmissions
0.0049,0.00562,0.0002,2095,CarbonEmissions
0.0049,0.00559,0.0002,2096,CarbonEmissions
0.00489,0.00558,0.0002,2097,CarbonEmissions
0.00488,0.00557,0.0002,2098,CarbonEmissions
0.00487,0.00556,0.0002,2099,CarbonEmissions
0.00486,0.00557,0.0002,2100,CarbonEmissions
41.15,41.15,41.15,2019,ChildMort5Yrs
42.16,42.16,42.16,2020,ChildMort5Yrs
42.28,42.28,42.28,2021,ChildMort5Yrs
40.03,40.03,40.03,2022,ChildMort5Yrs
38.69,38.69,38.69,2023,ChildMort5Yrs
37.23,37.23,37.23,2024,ChildMort5Yrs
35.86,35.73,35.73,2025,ChildMort5Yrs
34.79,34.44,34.45,2026,ChildMort5Yrs
33.89,33.23,33.23,2027,ChildMort5Yrs
32.98,32.01,32.01,2028,ChildMort5Yrs
32.11,30.92,30.89,2029,ChildMort5Yrs
31.21,29.84,29.78,2030,ChildMort5Yrs
30.32,28.78,28.7,2031,ChildMort5Yrs
29.48,27.76,27.64,2032,ChildMort5Yrs
28.66,26.77,26.62,2033,ChildMort5Yrs
27.88,25.82,25.64,2034,ChildMort5Yrs
27.15,24.92,24.73,2035,ChildMort5Yrs
26.46,24.06,23.86,2036,ChildMort5Yrs
25.8,23.24,23.02,2037,ChildMort5Yrs
25.15,22.48,22.26,2038,ChildMort5Yrs
24.5,21.74,21.51,2039,ChildMort5Yrs
23.85,21.03,20.78,2040,ChildMort5Yrs
