Baseline,SDG Push,JET SDG,Year,indicator
0.0014,0.0014,0.0014,2019,CarbonEmissions
0.0015,0.0015,0.0015,2020,CarbonEmissions
0.0015,0.0015,0.0015,2021,CarbonEmissions
0.0017,0.0017,0.0017,2022,CarbonEmissions
0.0017,0.0017,0.0017,2023,CarbonEmissions
0.0018,0.0018,0.0018,2024,CarbonEmissions
0.0018,0.0018,0.0018,2025,CarbonEmissions
0.0018,0.0018,0.0019,2026,CarbonEmissions
0.0018,0.0018,0.0019,2027,CarbonEmissions
0.0019,0.0019,0.0019,2028,CarbonEmissions
0.0019,0.0019,0.002,2029,CarbonEmissions
0.002,0.002,0.002,2030,CarbonEmissions
0.002,0.002,0.002,2031,CarbonEmissions
0.002,0.002,0.002,2032,CarbonEmissions
0.0021,0.0021,0.002,2033,CarbonEmissions
0.0021,0.0021,0.002,2034,CarbonEmissions
0.0021,0.0021,0.002,2035,CarbonEmissions
0.0021,0.0022,0.002,2036,CarbonEmissions
0.0022,0.0022,0.002,2037,CarbonEmissions
0.0022,0.0022,0.0019,2038,CarbonEmissions
0.0022,0.0022,0.0019,2039,CarbonEmissions
0.0022,0.0022,0.0018,2040,CarbonEmissions
0.0022,0.0023,0.0017,2041,CarbonEmissions
0.0022,0.0023,0.0016,2042,CarbonEmissions
0.0022,0.0023,0.0015,2043,CarbonEmissions
0.0022,0.0023,0.0014,2044,CarbonEmissions
0.0022,0.0023,0.0013,2045,CarbonEmissions
0.0022,0.0022,0.0012,2046,CarbonEmissions
0.0022,0.0022,0.0011,2047,CarbonEmissions
0.0022,0.0022,0.001,2048,CarbonEmissions
0.0021,0.0021,0.0009,2049,CarbonEmissions
0.0021,0.0021,0.0008,2050,CarbonEmissions
0.0021,0.0021,0.0008,2051,CarbonEmissions
0.002,0.002,0.0007,2052,CarbonEmissions
0.002,0.0019,0.0006,2053,CarbonEmissions
0.0019,0.0019,0.0005,2054,CarbonEmissions
0.0018,0.0018,0.0004,2055,CarbonEmissions
0.0018,0.0018,0.0003,2056,CarbonEmissions
0.0017,0.0017,0.0003,2057,CarbonEmissions
0.0016,0.0016,0.0002,2058,CarbonEmissions
0.0016,0.0015,0.0001,2059,CarbonEmissions
0.0015,0.0014,0,2060,CarbonEmissions
0.0014,0.0013,0,2061,CarbonEmissions
0.0013,0.0012,-0.0001,2062,CarbonEmissions
0.0012,0.0011,-0.0002,2063,CarbonEmissions
0.0011,0.001,-0.0002,2064,CarbonEmissions
0.001,0.0009,-0.0002,2065,CarbonEmissions
0.0009,0.0008,-0.0003,2066,CarbonEmissions
0.0008,0.0007,-0.0003,2067,CarbonEmissions
0.0007,0.0006,-0.0003,2068,CarbonEmissions
0.0006,0.0005,-0.0003,2069,CarbonEmissions
0.0006,0.0005,-0.0004,2070,CarbonEmissions
0.0005,0.0004,-0.0004,2071,CarbonEmissions
0.0004,0.0003,-0.0004,2072,CarbonEmissions
0.0003,0.0003,-0.0004,2073,CarbonEmissions
0.0003,0.0002,-0.0005,2074,CarbonEmissions
0.0002,0.0001,-0.0005,2075,CarbonEmissions
0.0001,0.0001,-0.0005,2076,CarbonEmissions
0.0001,0,-0.0005,2077,CarbonEmissions
0,-0.0001,-0.0005,2078,CarbonEmissions
-0.0001,-0.0001,-0.0005,2079,CarbonEmissions
-0.0001,-0.0002,-0.0005,2080,CarbonEmissions
-0.0002,-0.0002,-0.0005,2081,CarbonEmissions
-0.0002,-0.0002,-0.0005,2082,CarbonEmissions
-0.0003,-0.0002,-0.0005,2083,CarbonEmissions
-0.0003,-0.0003,-0.0005,2084,CarbonEmissions
-0.0003,-0.0003,-0.0005,2085,CarbonEmissions
-0.0004,-0.0003,-0.0005,2086,CarbonEmissions
-0.0004,-0.0003,-0.0005,2087,CarbonEmissions
-0.0005,-0.0003,-0.0005,2088,CarbonEmissions
-0.0005,-0.0003,-0.0005,2089,CarbonEmissions
-0.0005,-0.0003,-0.0005,2090,CarbonEmissions
-0.0005,-0.0004,-0.0005,2091,CarbonEmissions
-0.0005,-0.0004,-0.0005,2092,CarbonEmissions
-0.0005,-0.0004,-0.0005,2093,CarbonEmissions
-0.0005,-0.0004,-0.0005,2094,CarbonEmissions
-0.0005,-0.0004,-0.0005,2095,CarbonEmissions
-0.0005,-0.0004,-0.0005,2096,CarbonEmissions
-0.0005,-0.0005,-0.0005,2097,CarbonEmissions
-0.0005,-0.0005,-0.0005,2098,CarbonEmissions
-0.0005,-0.0005,-0.0005,2099,CarbonEmissions
-0.0005,-0.0005,-0.0005,2100,CarbonEmissions
12.9,12.9,12.9,2019,ChildMort5Yrs
13.11,13.11,13.11,2020,ChildMort5Yrs
12.61,12.61,12.61,2021,ChildMort5Yrs
12.38,12.38,12.38,2022,ChildMort5Yrs
12.15,12.15,12.15,2023,ChildMort5Yrs
11.95,11.95,11.95,2024,ChildMort5Yrs
11.75,11.7,11.7,2025,ChildMort5Yrs
11.55,11.45,11.45,2026,ChildMort5Yrs
11.32,11.12,11.12,2027,ChildMort5Yrs
11.11,10.81,10.81,2028,ChildMort5Yrs
10.92,10.54,10.53,2029,ChildMort5Yrs
10.74,10.28,10.27,2030,ChildMort5Yrs
10.55,10.04,10.02,2031,ChildMort5Yrs
10.36,9.82316,9.79623,2032,ChildMort5Yrs
10.17,9.61161,9.57985,2033,ChildMort5Yrs
9.98203,9.39884,9.36491,2034,ChildMort5Yrs
9.79059,9.25749,9.23133,2035,ChildMort5Yrs
9.60272,9.18146,9.15328,2036,ChildMort5Yrs
9.41834,9.07735,9.04558,2037,ChildMort5Yrs
9.23767,8.95975,8.92302,2038,ChildMort5Yrs
9.05965,8.81195,8.76943,2039,ChildMort5Yrs
8.89021,8.63548,8.5869,2040,ChildMort5Yrs
8.79871,8.44636,8.39288,2041,ChildMort5Yrs
8.69345,8.26006,8.20217,2042,ChildMort5Yrs
8.57203,8.07626,8.01454,2043,ChildMort5Yrs
8.43467,7.89587,7.83103,2044,ChildMort5Yrs
8.28351,7.71954,7.65205,2045,ChildMort5Yrs
8.1196,7.54751,7.47634,2046,ChildMort5Yrs
7.95963,7.37801,7.30603,2047,ChildMort5Yrs
7.8041,7.21298,7.14011,2048,ChildMort5Yrs
7.6525,7.0517,6.97806,2049,ChildMort5Yrs
7.50482,6.89594,6.82173,2050,ChildMort5Yrs
7.36127,6.74548,6.67075,2051,ChildMort5Yrs
7.22259,6.60183,6.52682,2052,ChildMort5Yrs
7.08793,6.46429,6.38994,2053,ChildMort5Yrs
6.95748,6.33355,6.2587,2054,ChildMort5Yrs
6.83208,6.21078,6.13639,2055,ChildMort5Yrs
6.71025,6.09647,6.02197,2056,ChildMort5Yrs
6.59312,5.98642,5.91159,2057,ChildMort5Yrs
6.48074,5.87996,5.80372,2058,ChildMort5Yrs
6.37209,5.77532,5.69508,2059,ChildMort5Yrs
6.26663,5.66953,5.58844,2060,ChildMort5Yrs
6.16324,5.56435,5.48303,2061,ChildMort5Yrs
6.06194,5.46015,5.37827,2062,ChildMort5Yrs
5.9625,5.35653,5.27665,2063,ChildMort5Yrs
5.86477,5.25598,5.17765,2064,ChildMort5Yrs
5.76809,5.15804,5.08225,2065,ChildMort5Yrs
5.67223,5.0621,4.98752,2066,ChildMort5Yrs
5.57801,4.96675,4.89384,2067,ChildMort5Yrs
5.48602,4.87248,4.80107,2068,ChildMort5Yrs
5.39526,4.77963,4.70982,2069,ChildMort5Yrs
5.30812,4.68921,4.62056,2070,ChildMort5Yrs
5.22369,4.59993,4.53219,2071,ChildMort5Yrs
5.14114,4.5104,4.44226,2072,ChildMort5Yrs
5.06057,4.41976,4.35227,2073,ChildMort5Yrs
4.98137,4.32968,4.26232,2074,ChildMort5Yrs
4.90371,4.24138,4.17347,2075,ChildMort5Yrs
4.82734,4.15213,4.08504,2076,ChildMort5Yrs
4.75175,4.06305,3.99711,2077,ChildMort5Yrs
4.67702,3.97466,3.91028,2078,ChildMort5Yrs
4.60372,3.88721,3.82432,2079,ChildMort5Yrs
4.53146,3.80083,3.7401,2080,ChildMort5Yrs
4.46075,3.7156,3.65694,2081,ChildMort5Yrs
4.39093,3.63144,3.57515,2082,ChildMort5Yrs
4.32222,3.54845,3.49458,2083,ChildMort5Yrs
4.25473,3.46681,3.41538,2084,ChildMort5Yrs
4.18858,3.38676,3.33771,2085,ChildMort5Yrs
4.12247,3.30837,3.26168,2086,ChildMort5Yrs
4.0567,3.23181,3.18757,2087,ChildMort5Yrs
3.9916,3.15709,3.11526,2088,ChildMort5Yrs
3.92759,3.08421,3.04429,2089,ChildMort5Yrs
3.86497,3.0134,2.97511,2090,ChildMort5Yrs
3.80333,2.9441,2.90731,2091,ChildMort5Yrs
3.7426,2.87611,2.84079,2092,ChildMort5Yrs
3.68276,2.8091,2.77536,2093,ChildMort5Yrs
3.62317,2.74281,2.71061,2094,ChildMort5Yrs
3.56437,2.67721,2.64641,2095,ChildMort5Yrs
3.50623,2.61303,2.58626,2096,ChildMort5Yrs
3.44866,2.55364,2.52914,2097,ChildMort5Yrs
3.3916,2.49629,2.47339,2098,ChildMort5Yrs
3.33547,2.43977,2.41894,2099,ChildMort5Yrs
3.27983,2.38478,2.36618,2100,ChildMort5Yrs
0,0,0,2019,ENP_Coal
0,0,0,2020,ENP_Coal
0,0,0,2021,ENP_Coal
0,0,0,2022,ENP_Coal
0,0,0,2023,ENP_Coal
0,0,0,2024,ENP_Coal
0,0,0,2025,ENP_Coal
0,0,0,2026,ENP_Coal
0,0,0,2027,ENP_Coal
0,0,0,2028,ENP_Coal
0,0,0,2029,ENP_Coal
0,0,0,2030,ENP_Coal
0,0,0,2031,ENP_Coal
0,0,0,2032,ENP_Coal
0,0,0,2033,ENP_Coal
0,0,0,2034,ENP_Coal
0,0,0,2035,ENP_Coal
0,0,0,2036,ENP_Coal
0,0,0,2037,ENP_Coal
0,0,0,2038,ENP_Coal
0,0,0,2039,ENP_Coal
0,0,0,2040,ENP_Coal
0,0,0,2041,ENP_Coal
0,0,0,2042,ENP_Coal
0,0,0,2043,ENP_Coal
0,0,0,2044,ENP_Coal
0,0,0,2045,ENP_Coal
0,0,0,2046,ENP_Coal
0,0,0,2047,ENP_Coal
0,0,0,2048,ENP_Coal
0,0,0,2049,ENP_Coal
0,0,0,2050,ENP_Coal
0,0,0,2051,ENP_Coal
0,0,0,2052,ENP_Coal
0,0,0,2053,ENP_Coal
0,0,0,2054,ENP_Coal
0,0,0,2055,ENP_Coal
0,0,0,2056,ENP_Coal
0,0,0,2057,ENP_Coal
0,0,0,2058,ENP_Coal
0,0,0,2059,ENP_Coal
0,0,0,2060,ENP_Coal
0,0,0,2061,ENP_Coal
0,0,0,2062,ENP_Coal
0,0,0,2063,ENP_Coal
0,0,0,2064,ENP_Coal
0,0,0,2065,ENP_Coal
0,0,0,2066,ENP_Coal
0,0,0,2067,ENP_Coal
0,0,0,2068,ENP_Coal
0,0,0,2069,ENP_Coal
0,0,0,2070,ENP_Coal
0,0,0,2071,ENP_Coal
0,0,0,2072,ENP_Coal
0,0,0,2073,ENP_Coal
0,0,0,2074,ENP_Coal
0,0,0,2075,ENP_Coal
0,0,0,2076,ENP_Coal
0,0,0,2077,ENP_Coal
0,0,0,2078,ENP_Coal
0,0,0,2079,ENP_Coal
0,0,0,2080,ENP_Coal
0,0,0,2081,ENP_Coal
0,0,0,2082,ENP_Coal
0,0,0,2083,ENP_Coal
0,0,0,2084,ENP_Coal
0,0,0,2085,ENP_Coal
0,0,0,2086,ENP_Coal
0,0,0,2087,ENP_Coal
0,0,0,2088,ENP_Coal
0,0,0,2089,ENP_Coal
0,0,0,2090,ENP_Coal
0,0,0,2091,ENP_Coal
0,0,0,2092,ENP_Coal
0,0,0,2093,ENP_Coal
0,0,0,2094,ENP_Coal
0,0,0,2095,ENP_Coal
0,0,0,2096,ENP_Coal
0,0,0,2097,ENP_Coal
0,0,0,2098,ENP_Coal
0,0,0,2099,ENP_Coal
0,0,0,2100,ENP_Coal
0.0026,0.0026,0.0026,2019,ENP_Gas
0.0026,0.0026,0.0026,2020,ENP_Gas
0.0026,0.0026,0.0026,2021,ENP_Gas
0.0026,0.0026,0.0026,2022,ENP_Gas
0.0025,0.0025,0.0025,2023,ENP_Gas
0.0025,0.0025,0.0025,2024,ENP_Gas
0.0024,0.0024,0.0024,2025,ENP_Gas
0.0023,0.0023,0.0023,2026,ENP_Gas
0.0022,0.0022,0.0021,2027,ENP_Gas
0.0021,0.0021,0.002,2028,ENP_Gas
0.002,0.002,0.0018,2029,ENP_Gas
0.0018,0.0019,0.0017,2030,ENP_Gas
0.0017,0.0018,0.0015,2031,ENP_Gas
0.0016,0.0016,0.0014,2032,ENP_Gas
0.0015,0.0015,0.0013,2033,ENP_Gas
0.0014,0.0014,0.0013,2034,ENP_Gas
0.0013,0.0013,0.0012,2035,ENP_Gas
0.0012,0.0012,0.0011,2036,ENP_Gas
0.0012,0.0012,0.0011,2037,ENP_Gas
0.0011,0.0011,0.001,2038,ENP_Gas
0.001,0.001,0.001,2039,ENP_Gas
0.0009,0.0009,0.0009,2040,ENP_Gas
0.0009,0.0009,0.0009,2041,ENP_Gas
0.0008,0.0008,0.0008,2042,ENP_Gas
0.0008,0.0008,0.0008,2043,ENP_Gas
0.0007,0.0007,0.0007,2044,ENP_Gas
0.0007,0.0007,0.0007,2045,ENP_Gas
0.0007,0.0007,0.0006,2046,ENP_Gas
0.0006,0.0006,0.0006,2047,ENP_Gas
0.0006,0.0006,0.0006,2048,ENP_Gas
0.0006,0.0006,0.0005,2049,ENP_Gas
0.0005,0.0005,0.0005,2050,ENP_Gas
0.0005,0.0005,0.0005,2051,ENP_Gas
0.0005,0.0005,0.0005,2052,ENP_Gas
0.0005,0.0005,0.0005,2053,ENP_Gas
0.0005,0.0005,0.0005,2054,ENP_Gas
0.0004,0.0004,0.0005,2055,ENP_Gas
0.0004,0.0004,0.0005,2056,ENP_Gas
0.0004,0.0004,0.0005,2057,ENP_Gas
0.0004,0.0004,0.0004,2058,ENP_Gas
0.0004,0.0004,0.0004,2059,ENP_Gas
0.0004,0.0004,0.0004,2060,ENP_Gas
0.0003,0.0003,0.0004,2061,ENP_Gas
0.0003,0.0003,0.0004,2062,ENP_Gas
0.0003,0.0003,0.0004,2063,ENP_Gas
0.0003,0.0003,0.0003,2064,ENP_Gas
0.0003,0.0003,0.0003,2065,ENP_Gas
0.0003,0.0003,0.0003,2066,ENP_Gas
0.0003,0.0003,0.0003,2067,ENP_Gas
0.0003,0.0003,0.0003,2068,ENP_Gas
0.0003,0.0003,0.0003,2069,ENP_Gas
0.0003,0.0003,0.0002,2070,ENP_Gas
0.0002,0.0002,0.0002,2071,ENP_Gas
0.0002,0.0002,0.0002,2072,ENP_Gas
0.0002,0.0002,0.0002,2073,ENP_Gas
0.0002,0.0002,0.0002,2074,ENP_Gas
0.0002,0.0002,0.0002,2075,ENP_Gas
0.0002,0.0002,0.0002,2076,ENP_Gas
0.0002,0.0002,0.0002,2077,ENP_Gas
0.0002,0.0002,0.0002,2078,ENP_Gas
0.0002,0.0002,0.0001,2079,ENP_Gas
0.0002,0.0002,0.0001,2080,ENP_Gas
0.0002,0.0002,0.0001,2081,ENP_Gas
0.0002,0.0002,0.0001,2082,ENP_Gas
0.0002,0.0002,0.0001,2083,ENP_Gas
0.0002,0.0002,0.0001,2084,ENP_Gas
0.0001,0.0002,0.0001,2085,ENP_Gas
0.0001,0.0001,0.0001,2086,ENP_Gas
0.0001,0.0001,0.0001,2087,ENP_Gas
0.0001,0.0001,0.0001,2088,ENP_Gas
0.0001,0.0001,0.0001,2089,ENP_Gas
0.0001,0.0001,0.0001,2090,ENP_Gas
0.0001,0.0001,0.0001,2091,ENP_Gas
0.0001,0.0001,0.0001,2092,ENP_Gas
0.0001,0.0001,0.0001,2093,ENP_Gas
0.0001,0.0001,0.0001,2094,ENP_Gas
0.0001,0.0001,0.0001,2095,ENP_Gas
0.0001,0.0001,0.0001,2096,ENP_Gas
0.0001,0.0001,0,2097,ENP_Gas
0.0001,0.0001,0,2098,ENP_Gas
0.0001,0.0001,0,2099,ENP_Gas
0.0001,0.0001,0,2100,ENP_Gas
0.0001,0.0001,0.0001,2019,ENP_Hydro
0.0001,0.0001,0.0001,2020,ENP_Hydro
0.0001,0.0001,0.0001,2021,ENP_Hydro
0.0001,0.0001,0.0001,2022,ENP_Hydro
0.0001,0.0001,0.0001,2023,ENP_Hydro
0.0001,0.0001,0.0001,2024,ENP_Hydro
0.0001,0.0001,0.0001,2025,ENP_Hydro
0.0001,0.0001,0.0001,2026,ENP_Hydro
0.0001,0.0001,0.0001,2027,ENP_Hydro
0.0001,0.0001,0.0001,2028,ENP_Hydro
0.0001,0.0001,0.0001,2029,ENP_Hydro
0.0001,0.0001,0.0001,2030,ENP_Hydro
0.0001,0.0001,0.0001,2031,ENP_Hydro
0.0001,0.0001,0.0001,2032,ENP_Hydro
0.0001,0.0001,0.0001,2033,ENP_Hydro
0.0001,0.0001,0.0001,2034,ENP_Hydro
0.0001,0.0001,0.0001,2035,ENP_Hydro
0.0001,0.0001,0.0001,2036,ENP_Hydro
