Baseline,SDG Push,JET SDG,Year,indicator
0.00366,0.00366,0.00366,2019,CarbonEmissions
0.00392,0.00392,0.00392,2020,CarbonEmissions
0.00366,0.00366,0.00366,2021,CarbonEmissions
0.00373,0.00373,0.00373,2022,CarbonEmissions
0.00431,0.00431,0.00431,2023,CarbonEmissions
0.00468,0.00468,0.00468,2024,CarbonEmissions
0.00467,0.00467,0.00478,2025,CarbonEmissions
0.00469,0.00469,0.00478,2026,CarbonEmissions
0.00484,0.00483,0.00473,2027,CarbonEmissions
0.005,0.00499,0.00454,2028,CarbonEmissions
0.00519,0.00518,0.00426,2029,CarbonEmissions
0.00537,0.00538,0.00392,2030,CarbonEmissions
0.00552,0.00554,0.00354,2031,CarbonEmissions
0.0056,0.00566,0.00318,2032,CarbonEmissions
0.00566,0.00574,0.00284,2033,CarbonEmissions
0.00568,0.00578,0.00251,2034,CarbonEmissions
0.0057,0.00582,0.00221,2035,CarbonEmissions
0.00571,0.00587,0.0019,2036,CarbonEmissions
0.00572,0.00592,0.00161,2037,CarbonEmissions
0.00574,0.00595,0.00128,2038,CarbonEmissions
0.00575,0.00599,0.00089,2039,CarbonEmissions
0.00577,0.00604,0.00051,2040,CarbonEmissions
0.00578,0.00612,0.00009,2041,CarbonEmissions
0.00578,0.00619,-0.00034,2042,CarbonEmissions
0.00578,0.00625,-0.00075,2043,CarbonEmissions
0.00574,0.00632,-0.0011,2044,CarbonEmissions
0.00566,0.0064,-0.00147,2045,CarbonEmissions
0.00557,0.00643,-0.00181,2046,CarbonEmissions
0.00547,0.00644,-0.00214,2047,CarbonEmissions
0.00536,0.00642,-0.00247,2048,CarbonEmissions
0.00524,0.0064,-0.00276,2049,CarbonEmissions
0.00512,0.00639,-0.003,2050,CarbonEmissions
0.00502,0.00634,-0.00322,2051,CarbonEmissions
0.00491,0.00625,-0.00343,2052,CarbonEmissions
0.00478,0.00614,-0.00364,2053,CarbonEmissions
0.00463,0.00602,-0.00384,2054,CarbonEmissions
0.00448,0.00587,-0.00404,2055,CarbonEmissions
0.00431,0.00573,-0.00423,2056,CarbonEmissions
0.00414,0.00558,-0.00441,2057,CarbonEmissions
0.00396,0.00544,-0.00458,2058,CarbonEmissions
0.00378,0.00529,-0.00474,2059,CarbonEmissions
0.00358,0.00514,-0.00488,2060,CarbonEmissions
0.00338,0.00499,-0.00501,2061,CarbonEmissions
0.00317,0.00485,-0.00514,2062,CarbonEmissions
0.00297,0.0047,-0.00526,2063,CarbonEmissions
0.00276,0.00457,-0.00537,2064,CarbonEmissions
0.00257,0.00444,-0.00544,2065,CarbonEmissions
0.00236,0.00431,-0.00552,2066,CarbonEmissions
0.00217,0.00418,-0.00559,2067,CarbonEmissions
0.00198,0.00406,-0.00565,2068,CarbonEmissions
0.0018,0.00396,-0.00572,2069,CarbonEmissions
0.00162,0.00387,-0.00575,2070,CarbonEmissions
0.00145,0.00378,-0.0058,2071,CarbonEmissions
0.00129,0.00369,-0.00585,2072,CarbonEmissions
0.00113,0.00359,-0.00589,2073,CarbonEmissions
0.00097,0.00351,-0.00594,2074,CarbonEmissions
0.00082,0.00345,-0.00598,2075,CarbonEmissions
0.0007,0.00337,-0.00603,2076,CarbonEmissions
0.00059,0.00328,-0.00606,2077,CarbonEmissions
0.00048,0.00318,-0.0061,2078,CarbonEmissions
0.00037,0.00305,-0.00613,2079,CarbonEmissions
0.00026,0.00291,-0.00615,2080,CarbonEmissions
0.00015,0.00276,-0.00618,2081,CarbonEmissions
0.00004,0.00261,-0.0062,2082,CarbonEmissions
-0.00008,0.00245,-0.00621,2083,CarbonEmissions
-0.0002,0.00231,-0.00623,2084,CarbonEmissions
-0.00031,0.00215,-0.00625,2085,CarbonEmissions
-0.00043,0.002,-0.00626,2086,CarbonEmissions
-0.00054,0.00187,-0.00627,2087,CarbonEmissions
-0.00064,0.00174,-0.00628,2088,CarbonEmissions
-0.00073,0.00162,-0.00629,2089,CarbonEmissions
-0.00082,0.00149,-0.0063,2090,CarbonEmissions
-0.00092,0.00135,-0.0063,2091,CarbonEmissions
-0.00102,0.00119,-0.00631,2092,CarbonEmissions
-0.00112,0.00102,-0.00632,2093,CarbonEmissions
-0.00122,0.00084,-0.00633,2094,CarbonEmissions
-0.00132,0.00064,-0.00634,2095,CarbonEmissions
-0.00142,0.00042,-0.00635,2096,CarbonEmissions
-0.00152,0.0002,-0.00636,2097,CarbonEmissions
-0.00161,-0.00003,-0.00637,2098,CarbonEmissions
-0.00169,-0.00026,-0.00639,2099,CarbonEmissions
-0.00177,-0.00047,-0.00639,2100,CarbonEmissions
12.87,12.87,12.87,2019,ChildMort5Yrs
13.94,13.94,13.94,2020,ChildMort5Yrs
13.06,13.06,13.06,2021,ChildMort5Yrs
12.13,12.13,12.13,2022,ChildMort5Yrs
11.67,11.67,11.67,2023,ChildMort5Yrs
11.52,11.52,11.52,2024,ChildMort5Yrs
11.24,11.24,11.24,2025,ChildMort5Yrs
10.89,10.87,10.87,2026,ChildMort5Yrs
10.54,10.47,10.47,2027,ChildMort5Yrs
10.22,10.08,10.08,2028,ChildMort5Yrs
9.90408,9.72383,9.70898,2029,ChildMort5Yrs
9.60858,9.39255,9.36817,2030,ChildMort5Yrs
9.32829,9.08163,9.04701,2031,ChildMort5Yrs
9.06042,8.78844,8.74435,2032,ChildMort5Yrs
8.80137,8.50342,8.45158,2033,ChildMort5Yrs
8.54982,8.22471,8.16723,2034,ChildMort5Yrs
8.30396,7.9514,7.89147,2035,ChildMort5Yrs
8.06618,7.68533,7.62304,2036,ChildMort5Yrs
7.83562,7.42596,7.3627,2037,ChildMort5Yrs
7.61221,7.18055,7.12455,2038,ChildMort5Yrs
7.39544,7.02899,6.9675,2039,ChildMort5Yrs
7.18587,6.86421,6.79906,2040,ChildMort5Yrs
6.98495,6.68903,6.62159,2041,ChildMort5Yrs
6.79257,6.50671,6.42656,2042,ChildMort5Yrs
6.60827,6.29572,6.19476,2043,ChildMort5Yrs
6.43914,6.07347,5.97538,2044,ChildMort5Yrs
6.29424,5.86562,5.76964,2045,ChildMort5Yrs
6.18278,5.67225,5.58069,2046,ChildMort5Yrs
6.06863,5.49405,5.40695,2047,ChildMort5Yrs
5.95174,5.32901,5.24674,2048,ChildMort5Yrs
5.83172,5.17512,5.09777,2049,ChildMort5Yrs
5.69971,5.034,4.96154,2050,ChildMort5Yrs
5.56954,4.90264,4.83378,2051,ChildMort5Yrs
5.4479,4.77973,4.71433,2052,ChildMort5Yrs
5.33368,4.66338,4.60123,2053,ChildMort5Yrs
5.22609,4.5527,4.49275,2054,ChildMort5Yrs
5.12432,4.44567,4.38763,2055,ChildMort5Yrs
5.02663,4.34084,4.28437,2056,ChildMort5Yrs
4.93271,4.23795,4.1822,2057,ChildMort5Yrs
4.84247,4.13751,4.0821,2058,ChildMort5Yrs
4.75569,4.03951,3.98381,2059,ChildMort5Yrs
4.67173,3.94503,3.88883,2060,ChildMort5Yrs
4.59004,3.85331,3.79633,2061,ChildMort5Yrs
4.51057,3.76412,3.70644,2062,ChildMort5Yrs
4.43345,3.67772,3.61938,2063,ChildMort5Yrs
4.3585,3.5941,3.53518,2064,ChildMort5Yrs
4.28561,3.51387,3.45492,2065,ChildMort5Yrs
4.21428,3.43616,3.37717,2066,ChildMort5Yrs
4.14405,3.35975,3.30109,2067,ChildMort5Yrs
4.07435,3.28149,3.22355,2068,ChildMort5Yrs
4.0051,3.20307,3.1465,2069,ChildMort5Yrs
3.9365,3.1253,3.07054,2070,ChildMort5Yrs
3.86846,3.0491,2.99639,2071,ChildMort5Yrs
3.80114,2.97544,2.92232,2072,ChildMort5Yrs
