Baseline,SDG Push,JET SDG,Year,indicator
0.0023,0.0023,0.0023,2019,CarbonEmissions
0.00242,0.00242,0.0024,2020,CarbonEmissions
0.00256,0.00256,0.0026,2021,CarbonEmissions
0.0027,0.0027,0.0027,2022,CarbonEmissions
0.00279,0.00279,0.0028,2023,CarbonEmissions
0.003,0.003,0.003,2024,CarbonEmissions
0.0032,0.0032,0.003,2025,CarbonEmissions
0.00341,0.00341,0.003,2026,CarbonEmissions
0.00361,0.00361,0.003,2027,CarbonEmissions
0.00383,0.00383,0.003,2028,CarbonEmissions
0.00406,0.00406,0.003,2029,CarbonEmissions
0.0043,0.00431,0.003,2030,CarbonEmissions
0.00455,0.00456,0.0031,2031,CarbonEmissions
0.00479,0.00481,0.0032,2032,CarbonEmissions
0.00503,0.00507,0.0033,2033,CarbonEmissions
0.00528,0.00532,0.0034,2034,CarbonEmissions
0.00553,0.00559,0.0034,2035,CarbonEmissions
0.00578,0.00586,0.0035,2036,CarbonEmissions
0.00603,0.00614,0.0034,2037,CarbonEmissions
0.00629,0.00641,0.0034,2038,CarbonEmissions
0.00654,0.00668,0.0033,2039,CarbonEmissions
0.0068,0.00696,0.0032,2040,CarbonEmissions
0.00706,0.00724,0.0031,2041,CarbonEmissions
0.00732,0.00752,0.003,2042,CarbonEmissions
0.00757,0.00781,0.0029,2043,CarbonEmissions
0.00781,0.00808,0.0027,2044,CarbonEmissions
0.00804,0.00833,0.0026,2045,CarbonEmissions
0.00826,0.00859,0.0025,2046,CarbonEmissions
0.00848,0.00884,0.0024,2047,CarbonEmissions
0.0087,0.00909,0.0024,2048,CarbonEmissions
0.00891,0.00936,0.0024,2049,CarbonEmissions
0.00914,0.00965,0.0024,2050,CarbonEmissions
0.00936,0.00993,0.0024,2051,CarbonEmissions
0.00958,0.01019,0.0024,2052,CarbonEmissions
0.00979,0.01045,0.0024,2053,CarbonEmissions
0.01,0.01069,0.0024,2054,CarbonEmissions
0.01021,0.01093,0.0024,2055,CarbonEmissions
0.01041,0.01117,0.0024,2056,CarbonEmissions
0.0106,0.01142,0.0024,2057,CarbonEmissions
0.01079,0.01167,0.0024,2058,CarbonEmissions
0.01098,0.01192,0.0024,2059,CarbonEmissions
0.01115,0.01218,0.0024,2060,CarbonEmissions
0.01133,0.01245,0.0023,2061,CarbonEmissions
0.0115,0.01274,0.0023,2062,CarbonEmissions
0.01167,0.01303,0.0022,2063,CarbonEmissions
0.01186,0.01334,0.0021,2064,CarbonEmissions
0.01205,0.01367,0.0021,2065,CarbonEmissions
0.01226,0.01401,0.002,2066,CarbonEmissions
0.01247,0.01434,0.002,2067,CarbonEmissions
0.01268,0.01467,0.0019,2068,CarbonEmissions
0.0129,0.01498,0.0019,2069,CarbonEmissions
0.0131,0.01527,0.0019,2070,CarbonEmissions
0.0133,0.01554,0.0018,2071,CarbonEmissions
0.01349,0.01578,0.0018,2072,CarbonEmissions
0.01367,0.01603,0.0018,2073,CarbonEmissions
0.01385,0.01631,0.0017,2074,CarbonEmissions
0.01404,0.01662,0.0017,2075,CarbonEmissions
0.01423,0.01695,0.0017,2076,CarbonEmissions
0.01443,0.01729,0.0017,2077,CarbonEmissions
0.01463,0.01761,0.0017,2078,CarbonEmissions
0.01482,0.01793,0.0016,2079,CarbonEmissions
0.01502,0.01826,0.0016,2080,CarbonEmissions
0.01523,0.01857,0.0016,2081,CarbonEmissions
0.01541,0.01887,0.0015,2082,CarbonEmissions
0.01557,0.01914,0.0015,2083,CarbonEmissions
0.01572,0.01934,0.0014,2084,CarbonEmissions
0.01587,0.01951,0.0014,2085,CarbonEmissions
0.01603,0.01967,0.0014,2086,CarbonEmissions
0.01619,0.01983,0.0013,2087,CarbonEmissions
0.01637,0.01999,0.0013,2088,CarbonEmissions
0.01656,0.02021,0.0012,2089,CarbonEmissions
0.01675,0.02043,0.0012,2090,CarbonEmissions
0.01693,0.02065,0.0011,2091,CarbonEmissions
0.01709,0.02085,0.0011,2092,CarbonEmissions
0.01725,0.02101,0.0011,2093,CarbonEmissions
0.0174,0.02115,0.0011,2094,CarbonEmissions
0.01755,0.02123,0.001,2095,CarbonEmissions
0.01769,0.0213,0.001,2096,CarbonEmissions
0.01779,0.02132,0.001,2097,CarbonEmissions
0.01787,0.0213,0.001,2098,CarbonEmissions
0.01795,0.02127,0.001,2099,CarbonEmissions
0.01806,0.02123,0.001,2100,CarbonEmissions
12.26,12.26,12.26,2019,ChildMort5Yrs
12.02,12.02,12.02,2020,ChildMort5Yrs
11.58,11.58,11.58,2021,ChildMort5Yrs
11.32,11.32,11.32,2022,ChildMort5Yrs
10.86,10.86,10.86,2023,ChildMort5Yrs
10.52,10.52,10.52,2024,ChildMort5Yrs
10.14,10.12,10.12,2025,ChildMort5Yrs
9.78147,9.72072,9.71588,2026,ChildMort5Yrs
