Baseline,SDG Push,JET SDG,Year,indicator
0.00089,0.00089,0.0009,2019,CarbonEmissions
0.00095,0.00095,0.0009,2020,CarbonEmissions
0.00093,0.00093,0.0009,2021,CarbonEmissions
0.00093,0.00093,0.0009,2022,CarbonEmissions
0.00099,0.00099,0.001,2023,CarbonEmissions
0.00088,0.00088,0.0009,2024,CarbonEmissions
0.00087,0.00087,0.001,2025,CarbonEmissions
0.0009,0.0009,0.0011,2026,CarbonEmissions
0.00094,0.00094,0.0011,2027,CarbonEmissions
0.00101,0.00101,0.0012,2028,CarbonEmissions
0.00107,0.00107,0.0012,2029,CarbonEmissions
0.00112,0.00113,0.0012,2030,CarbonEmissions
0.00118,0.00118,0.0011,2031,CarbonEmissions
0.00122,0.00123,0.0011,2032,CarbonEmissions
0.00125,0.00127,0.0011,2033,CarbonEmissions
0.00129,0.00131,0.0011,2034,CarbonEmissions
0.00132,0.00135,0.0011,2035,CarbonEmissions
0.00136,0.00139,0.0011,2036,CarbonEmissions
0.0014,0.00144,0.0011,2037,CarbonEmissions
0.00145,0.00149,0.0011,2038,CarbonEmissions
0.0015,0.00155,0.0011,2039,CarbonEmissions
0.00157,0.00162,0.001,2040,CarbonEmissions
0.00164,0.0017,0.0009,2041,CarbonEmissions
0.00172,0.00178,0.0008,2042,CarbonEmissions
0.0018,0.00187,0.0007,2043,CarbonEmissions
0.00188,0.00196,0.0006,2044,CarbonEmissions
0.00196,0.00206,0.0005,2045,CarbonEmissions
0.00206,0.00215,0.0004,2046,CarbonEmissions
0.00215,0.00226,0.0003,2047,CarbonEmissions
0.00225,0.00237,0.0002,2048,CarbonEmissions
0.00236,0.0025,0.0002,2049,CarbonEmissions
0.00248,0.00265,0.0001,2050,CarbonEmissions
0.0026,0.0028,0.0001,2051,CarbonEmissions
0.00272,0.00295,0.0001,2052,CarbonEmissions
0.00284,0.00311,0.0001,2053,CarbonEmissions
0.00297,0.00327,0.0001,2054,CarbonEmissions
0.0031,0.00344,0.0001,2055,CarbonEmissions
0.00324,0.00362,0.0001,2056,CarbonEmissions
0.00337,0.0038,0.0001,2057,CarbonEmissions
0.00351,0.00398,0,2058,CarbonEmissions
0.00365,0.00416,0,2059,CarbonEmissions
0.00378,0.00435,-0.0001,2060,CarbonEmissions
0.00392,0.00455,-0.0001,2061,CarbonEmissions
0.00406,0.00476,-0.0002,2062,CarbonEmissions
0.00421,0.00497,-0.0003,2063,CarbonEmissions
0.00435,0.0052,-0.0003,2064,CarbonEmissions
0.0045,0.00545,-0.0004,2065,CarbonEmissions
0.00466,0.00571,-0.0004,2066,CarbonEmissions
0.00483,0.00599,-0.0004,2067,CarbonEmissions
0.005,0.00628,-0.0004,2068,CarbonEmissions
0.00518,0.00658,-0.0005,2069,CarbonEmissions
0.00535,0.00688,-0.0005,2070,CarbonEmissions
0.00552,0.00718,-0.0005,2071,CarbonEmissions
0.0057,0.00748,-0.0005,2072,CarbonEmissions
0.00587,0.0078,-0.0006,2073,CarbonEmissions
0.00603,0.00813,-0.0006,2074,CarbonEmissions
0.00619,0.00848,-0.0006,2075,CarbonEmissions
0.00636,0.0088,-0.0006,2076,CarbonEmissions
0.00653,0.00911,-0.0006,2077,CarbonEmissions
0.00671,0.00941,-0.0007,2078,CarbonEmissions
0.00688,0.00969,-0.0007,2079,CarbonEmissions
0.00706,0.00999,-0.0007,2080,CarbonEmissions
0.00725,0.01028,-0.0007,2081,CarbonEmissions
0.00743,0.01056,-0.0008,2082,CarbonEmissions
0.00761,0.01078,-0.0008,2083,CarbonEmissions
0.00779,0.0109,-0.0009,2084,CarbonEmissions
0.00798,0.01102,-0.0009,2085,CarbonEmissions
0.00815,0.01112,-0.001,2086,CarbonEmissions
0.00829,0.0112,-0.001,2087,CarbonEmissions
0.00843,0.01131,-0.0011,2088,CarbonEmissions
0.00857,0.01144,-0.0011,2089,CarbonEmissions
0.0087,0.01151,-0.0012,2090,CarbonEmissions
0.00882,0.01152,-0.0012,2091,CarbonEmissions
0.00893,0.01151,-0.0012,2092,CarbonEmissions
0.00904,0.01148,-0.0013,2093,CarbonEmissions
0.00915,0.01145,-0.0013,2094,CarbonEmissions
0.00924,0.01139,-0.0013,2095,CarbonEmissions
0.00931,0.01129,-0.0013,2096,CarbonEmissions
0.00938,0.01118,-0.0014,2097,CarbonEmissions
0.00944,0.01106,-0.0014,2098,CarbonEmissions
0.00941,0.01094,-0.0014,2099,CarbonEmissions
0.00943,0.01086,-0.0014,2100,CarbonEmissions
10.89,10.89,10.89,2019,ChildMort5Yrs
11.45,11.45,11.45,2020,ChildMort5Yrs
11.07,11.07,11.07,2021,ChildMort5Yrs
10.69,10.69,10.69,2022,ChildMort5Yrs
10.95,10.95,10.95,2023,ChildMort5Yrs
10.71,10.71,10.71,2024,ChildMort5Yrs
10.44,10.4,10.4,2025,ChildMort5Yrs
10.19,10.12,10.12,2026,ChildMort5Yrs
