Baseline,SDG Push,JET SDG,Year,indicator
0.00038,0.00038,0.0004,2019,CarbonEmissions
0.00055,0.00055,0.0006,2020,CarbonEmissions
0.00066,0.00066,0.0007,2021,CarbonEmissions
0.00078,0.00078,0.0008,2022,CarbonEmissions
0.00094,0.00094,0.0009,2023,CarbonEmissions
0.00107,0.00107,0.0011,2024,CarbonEmissions
0.0012,0.0012,0.0013,2025,CarbonEmissions
0.00133,0.00133,0.0014,2026,CarbonEmissions
0.00148,0.00148,0.0016,2027,CarbonEmissions
0.00163,0.00163,0.0017,2028,CarbonEmissions
0.0018,0.00181,0.0018,2029,CarbonEmissions
0.00198,0.00199,0.0019,2030,CarbonEmissions
0.00215,0.00218,0.0019,2031,CarbonEmissions
0.00232,0.00236,0.002,2032,CarbonEmissions
0.00249,0.00255,0.0021,2033,CarbonEmissions
0.00267,0.00275,0.0022,2034,CarbonEmissions
0.00287,0.00297,0.0023,2035,CarbonEmissions
0.00307,0.00321,0.0024,2036,CarbonEmissions
0.00329,0.00346,0.0026,2037,CarbonEmissions
0.00353,0.00374,0.0027,2038,CarbonEmissions
0.00379,0.00403,0.0028,2039,CarbonEmissions
0.00406,0.00434,0.0028,2040,CarbonEmissions
0.00434,0.00466,0.0028,2041,CarbonEmissions
0.00463,0.005,0.0027,2042,CarbonEmissions
0.00493,0.00535,0.0027,2043,CarbonEmissions
0.00522,0.00571,0.0026,2044,CarbonEmissions
0.00552,0.00608,0.0026,2045,CarbonEmissions
0.00583,0.00646,0.0025,2046,CarbonEmissions
0.00614,0.00686,0.0025,2047,CarbonEmissions
0.00647,0.00728,0.0024,2048,CarbonEmissions
0.0068,0.00772,0.0024,2049,CarbonEmissions
0.00716,0.00824,0.0024,2050,CarbonEmissions
0.00753,0.00876,0.0024,2051,CarbonEmissions
0.0079,0.00928,0.0025,2052,CarbonEmissions
0.00828,0.0098,0.0026,2053,CarbonEmissions
0.00867,0.01033,0.0026,2054,CarbonEmissions
0.00906,0.01086,0.0026,2055,CarbonEmissions
0.00945,0.0114,0.0025,2056,CarbonEmissions
0.00984,0.01193,0.0024,2057,CarbonEmissions
0.01022,0.01246,0.0023,2058,CarbonEmissions
0.01059,0.01296,0.0022,2059,CarbonEmissions
0.01094,0.01346,0.0021,2060,CarbonEmissions
0.01126,0.01394,0.002,2061,CarbonEmissions
0.01157,0.01442,0.0019,2062,CarbonEmissions
0.01188,0.01489,0.0017,2063,CarbonEmissions
0.01216,0.01537,0.0016,2064,CarbonEmissions
0.01244,0.01584,0.0016,2065,CarbonEmissions
0.01271,0.01633,0.0015,2066,CarbonEmissions
0.01297,0.01681,0.0014,2067,CarbonEmissions
0.01321,0.01729,0.0013,2068,CarbonEmissions
0.01345,0.01774,0.0013,2069,CarbonEmissions
0.01366,0.01817,0.0012,2070,CarbonEmissions
0.01388,0.01858,0.0011,2071,CarbonEmissions
0.01408,0.01897,0.001,2072,CarbonEmissions
0.01428,0.01937,0.0009,2073,CarbonEmissions
0.01446,0.0198,0.0009,2074,CarbonEmissions
0.01465,0.02027,0.0008,2075,CarbonEmissions
0.01484,0.02073,0.0007,2076,CarbonEmissions
0.01503,0.02122,0.0007,2077,CarbonEmissions
0.01521,0.02168,0.0007,2078,CarbonEmissions
0.01538,0.0221,0.0006,2079,CarbonEmissions
0.01554,0.02253,0.0006,2080,CarbonEmissions
0.0157,0.02294,0.0006,2081,CarbonEmissions
0.01583,0.02333,0.0006,2082,CarbonEmissions
0.01594,0.02365,0.0005,2083,CarbonEmissions
0.01602,0.02389,0.0005,2084,CarbonEmissions
0.01609,0.02409,0.0005,2085,CarbonEmissions
0.01616,0.02426,0.0005,2086,CarbonEmissions
0.01621,0.02443,0.0004,2087,CarbonEmissions
0.01625,0.02448,0.0004,2088,CarbonEmissions
0.01628,0.02444,0.0004,2089,CarbonEmissions
0.0163,0.02438,0.0003,2090,CarbonEmissions
0.01629,0.02426,0.0003,2091,CarbonEmissions
0.01627,0.02411,0.0002,2092,CarbonEmissions
0.01624,0.02391,0.0002,2093,CarbonEmissions
0.01622,0.02371,0.0002,2094,CarbonEmissions
0.01617,0.02345,0.0002,2095,CarbonEmissions
0.01611,0.02313,0.0002,2096,CarbonEmissions
0.01605,0.02272,0.0002,2097,CarbonEmissions
0.016,0.02233,0.0002,2098,CarbonEmissions
0.01594,0.02196,0.0001,2099,CarbonEmissions
0.01587,0.0217,0.0001,2100,CarbonEmissions
0.03,0.03,0.03,2019,CarbonEmissions_per_capita
0.042,0.042,0.042,2020,CarbonEmissions_per_capita
0.049,0.049,0.049,2021,CarbonEmissions_per_capita
0.057,0.057,0.057,2022,CarbonEmissions_per_capita
0.067,0.067,0.067,2023,CarbonEmissions_per_capita
0.074,0.074,0.074,2024,CarbonEmissions_per_capita
