Baseline,SDG Push,JET SDG,Year,indicator
0.00049,0.00049,0.00049,2019,CarbonEmissions
0.00056,0.00056,0.00056,2020,CarbonEmissions
0.00059,0.00059,0.00059,2021,CarbonEmissions
0.00063,0.00063,0.00063,2022,CarbonEmissions
0.00064,0.00064,0.00064,2023,CarbonEmissions
0.00065,0.00065,0.00065,2024,CarbonEmissions
0.00071,0.00071,0.00075,2025,CarbonEmissions
0.0008,0.0008,0.00088,2026,CarbonEmissions
0.00087,0.00087,0.00098,2027,CarbonEmissions
0.00095,0.00095,0.00105,2028,CarbonEmissions
0.00102,0.00102,0.00112,2029,CarbonEmissions
0.0011,0.00111,0.00117,2030,CarbonEmissions
0.00117,0.00119,0.0012,2031,CarbonEmissions
0.00123,0.00126,0.00126,2032,CarbonEmissions
0.0013,0.00135,0.00133,2033,CarbonEmissions
0.00138,0.00144,0.00144,2034,CarbonEmissions
0.00146,0.00153,0.00155,2035,CarbonEmissions
0.00154,0.00164,0.00168,2036,CarbonEmissions
0.00163,0.00174,0.00185,2037,CarbonEmissions
0.00171,0.00185,0.00202,2038,CarbonEmissions
0.0018,0.00195,0.00218,2039,CarbonEmissions
0.00189,0.00206,0.00232,2040,CarbonEmissions
0.00199,0.00219,0.00239,2041,CarbonEmissions
0.0021,0.00231,0.00244,2042,CarbonEmissions
0.00221,0.00245,0.00248,2043,CarbonEmissions
0.00231,0.00257,0.00251,2044,CarbonEmissions
0.00242,0.0027,0.00254,2045,CarbonEmissions
0.00253,0.0028,0.00256,2046,CarbonEmissions
0.00264,0.00292,0.00253,2047,CarbonEmissions
0.00273,0.00304,0.00254,2048,CarbonEmissions
0.00284,0.00318,0.00258,2049,CarbonEmissions
0.00294,0.00333,0.00262,2050,CarbonEmissions
0.00306,0.00349,0.0027,2051,CarbonEmissions
0.00317,0.00365,0.00282,2052,CarbonEmissions
0.00329,0.00381,0.00297,2053,CarbonEmissions
0.00341,0.00398,0.00312,2054,CarbonEmissions
0.00353,0.00415,0.00327,2055,CarbonEmissions
0.00365,0.00434,0.00341,2056,CarbonEmissions
0.00377,0.00453,0.0035,2057,CarbonEmissions
0.0039,0.00473,0.00355,2058,CarbonEmissions
0.00403,0.00494,0.00357,2059,CarbonEmissions
0.00416,0.00515,0.00359,2060,CarbonEmissions
0.0043,0.00537,0.00359,2061,CarbonEmissions
0.00444,0.0056,0.00359,2062,CarbonEmissions
0.00459,0.00583,0.00358,2063,CarbonEmissions
0.00474,0.00606,0.00357,2064,CarbonEmissions
0.0049,0.00631,0.00352,2065,CarbonEmissions
0.00507,0.00655,0.0035,2066,CarbonEmissions
0.00523,0.0068,0.0035,2067,CarbonEmissions
0.00538,0.00704,0.00352,2068,CarbonEmissions
0.00552,0.00728,0.00356,2069,CarbonEmissions
0.00565,0.0075,0.0036,2070,CarbonEmissions
0.00577,0.00773,0.00366,2071,CarbonEmissions
0.00589,0.00799,0.00372,2072,CarbonEmissions
0.006,0.00827,0.0038,2073,CarbonEmissions
0.00611,0.00856,0.00388,2074,CarbonEmissions
0.00622,0.00886,0.00397,2075,CarbonEmissions
0.00636,0.00916,0.00405,2076,CarbonEmissions
0.00651,0.00947,0.00411,2077,CarbonEmissions
0.00667,0.00977,0.00416,2078,CarbonEmissions
0.00684,0.01005,0.00419,2079,CarbonEmissions
0.00702,0.01033,0.00421,2080,CarbonEmissions
0.00722,0.01061,0.00423,2081,CarbonEmissions
0.00742,0.01089,0.00425,2082,CarbonEmissions
0.00763,0.01117,0.00426,2083,CarbonEmissions
0.00784,0.01146,0.00427,2084,CarbonEmissions
0.00806,0.01173,0.00428,2085,CarbonEmissions
0.00828,0.01197,0.00428,2086,CarbonEmissions
0.00852,0.01219,0.00428,2087,CarbonEmissions
0.00876,0.0124,0.00428,2088,CarbonEmissions
0.00901,0.0126,0.00428,2089,CarbonEmissions
0.00927,0.01279,0.00429,2090,CarbonEmissions
0.00951,0.01295,0.0043,2091,CarbonEmissions
0.00975,0.0131,0.0043,2092,CarbonEmissions
0.00999,0.01325,0.00433,2093,CarbonEmissions
0.01023,0.0134,0.00437,2094,CarbonEmissions
0.01046,0.01353,0.00443,2095,CarbonEmissions
0.01069,0.01365,0.00452,2096,CarbonEmissions
0.01091,0.01377,0.00462,2097,CarbonEmissions
0.01113,0.01387,0.00474,2098,CarbonEmissions
0.01135,0.01398,0.00487,2099,CarbonEmissions
0.01159,0.01414,0.00499,2100,CarbonEmissions
85.53,85.53,85.53,2019,ChildMort5Yrs
88.58,88.58,88.58,2020,ChildMort5Yrs
88.92,88.92,88.92,2021,ChildMort5Yrs
92.39,92.39,92.39,2022,ChildMort5Yrs
93.5,93.5,93.5,2023,ChildMort5Yrs
91.93,91.93,91.93,2024,ChildMort5Yrs
89.67,88.89,88.89,2025,ChildMort5Yrs
87.5,85.53,85.54,2026,ChildMort5Yrs
85.32,82.17,82.21,2027,ChildMort5Yrs
83.44,79.83,79.87,2028,ChildMort5Yrs
81.46,77.04,77.13,2029,ChildMort5Yrs
79.29,73.97,73.99,2030,ChildMort5Yrs
77.13,70.94,70.77,2031,ChildMort5Yrs
75.21,68.25,67.74,2032,ChildMort5Yrs
73.6,65.89,65,2033,ChildMort5Yrs
72.33,63.8,62.61,2034,ChildMort5Yrs
71.28,61.88,60.48,2035,ChildMort5Yrs
70.25,59.95,58.47,2036,ChildMort5Yrs
68.89,57.93,56.5,2037,ChildMort5Yrs
67.35,55.97,54.65,2038,ChildMort5Yrs
65.8,53.92,52.78,2039,ChildMort5Yrs
64.28,52.02,51.11,2040,ChildMort5Yrs
62.77,50.25,49.59,2041,ChildMort5Yrs
61.32,48.72,48.26,2042,ChildMort5Yrs
59.95,47.18,46.95,2043,ChildMort5Yrs
58.63,45.53,45.33,2044,ChildMort5Yrs
57.33,43.93,43.77,2045,ChildMort5Yrs
55.94,42.29,42.17,2046,ChildMort5Yrs
54.49,40.67,40.56,2047,ChildMort5Yrs
53.03,39.03,38.93,2048,ChildMort5Yrs
51.54,37.42,37.28,2049,ChildMort5Yrs
49.95,35.84,35.67,2050,ChildMort5Yrs
48.37,34.33,34.07,2051,ChildMort5Yrs
46.79,32.83,32.48,2052,ChildMort5Yrs
45.25,31.36,30.93,2053,ChildMort5Yrs
43.75,29.93,29.42,2054,ChildMort5Yrs
42.27,28.52,27.96,2055,ChildMort5Yrs
40.85,27.18,26.57,2056,ChildMort5Yrs
39.46,25.9,25.9,2057,ChildMort5Yrs
38.09,25.06,24.54,2058,ChildMort5Yrs
36.74,23.88,23.39,2059,ChildMort5Yrs
35.41,22.83,22.21,2060,ChildMort5Yrs
34.11,21.81,21.12,2061,ChildMort5Yrs
32.87,20.87,20.1,2062,ChildMort5Yrs
31.67,20,19.17,2063,ChildMort5Yrs
30.52,19.19,18.31,2064,ChildMort5Yrs
29.43,18.41,17.53,2065,ChildMort5Yrs
28.41,17.68,16.79,2066,ChildMort5Yrs
27.46,16.98,16.06,2067,ChildMort5Yrs
26.58,16.31,15.34,2068,ChildMort5Yrs
25.77,15.67,14.67,2069,ChildMort5Yrs
25.05,15.07,14.07,2070,ChildMort5Yrs
