Baseline,SDG Push,JET SDG,Year,indicator
0.0002,0.0002,0.0002,2019,CarbonEmissions
0.0002,0.0002,0.0002,2020,CarbonEmissions
0.0002,0.0002,0.0002,2021,CarbonEmissions
0.0002,0.0002,0.0002,2022,CarbonEmissions
0.0002,0.0002,0.0002,2023,CarbonEmissions
0.0002,0.0002,0.0002,2024,CarbonEmissions
0.0002,0.0002,0.0002,2025,CarbonEmissions
0.0002,0.0002,0.0002,2026,CarbonEmissions
0.0002,0.0002,0.0002,2027,CarbonEmissions
0.0002,0.0002,0.0002,2028,CarbonEmissions
0.0002,0.0002,0.0002,2029,CarbonEmissions
0.0002,0.0002,0.0002,2030,CarbonEmissions
0.0002,0.0002,0.0002,2031,CarbonEmissions
0.0002,0.0002,0.0002,2032,CarbonEmissions
0.0002,0.0002,0.0002,2033,CarbonEmissions
0.0002,0.0002,0.0002,2034,CarbonEmissions
0.0002,0.0002,0.0002,2035,CarbonEmissions
0.0002,0.0003,0.0002,2036,CarbonEmissions
0.0003,0.0003,0.0002,2037,CarbonEmissions
0.0003,0.0003,0.0002,2038,CarbonEmissions
0.0003,0.0003,0.0002,2039,CarbonEmissions
0.0003,0.0003,0.0002,2040,CarbonEmissions
0.0003,0.0003,0.0002,2041,CarbonEmissions
0.0003,0.0003,0.0002,2042,CarbonEmissions
0.0003,0.0003,0.0002,2043,CarbonEmissions
0.0003,0.0003,0.0002,2044,CarbonEmissions
0.0003,0.0003,0.0002,2045,CarbonEmissions
0.0003,0.0003,0.0002,2046,CarbonEmissions
0.0003,0.0003,0.0002,2047,CarbonEmissions
0.0003,0.0003,0.0002,2048,CarbonEmissions
0.0003,0.0003,0.0002,2049,CarbonEmissions
0.0003,0.0003,0.0002,2050,CarbonEmissions
0.0003,0.0003,0.0002,2051,CarbonEmissions
0.0003,0.0003,0.0002,2052,CarbonEmissions
0.0003,0.0003,0.0002,2053,CarbonEmissions
0.0003,0.0003,0.0002,2054,CarbonEmissions
0.0003,0.0003,0.0002,2055,CarbonEmissions
0.0003,0.0003,0.0002,2056,CarbonEmissions
0.0003,0.0003,0.0002,2057,CarbonEmissions
0.0003,0.0003,0.0002,2058,CarbonEmissions
0.0003,0.0003,0.0002,2059,CarbonEmissions
0.0003,0.0003,0.0002,2060,CarbonEmissions
0.0003,0.0003,0.0001,2061,CarbonEmissions
0.0003,0.0003,0.0001,2062,CarbonEmissions
0.0003,0.0003,0.0001,2063,CarbonEmissions
0.0003,0.0003,0.0001,2064,CarbonEmissions
0.0003,0.0003,0.0001,2065,CarbonEmissions
0.0003,0.0003,0.0001,2066,CarbonEmissions
0.0003,0.0003,0.0001,2067,CarbonEmissions
0.0003,0.0003,0.0001,2068,CarbonEmissions
0.0003,0.0003,0.0001,2069,CarbonEmissions
0.0003,0.0003,0.0001,2070,CarbonEmissions
0.0003,0.0003,0.0001,2071,CarbonEmissions
0.0003,0.0003,0.0001,2072,CarbonEmissions
0.0003,0.0003,0.0001,2073,CarbonEmissions
0.0003,0.0003,0.0001,2074,CarbonEmissions
0.0003,0.0003,0.0001,2075,CarbonEmissions
0.0003,0.0003,0.0001,2076,CarbonEmissions
0.0003,0.0003,0.0001,2077,CarbonEmissions
0.0003,0.0003,0.0001,2078,CarbonEmissions
0.0003,0.0003,0.0001,2079,CarbonEmissions
0.0003,0.0003,0.0001,2080,CarbonEmissions
0.0003,0.0003,0.0001,2081,CarbonEmissions
0.0003,0.0003,0.0001,2082,CarbonEmissions
0.0003,0.0003,0.0001,2083,CarbonEmissions
0.0003,0.0003,0.0001,2084,CarbonEmissions
0.0003,0.0003,0.0001,2085,CarbonEmissions
0.0003,0.0003,0.0001,2086,CarbonEmissions
0.0003,0.0003,0.0001,2087,CarbonEmissions
0.0002,0.0003,0.0001,2088,CarbonEmissions
0.0002,0.0003,0.0001,2089,CarbonEmissions
0.0002,0.0003,0.0001,2090,CarbonEmissions
0.0002,0.0003,0.0001,2091,CarbonEmissions
0.0002,0.0003,0.0001,2092,CarbonEmissions
0.0002,0.0003,0,2093,CarbonEmissions
0.0002,0.0003,0,2094,CarbonEmissions
0.0002,0.0003,0,2095,CarbonEmissions
0.0002,0.0003,0,2096,CarbonEmissions
0.0002,0.0003,0,2097,CarbonEmissions
0.0002,0.0003,0,2098,CarbonEmissions
0.0002,0.0003,0,2099,CarbonEmissions
0.0002,0.0003,0,2100,CarbonEmissions
9.84007,9.84007,9.84007,2019,ChildMort5Yrs
10.29,10.29,10.29,2020,ChildMort5Yrs
9.79201,9.79201,9.79201,2021,ChildMort5Yrs
9.01822,9.01822,9.01821,2022,ChildMort5Yrs
8.79766,8.79766,8.79766,2023,ChildMort5Yrs
8.6172,8.6172,8.6172,2024,ChildMort5Yrs
8.3384,8.33805,8.33836,2025,ChildMort5Yrs
8.08204,8.06975,8.06849,2026,ChildMort5Yrs
7.77669,7.69706,7.69231,2027,ChildMort5Yrs
7.49547,7.35077,7.32865,2028,ChildMort5Yrs
7.22799,7.03374,6.97313,2029,ChildMort5Yrs
6.97937,6.74447,6.6383,2030,ChildMort5Yrs
6.74991,6.48308,6.33179,2031,ChildMort5Yrs
6.53614,6.24649,6.05714,2032,ChildMort5Yrs
6.33319,6.01994,5.8437,2033,ChildMort5Yrs
6.1372,5.87575,5.73075,2034,ChildMort5Yrs
5.94598,5.76452,5.60149,2035,ChildMort5Yrs
5.7622,5.63192,5.45246,2036,ChildMort5Yrs
5.58645,5.48316,5.28814,2037,ChildMort5Yrs
5.41895,5.32116,5.10508,2038,ChildMort5Yrs
5.25507,5.1223,4.89727,2039,ChildMort5Yrs
5.13388,4.92973,4.69374,2040,ChildMort5Yrs
5.01131,4.74611,4.49896,2041,ChildMort5Yrs
4.88366,4.57034,4.32427,2042,ChildMort5Yrs
4.74936,4.40035,4.15724,2043,ChildMort5Yrs
4.60773,4.23681,3.99613,2044,ChildMort5Yrs
4.45556,4.07527,3.83831,2045,ChildMort5Yrs
4.30815,3.92384,3.68788,2046,ChildMort5Yrs
4.16992,3.77591,3.54495,2047,ChildMort5Yrs
4.03654,3.63647,3.41032,2048,ChildMort5Yrs
3.90958,3.50446,3.28433,2049,ChildMort5Yrs
3.79414,3.383,3.16902,2050,ChildMort5Yrs
3.68461,3.26797,3.06025,2051,ChildMort5Yrs
3.58067,3.15862,2.95822,2052,ChildMort5Yrs
3.48219,3.05467,2.86212,2053,ChildMort5Yrs
3.38937,2.95626,2.77226,2054,ChildMort5Yrs
3.30657,2.86828,2.69284,2055,ChildMort5Yrs
3.22826,2.78644,2.61901,2056,ChildMort5Yrs
3.15346,2.70959,2.54911,2057,ChildMort5Yrs
3.08154,2.63707,2.48275,2058,ChildMort5Yrs
3.01142,2.56796,2.41837,2059,ChildMort5Yrs
2.94445,2.50338,2.35776,2060,ChildMort5Yrs
2.88,2.44197,2.29943,2061,ChildMort5Yrs
2.81731,2.38318,2.2429,2062,ChildMort5Yrs
2.75622,2.32713,2.1888,2063,ChildMort5Yrs
2.69638,2.27365,2.13678,2064,ChildMort5Yrs
2.63883,2.22238,2.08712,2065,ChildMort5Yrs
2.58327,2.17247,2.0384,2066,ChildMort5Yrs
2.52976,2.12364,1.9915,2067,ChildMort5Yrs
2.47845,2.07647,1.94678,2068,ChildMort5Yrs
2.42925,2.03062,1.90386,2069,ChildMort5Yrs
2.38163,1.98587,1.86163,2070,ChildMort5Yrs
2.33549,1.94145,1.82037,2071,ChildMort5Yrs
2.28997,1.89774,1.7802,2072,ChildMort5Yrs
2.24502,1.85471,1.74095,2073,ChildMort5Yrs
2.20094,1.8124,1.70216,2074,ChildMort5Yrs
2.15737,1.77074,1.6637,2075,ChildMort5Yrs
2.11392,1.72993,1.62618,2076,ChildMort5Yrs
2.07162,1.69052,1.58938,2077,ChildMort5Yrs
2.02677,1.65248,1.55361,2078,ChildMort5Yrs
1.98765,1.61244,1.51864,2079,ChildMort5Yrs
1.94559,1.57748,1.48476,2080,ChildMort5Yrs
1.90897,1.54006,1.4521,2081,ChildMort5Yrs
1.86942,1.50758,1.42103,2082,ChildMort5Yrs
1.83519,1.47264,1.39138,2083,ChildMort5Yrs
1.79829,1.44258,1.36328,2084,ChildMort5Yrs
1.76615,1.41058,1.33627,2085,ChildMort5Yrs
1.73185,1.38062,1.31082,2086,ChildMort5Yrs
1.69888,1.35238,1.28688,2087,ChildMort5Yrs
1.67049,1.32566,1.26434,2088,ChildMort5Yrs
1.64006,1.30027,1.24312,2089,ChildMort5Yrs
1.61067,1.27637,1.22314,2090,ChildMort5Yrs
1.58538,1.25374,1.20432,2091,ChildMort5Yrs
1.55808,1.23233,1.18655,2092,ChildMort5Yrs
1.53201,1.21182,1.16975,2093,ChildMort5Yrs
1.50712,1.19209,1.15387,2094,ChildMort5Yrs
1.48258,1.17279,1.13895,2095,ChildMort5Yrs
1.46125,1.15399,1.12478,2096,ChildMort5Yrs
1.43775,1.13556,1.11149,2097,ChildMort5Yrs
1.41523,1.11746,1.09885,2098,ChildMort5Yrs
1.39495,1.10081,1.08799,2099,ChildMort5Yrs
1.37549,1.08475,1.07741,2100,ChildMort5Yrs
0.0007,0.0007,0.0007,2019,ENP_Coal
0.0007,0.0007,0.0007,2020,ENP_Coal
0.0007,0.0007,0.0007,2021,ENP_Coal
0.0007,0.0007,0.0007,2022,ENP_Coal
0.0007,0.0007,0.0007,2023,ENP_Coal
0.0007,0.0007,0.0007,2024,ENP_Coal
0.0007,0.0007,0.0007,2025,ENP_Coal
0.0007,0.0007,0.0007,2026,ENP_Coal
0.0007,0.0007,0.0007,2027,ENP_Coal
0.0007,0.0007,0.0007,2028,ENP_Coal
0.0007,0.0007,0.0007,2029,ENP_Coal
0.0007,0.0007,0.0006,2030,ENP_Coal
0.0007,0.0007,0.0006,2031,ENP_Coal
0.0007,0.0007,0.0006,2032,ENP_Coal
0.0007,0.0007,0.0006,2033,ENP_Coal
0.0007,0.0007,0.0006,2034,ENP_Coal
0.0007,0.0007,0.0006,2035,ENP_Coal
0.0007,0.0007,0.0006,2036,ENP_Coal
0.0007,0.0007,0.0006,2037,ENP_Coal
0.0007,0.0007,0.0006,2038,ENP_Coal
0.0007,0.0007,0.0005,2039,ENP_Coal
0.0007,0.0008,0.0005,2040,ENP_Coal
0.0007,0.0008,0.0005,2041,ENP_Coal
0.0007,0.0008,0.0005,2042,ENP_Coal
0.0007,0.0008,0.0005,2043,ENP_Coal
0.0007,0.0008,0.0005,2044,ENP_Coal
0.0007,0.0008,0.0004,2045,ENP_Coal
0.0007,0.0007,0.0004,2046,ENP_Coal
0.0007,0.0007,0.0004,2047,ENP_Coal
0.0007,0.0007,0.0004,2048,ENP_Coal
0.0007,0.0007,0.0004,2049,ENP_Coal
0.0007,0.0007,0.0004,2050,ENP_Coal
0.0007,0.0006,0.0004,2051,ENP_Coal
0.0006,0.0006,0.0004,2052,ENP_Coal
0.0006,0.0006,0.0004,2053,ENP_Coal
0.0006,0.0006,0.0004,2054,ENP_Coal
0.0006,0.0006,0.0004,2055,ENP_Coal
0.0006,0.0005,0.0004,2056,ENP_Coal
0.0005,0.0005,0.0004,2057,ENP_Coal
0.0005,0.0005,0.0004,2058,ENP_Coal
0.0005,0.0005,0.0003,2059,ENP_Coal
0.0005,0.0005,0.0003,2060,ENP_Coal
0.0005,0.0004,0.0003,2061,ENP_Coal
0.0004,0.0004,0.0003,2062,ENP_Coal
0.0004,0.0004,0.0003,2063,ENP_Coal
0.0004,0.0004,0.0003,2064,ENP_Coal
0.0004,0.0004,0.0003,2065,ENP_Coal
0.0004,0.0004,0.0003,2066,ENP_Coal
0.0004,0.0003,0.0003,2067,ENP_Coal
0.0003,0.0003,0.0003,2068,ENP_Coal
0.0003,0.0003,0.0003,2069,ENP_Coal
0.0003,0.0003,0.0003,2070,ENP_Coal
0.0003,0.0003,0.0002,2071,ENP_Coal
0.0003,0.0003,0.0002,2072,ENP_Coal
0.0003,0.0003,0.0002,2073,ENP_Coal
0.0003,0.0003,0.0002,2074,ENP_Coal
0.0003,0.0003,0.0002,2075,ENP_Coal
0.0002,0.0002,0.0002,2076,ENP_Coal
0.0002,0.0002,0.0002,2077,ENP_Coal
0.0002,0.0002,0.0002,2078,ENP_Coal
0.0002,0.0002,0.0002,2079,ENP_Coal
0.0002,0.0002,0.0002,2080,ENP_Coal
0.0002,0.0002,0.0002,2081,ENP_Coal
0.0002,0.0002,0.0002,2082,ENP_Coal
0.0002,0.0002,0.0002,2083,ENP_Coal
0.0002,0.0002,0.0002,2084,ENP_Coal
0.0002,0.0002,0.0002,2085,ENP_Coal
0.0002,0.0002,0.0001,2086,ENP_Coal
