Baseline,SDG Push,JET SDG,Year,indicator
0.07648,0.07648,0.07648,2019,CarbonEmissions
0.07791,0.07791,0.07791,2020,CarbonEmissions
0.07734,0.07734,0.07734,2021,CarbonEmissions
0.0759,0.0759,0.0759,2022,CarbonEmissions
0.07602,0.07602,0.07602,2023,CarbonEmissions
0.07569,0.07569,0.07569,2024,CarbonEmissions
0.07556,0.07556,0.07438,2025,CarbonEmissions
0.07573,0.07571,0.07211,2026,CarbonEmissions
0.07626,0.07621,0.06897,2027,CarbonEmissions
0.07634,0.07633,0.06439,2028,CarbonEmissions
0.07674,0.07679,0.05966,2029,CarbonEmissions
0.07718,0.07736,0.05488,2030,CarbonEmissions
0.07741,0.07778,0.05212,2031,CarbonEmissions
0.07728,0.0779,0.04924,2032,CarbonEmissions
0.07698,0.07789,0.04641,2033,CarbonEmissions
0.07654,0.07767,0.04352,2034,CarbonEmissions
0.07595,0.07735,0.04071,2035,CarbonEmissions
0.07532,0.07714,0.03778,2036,CarbonEmissions
0.0747,0.07697,0.03342,2037,CarbonEmissions
0.07409,0.07665,0.0292,2038,CarbonEmissions
0.07341,0.07633,0.02517,2039,CarbonEmissions
0.07285,0.07606,0.02137,2040,CarbonEmissions
0.07225,0.07586,0.01776,2041,CarbonEmissions
0.07169,0.07564,0.01438,2042,CarbonEmissions
0.0711,0.07546,0.01125,2043,CarbonEmissions
0.07037,0.07507,0.00834,2044,CarbonEmissions
0.0696,0.07463,0.00565,2045,CarbonEmissions
0.06879,0.07414,0.00367,2046,CarbonEmissions
0.06794,0.07368,0.00297,2047,CarbonEmissions
0.0671,0.07321,0.00209,2048,CarbonEmissions
0.06626,0.07285,0.00119,2049,CarbonEmissions
0.06546,0.07266,0.00037,2050,CarbonEmissions
0.06462,0.07239,-0.0004,2051,CarbonEmissions
0.06377,0.07206,-0.00109,2052,CarbonEmissions
0.06291,0.07169,-0.00176,2053,CarbonEmissions
0.06203,0.0713,-0.00241,2054,CarbonEmissions
0.06117,0.07089,-0.00303,2055,CarbonEmissions
0.06032,0.07052,-0.00379,2056,CarbonEmissions
0.05947,0.07016,-0.0044,2057,CarbonEmissions
0.0586,0.06988,-0.00489,2058,CarbonEmissions
0.05776,0.06959,-0.00534,2059,CarbonEmissions
0.05688,0.0694,-0.00574,2060,CarbonEmissions
0.05598,0.06923,-0.0061,2061,CarbonEmissions
0.05509,0.06917,-0.00643,2062,CarbonEmissions
0.05425,0.06915,-0.00673,2063,CarbonEmissions
0.05341,0.06926,-0.007,2064,CarbonEmissions
0.05264,0.06948,-0.00699,2065,CarbonEmissions
0.05188,0.06967,-0.00706,2066,CarbonEmissions
0.05117,0.06985,-0.00717,2067,CarbonEmissions
0.05047,0.07011,-0.00728,2068,CarbonEmissions
0.04987,0.0703,-0.00736,2069,CarbonEmissions
0.04929,0.07104,-0.00748,2070,CarbonEmissions
0.04885,0.07159,-0.00762,2071,CarbonEmissions
0.04845,0.07194,-0.00777,2072,CarbonEmissions
0.04807,0.07227,-0.00794,2073,CarbonEmissions
0.04774,0.07258,-0.0081,2074,CarbonEmissions
0.04751,0.07297,-0.00828,2075,CarbonEmissions
0.04734,0.0732,-0.00845,2076,CarbonEmissions
0.04725,0.07341,-0.00862,2077,CarbonEmissions
0.04713,0.07321,-0.00879,2078,CarbonEmissions
0.04691,0.07262,-0.00894,2079,CarbonEmissions
0.04673,0.07199,-0.00905,2080,CarbonEmissions
