Baseline,SDG Push,JET SDG,Year,indicator
0.00792,0.00792,0.00792,2019,CarbonEmissions
0.00824,0.00824,0.00824,2020,CarbonEmissions
0.0083,0.0083,0.00831,2021,CarbonEmissions
0.00838,0.00838,0.00838,2022,CarbonEmissions
0.00856,0.00856,0.00856,2023,CarbonEmissions
0.0086,0.0086,0.0086,2024,CarbonEmissions
0.00868,0.00868,0.00897,2025,CarbonEmissions
0.00877,0.00877,0.00926,2026,CarbonEmissions
0.00887,0.00886,0.00942,2027,CarbonEmissions
0.009,0.00899,0.00947,2028,CarbonEmissions
0.00915,0.00915,0.00944,2029,CarbonEmissions
0.00931,0.00933,0.00937,2030,CarbonEmissions
0.00945,0.0095,0.00923,2031,CarbonEmissions
0.00955,0.00962,0.00911,2032,CarbonEmissions
0.00962,0.00973,0.00902,2033,CarbonEmissions
0.00968,0.00981,0.00894,2034,CarbonEmissions
0.00974,0.00989,0.00884,2035,CarbonEmissions
0.00978,0.00996,0.00875,2036,CarbonEmissions
0.00983,0.01004,0.00866,2037,CarbonEmissions
0.00989,0.01012,0.00853,2038,CarbonEmissions
0.00995,0.0102,0.00831,2039,CarbonEmissions
0.01003,0.0103,0.00799,2040,CarbonEmissions
0.0101,0.01041,0.00761,2041,CarbonEmissions
0.01018,0.01052,0.00718,2042,CarbonEmissions
0.01025,0.01063,0.00675,2043,CarbonEmissions
0.01031,0.01072,0.00633,2044,CarbonEmissions
0.01036,0.01079,0.00592,2045,CarbonEmissions
0.01041,0.01086,0.00556,2046,CarbonEmissions
0.01045,0.01093,0.00522,2047,CarbonEmissions
0.0105,0.01101,0.00492,2048,CarbonEmissions
0.01055,0.01109,0.00467,2049,CarbonEmissions
0.0106,0.0112,0.00449,2050,CarbonEmissions
0.01064,0.01129,0.00435,2051,CarbonEmissions
0.01068,0.01137,0.00423,2052,CarbonEmissions
0.01071,0.01143,0.00414,2053,CarbonEmissions
0.01074,0.01148,0.00405,2054,CarbonEmissions
0.01077,0.01153,0.00395,2055,CarbonEmissions
0.01079,0.01158,0.00382,2056,CarbonEmissions
0.01081,0.01163,0.00369,2057,CarbonEmissions
0.01083,0.01169,0.00354,2058,CarbonEmissions
0.01086,0.01175,0.00339,2059,CarbonEmissions
0.01088,0.01181,0.00322,2060,CarbonEmissions
0.01091,0.01188,0.00306,2061,CarbonEmissions
0.01094,0.01197,0.00289,2062,CarbonEmissions
0.01098,0.01205,0.00272,2063,CarbonEmissions
0.01102,0.01216,0.00255,2064,CarbonEmissions
0.01109,0.01227,0.00243,2065,CarbonEmissions
0.01116,0.01241,0.00231,2066,CarbonEmissions
0.01123,0.01256,0.0022,2067,CarbonEmissions
0.01131,0.01273,0.0021,2068,CarbonEmissions
0.01139,0.0129,0.00202,2069,CarbonEmissions
0.01146,0.01306,0.00193,2070,CarbonEmissions
0.01153,0.01322,0.00186,2071,CarbonEmissions
0.01159,0.01338,0.0018,2072,CarbonEmissions
0.01165,0.01355,0.00175,2073,CarbonEmissions
0.01172,0.01375,0.00169,2074,CarbonEmissions
0.01179,0.01399,0.00165,2075,CarbonEmissions
0.01188,0.01423,0.0016,2076,CarbonEmissions
0.01199,0.0145,0.00157,2077,CarbonEmissions
0.01209,0.01476,0.00153,2078,CarbonEmissions
0.0122,0.01501,0.00149,2079,CarbonEmissions
0.01233,0.01527,0.00145,2080,CarbonEmissions
0.01247,0.01553,0.00141,2081,CarbonEmissions
0.0126,0.01578,0.00137,2082,CarbonEmissions
0.01274,0.01601,0.00132,2083,CarbonEmissions
0.01288,0.01623,0.00128,2084,CarbonEmissions
0.01303,0.01644,0.00123,2085,CarbonEmissions
0.01319,0.01663,0.00118,2086,CarbonEmissions
0.01336,0.01682,0.00113,2087,CarbonEmissions
0.01355,0.01696,0.00109,2088,CarbonEmissions
0.01375,0.01711,0.00104,2089,CarbonEmissions
0.01395,0.01727,0.001,2090,CarbonEmissions
0.01415,0.01741,0.00096,2091,CarbonEmissions
0.01434,0.01754,0.00093,2092,CarbonEmissions
0.01453,0.01766,0.00091,2093,CarbonEmissions
0.01471,0.01778,0.0009,2094,CarbonEmissions
0.01488,0.01788,0.0009,2095,CarbonEmissions
0.01504,0.01793,0.0009,2096,CarbonEmissions
0.0152,0.01796,0.00091,2097,CarbonEmissions
0.01536,0.01796,0.00092,2098,CarbonEmissions
0.01551,0.01796,0.00094,2099,CarbonEmissions
0.01566,0.01798,0.00096,2100,CarbonEmissions
9.68609,9.68609,9.68609,2019,ChildMort5Yrs
10.11,10.11,10.11,2020,ChildMort5Yrs
9.86421,9.86421,9.86421,2021,ChildMort5Yrs
9.61716,9.61716,9.61716,2022,ChildMort5Yrs
9.52181,9.5218,9.5218,2023,ChildMort5Yrs
9.34602,9.34602,9.34602,2024,ChildMort5Yrs
9.20224,9.18098,9.18101,2025,ChildMort5Yrs
9.0826,9.03647,9.0371,2026,ChildMort5Yrs
8.95359,8.84181,8.84222,2027,ChildMort5Yrs
8.83959,8.66353,8.66261,2028,ChildMort5Yrs
8.73453,8.50089,8.4972,2029,ChildMort5Yrs
8.63905,8.35435,8.34687,2030,ChildMort5Yrs
8.54956,8.2206,8.20842,2031,ChildMort5Yrs
8.46489,8.09768,8.08045,2032,ChildMort5Yrs
8.38157,7.97645,7.95412,2033,ChildMort5Yrs
8.29803,7.85494,7.82779,2034,ChildMort5Yrs
8.20681,7.76224,7.73668,2035,ChildMort5Yrs
8.10769,7.72182,7.69181,2036,ChildMort5Yrs
8.0027,7.65587,7.62224,2037,ChildMort5Yrs
7.88908,7.57489,7.53743,2038,ChildMort5Yrs
7.76519,7.46485,7.42321,2039,ChildMort5Yrs
7.69067,7.32956,7.28366,2040,ChildMort5Yrs
7.61054,7.18024,7.13124,2041,ChildMort5Yrs
7.51147,7.02808,6.97664,2042,ChildMort5Yrs
7.39311,6.87201,6.81801,2043,ChildMort5Yrs
7.25583,6.71229,6.65568,2044,ChildMort5Yrs
7.1045,6.5523,6.49139,2045,ChildMort5Yrs
6.95312,6.39184,6.32711,2046,ChildMort5Yrs
6.80443,6.23323,6.16709,2047,ChildMort5Yrs
6.65862,6.07778,6.01135,2048,ChildMort5Yrs
6.51583,5.9261,5.85967,2049,ChildMort5Yrs
6.37658,5.7787,5.71184,2050,ChildMort5Yrs
