Baseline,SDG Push,JET SDG,Year,indicator
0.10637,0.10637,0.10637,2019,CarbonEmissions
0.11105,0.11105,0.11105,2020,CarbonEmissions
0.11318,0.11318,0.11318,2021,CarbonEmissions
0.11743,0.11743,0.11743,2022,CarbonEmissions
0.12006,0.12006,0.12006,2023,CarbonEmissions
0.12023,0.12023,0.12023,2024,CarbonEmissions
0.11898,0.11898,0.10734,2025,CarbonEmissions
0.11823,0.11822,0.09363,2026,CarbonEmissions
0.11807,0.11805,0.08174,2027,CarbonEmissions
0.11932,0.11928,0.07174,2028,CarbonEmissions
0.12027,0.12021,0.06147,2029,CarbonEmissions
0.12099,0.12097,0.05078,2030,CarbonEmissions
0.12126,0.12128,0.0477,2031,CarbonEmissions
0.12107,0.12111,0.04102,2032,CarbonEmissions
0.12082,0.12085,0.03314,2033,CarbonEmissions
0.12047,0.12039,0.02499,2034,CarbonEmissions
0.12014,0.12,0.0187,2035,CarbonEmissions
0.11954,0.1195,0.01537,2036,CarbonEmissions
0.11888,0.11895,0.0146,2037,CarbonEmissions
0.11812,0.11809,0.01389,2038,CarbonEmissions
0.11709,0.11713,0.01319,2039,CarbonEmissions
0.11603,0.11604,0.0125,2040,CarbonEmissions
0.11475,0.11488,0.01186,2041,CarbonEmissions
0.11331,0.11339,0.01127,2042,CarbonEmissions
0.11175,0.11181,0.01072,2043,CarbonEmissions
0.10989,0.10988,0.01022,2044,CarbonEmissions
0.10793,0.10783,0.00975,2045,CarbonEmissions
0.1058,0.10559,0.00938,2046,CarbonEmissions
0.10349,0.10389,0.00918,2047,CarbonEmissions
0.10099,0.10273,0.00903,2048,CarbonEmissions
0.09826,0.10112,0.00889,2049,CarbonEmissions
0.09545,0.09944,0.00873,2050,CarbonEmissions
0.09347,0.09744,0.00858,2051,CarbonEmissions
0.09114,0.0954,0.00846,2052,CarbonEmissions
0.08851,0.0933,0.00834,2053,CarbonEmissions
0.08572,0.09114,0.00821,2054,CarbonEmissions
0.08302,0.08886,0.00808,2055,CarbonEmissions
0.08024,0.08645,0.00794,2056,CarbonEmissions
0.07742,0.08377,0.00776,2057,CarbonEmissions
0.07447,0.08091,0.00759,2058,CarbonEmissions
0.07143,0.07771,0.00741,2059,CarbonEmissions
0.06818,0.07444,0.00725,2060,CarbonEmissions
0.06498,0.07106,0.0071,2061,CarbonEmissions
0.06169,0.06764,0.00696,2062,CarbonEmissions
0.0584,0.06411,0.00682,2063,CarbonEmissions
0.05493,0.06053,0.00669,2064,CarbonEmissions
0.05147,0.05689,0.00658,2065,CarbonEmissions
0.04801,0.05345,0.00647,2066,CarbonEmissions
0.04464,0.05013,0.00638,2067,CarbonEmissions
0.04135,0.04707,0.00629,2068,CarbonEmissions
0.0383,0.04416,0.00621,2069,CarbonEmissions
0.03534,0.04142,0.00613,2070,CarbonEmissions
0.03266,0.03883,0.00606,2071,CarbonEmissions
0.03015,0.03618,0.006,2072,CarbonEmissions
0.02766,0.03351,0.00593,2073,CarbonEmissions
0.02534,0.03081,0.00588,2074,CarbonEmissions
0.0232,0.02814,0.00582,2075,CarbonEmissions
0.02118,0.02534,0.00576,2076,CarbonEmissions
0.01931,0.02268,0.00571,2077,CarbonEmissions
0.01754,0.02023,0.00566,2078,CarbonEmissions
0.01589,0.01791,0.00561,2079,CarbonEmissions
0.01439,0.0158,0.00556,2080,CarbonEmissions
0.01305,0.01389,0.00552,2081,CarbonEmissions
0.01176,0.01211,0.00547,2082,CarbonEmissions
0.01058,0.0105,0.00543,2083,CarbonEmissions
0.00945,0.00899,0.00539,2084,CarbonEmissions
0.00833,0.00802,0.00536,2085,CarbonEmissions
0.00756,0.00786,0.00532,2086,CarbonEmissions
0.00742,0.0077,0.00529,2087,CarbonEmissions
0.00729,0.00756,0.00526,2088,CarbonEmissions
0.00717,0.00742,0.00523,2089,CarbonEmissions
0.00705,0.00729,0.0052,2090,CarbonEmissions
0.00694,0.00717,0.00517,2091,CarbonEmissions
0.00684,0.00706,0.00515,2092,CarbonEmissions
0.00674,0.00695,0.00514,2093,CarbonEmissions
0.00664,0.00684,0.00512,2094,CarbonEmissions
0.00655,0.00674,0.00511,2095,CarbonEmissions
0.00646,0.00664,0.00509,2096,CarbonEmissions
0.00637,0.00655,0.00508,2097,CarbonEmissions
0.00629,0.00647,0.00507,2098,CarbonEmissions
0.00621,0.00638,0.00506,2099,CarbonEmissions
0.00614,0.00631,0.00504,2100,CarbonEmissions
12.84,12.84,12.84,2019,ChildMort5Yrs
12.92,12.92,12.92,2020,ChildMort5Yrs
12.33,12.33,12.33,2021,ChildMort5Yrs
12.23,12.23,12.23,2022,ChildMort5Yrs
12.22,12.22,12.22,2023,ChildMort5Yrs
12.34,12.34,12.34,2024,ChildMort5Yrs
12.22,12.22,12.24,2025,ChildMort5Yrs
12.07,12.07,12.06,2026,ChildMort5Yrs
11.8,11.73,11.74,2027,ChildMort5Yrs
11.58,11.46,11.47,2028,ChildMort5Yrs
11.37,11.34,11.34,2029,ChildMort5Yrs
11.26,11.21,11.21,2030,ChildMort5Yrs
11.14,11.08,11.07,2031,ChildMort5Yrs
11.02,10.93,10.91,2032,ChildMort5Yrs
10.88,10.76,10.73,2033,ChildMort5Yrs
10.73,10.56,10.53,2034,ChildMort5Yrs
10.55,10.36,10.33,2035,ChildMort5Yrs
10.39,10.17,10.13,2036,ChildMort5Yrs
10.23,9.98714,9.94166,2037,ChildMort5Yrs
10.08,9.8097,9.76226,2038,ChildMort5Yrs
9.93246,9.64248,9.59346,2039,ChildMort5Yrs
9.77108,9.46042,9.41093,2040,ChildMort5Yrs
9.61911,9.28652,9.23573,2041,ChildMort5Yrs
9.4769,9.12095,9.07043,2042,ChildMort5Yrs
