Baseline,JET SDG,SDG Push,Year,indicator
0.114,0.114,0.114,2019,CarbonEmissions
0.113,0.113,0.113,2020,CarbonEmissions
0.114,0.114,0.114,2021,CarbonEmissions
0.114,0.114,0.114,2022,CarbonEmissions
0.115,0.115,0.115,2023,CarbonEmissions
0.114,0.114,0.114,2024,CarbonEmissions
0.112,0.113,0.112,2025,CarbonEmissions
0.111,0.112,0.111,2026,CarbonEmissions
0.111,0.11,0.111,2027,CarbonEmissions
0.111,0.107,0.111,2028,CarbonEmissions
0.111,0.104,0.111,2029,CarbonEmissions
0.111,0.1,0.111,2030,CarbonEmissions
0.111,0.095,0.112,2031,CarbonEmissions
0.111,0.092,0.111,2032,CarbonEmissions
0.11,0.089,0.111,2033,CarbonEmissions
0.11,0.087,0.111,2034,CarbonEmissions
0.109,0.085,0.11,2035,CarbonEmissions
0.108,0.084,0.11,2036,CarbonEmissions
0.108,0.083,0.11,2037,CarbonEmissions
0.107,0.082,0.109,2038,CarbonEmissions
0.106,0.08,0.109,2039,CarbonEmissions
0.106,0.078,0.108,2040,CarbonEmissions
0.105,0.076,0.108,2041,CarbonEmissions
0.104,0.074,0.107,2042,CarbonEmissions
0.104,0.072,0.106,2043,CarbonEmissions
0.103,0.07,0.106,2044,CarbonEmissions
0.101,0.068,0.105,2045,CarbonEmissions
0.1,0.066,0.103,2046,CarbonEmissions
0.099,0.062,0.102,2047,CarbonEmissions
0.098,0.06,0.101,2048,CarbonEmissions
0.097,0.057,0.1,2049,CarbonEmissions
0.096,0.055,0.099,2050,CarbonEmissions
0.094,0.053,0.099,2051,CarbonEmissions
0.093,0.051,0.098,2052,CarbonEmissions
0.092,0.05,0.097,2053,CarbonEmissions
0.091,0.048,0.096,2054,CarbonEmissions
0.09,0.047,0.095,2055,CarbonEmissions
0.089,0.046,0.093,2056,CarbonEmissions
0.088,0.044,0.092,2057,CarbonEmissions
0.087,0.042,0.091,2058,CarbonEmissions
0.085,0.041,0.09,2059,CarbonEmissions
0.084,0.039,0.089,2060,CarbonEmissions
0.083,0.038,0.088,2061,CarbonEmissions
0.082,0.036,0.087,2062,CarbonEmissions
0.08,0.035,0.085,2063,CarbonEmissions
0.079,0.034,0.084,2064,CarbonEmissions
0.078,0.032,0.083,2065,CarbonEmissions
0.077,0.031,0.082,2066,CarbonEmissions
0.076,0.03,0.081,2067,CarbonEmissions
0.074,0.03,0.08,2068,CarbonEmissions
0.073,0.029,0.078,2069,CarbonEmissions
0.072,0.029,0.077,2070,CarbonEmissions
0.07,0.028,0.075,2071,CarbonEmissions
0.069,0.028,0.073,2072,CarbonEmissions
0.067,0.028,0.072,2073,CarbonEmissions
0.066,0.029,0.07,2074,CarbonEmissions
0.064,0.029,0.069,2075,CarbonEmissions
0.063,0.029,0.067,2076,CarbonEmissions
0.061,0.029,0.066,2077,CarbonEmissions
0.06,0.03,0.064,2078,CarbonEmissions
0.059,0.03,0.063,2079,CarbonEmissions
0.057,0.03,0.061,2080,CarbonEmissions
0.056,0.029,0.06,2081,CarbonEmissions
0.054,0.029,0.058,2082,CarbonEmissions
0.053,0.028,0.057,2083,CarbonEmissions
0.051,0.027,0.055,2084,CarbonEmissions
0.05,0.027,0.054,2085,CarbonEmissions
0.048,0.026,0.052,2086,CarbonEmissions
0.047,0.025,0.051,2087,CarbonEmissions
0.046,0.024,0.049,2088,CarbonEmissions
0.045,0.023,0.048,2089,CarbonEmissions
0.043,0.022,0.046,2090,CarbonEmissions
0.042,0.021,0.045,2091,CarbonEmissions
0.041,0.02,0.044,2092,CarbonEmissions
0.04,0.02,0.042,2093,CarbonEmissions
0.038,0.019,0.041,2094,CarbonEmissions
0.037,0.018,0.04,2095,CarbonEmissions
0.036,0.017,0.038,2096,CarbonEmissions
0.035,0.017,0.037,2097,CarbonEmissions
0.034,0.016,0.036,2098,CarbonEmissions
0.033,0.016,0.034,2099,CarbonEmissions
0.032,0.015,0.033,2100,CarbonEmissions
21.83,21.83,21.83,2019,ChildMort5Yrs
22.58,22.58,22.58,2020,ChildMort5Yrs
22.96,22.96,22.96,2021,ChildMort5Yrs
22.6,22.6,22.6,2022,ChildMort5Yrs
22.4,22.4,22.4,2023,ChildMort5Yrs
22,22,22,2024,ChildMort5Yrs
21.69,21.52,21.52,2025,ChildMort5Yrs
21.31,20.93,20.93,2026,ChildMort5Yrs
20.9,20.3,20.3,2027,ChildMort5Yrs
20.49,19.7,19.71,2028,ChildMort5Yrs
20.09,19.08,19.09,2029,ChildMort5Yrs
19.68,18.45,18.47,2030,ChildMort5Yrs
19.29,17.83,17.85,2031,ChildMort5Yrs
18.89,17.2,17.24,2032,ChildMort5Yrs
18.51,16.59,16.63,2033,ChildMort5Yrs
18.13,15.99,16.04,2034,ChildMort5Yrs
17.75,15.4,15.45,2035,ChildMort5Yrs
17.36,14.82,14.87,2036,ChildMort5Yrs
16.97,14.25,14.3,2037,ChildMort5Yrs
16.56,13.72,13.78,2038,ChildMort5Yrs
16.14,13.21,13.27,2039,ChildMort5Yrs
15.72,12.72,12.78,2040,ChildMort5Yrs
15.29,12.24,12.3,2041,ChildMort5Yrs
14.86,11.78,11.84,2042,ChildMort5Yrs
14.45,11.34,11.39,2043,ChildMort5Yrs
14.04,10.91,10.96,2044,ChildMort5Yrs
13.64,10.52,10.56,2045,ChildMort5Yrs
13.25,10.14,10.18,2046,ChildMort5Yrs
12.88,9.781,9.809,2047,ChildMort5Yrs
12.51,9.43,9.453,2048,ChildMort5Yrs
12.16,9.088,9.107,2049,ChildMort5Yrs
11.82,8.751,8.763,2050,ChildMort5Yrs
11.48,8.427,8.433,2051,ChildMort5Yrs
11.15,8.129,8.127,2052,ChildMort5Yrs
10.83,7.836,7.829,2053,ChildMort5Yrs
10.52,7.572,7.566,2054,ChildMort5Yrs
10.21,7.359,7.349,2055,ChildMort5Yrs
9.907,7.143,7.135,2056,ChildMort5Yrs
9.609,6.935,6.93,2057,ChildMort5Yrs
9.329,6.734,6.734,2058,ChildMort5Yrs
9.058,6.54,6.545,2059,ChildMort5Yrs
8.795,6.352,6.363,2060,ChildMort5Yrs
8.539,6.164,6.182,2061,ChildMort5Yrs
8.289,5.981,6.004,2062,ChildMort5Yrs
8.046,5.799,5.829,2063,ChildMort5Yrs
7.811,5.618,5.656,2064,ChildMort5Yrs
7.582,5.44,5.485,2065,ChildMort5Yrs
7.358,5.264,5.316,2066,ChildMort5Yrs
7.138,5.089,5.148,2067,ChildMort5Yrs
6.972,4.92,4.982,2068,ChildMort5Yrs
6.8,4.756,4.823,2069,ChildMort5Yrs
6.643,4.602,4.673,2070,ChildMort5Yrs
6.494,4.449,4.524,2071,ChildMort5Yrs
6.35,4.3,4.379,2072,ChildMort5Yrs
6.211,4.156,4.237,2073,ChildMort5Yrs
6.076,4.015,4.098,2074,ChildMort5Yrs
5.943,3.88,3.963,2075,ChildMort5Yrs
5.813,3.75,3.834,2076,ChildMort5Yrs
5.686,3.626,3.709,2077,ChildMort5Yrs
5.561,3.508,3.591,2078,ChildMort5Yrs
5.437,3.395,3.476,2079,ChildMort5Yrs
5.314,3.288,3.368,2080,ChildMort5Yrs
5.192,3.186,3.263,2081,ChildMort5Yrs
5.072,3.088,3.164,2082,ChildMort5Yrs
4.954,2.996,3.068,2083,ChildMort5Yrs
4.837,2.908,2.977,2084,ChildMort5Yrs
4.722,2.825,2.891,2085,ChildMort5Yrs
4.609,2.746,2.809,2086,ChildMort5Yrs
4.497,2.671,2.731,2087,ChildMort5Yrs
4.386,2.6,2.657,2088,ChildMort5Yrs
4.278,2.532,2.587,2089,ChildMort5Yrs
4.172,2.47,2.52,2090,ChildMort5Yrs
4.069,2.412,2.458,2091,ChildMort5Yrs
3.969,2.356,2.4,2092,ChildMort5Yrs
3.873,2.303,2.344,2093,ChildMort5Yrs
3.781,2.252,2.291,2094,ChildMort5Yrs
3.692,2.204,2.24,2095,ChildMort5Yrs
3.606,2.157,2.191,2096,ChildMort5Yrs
3.524,2.115,2.144,2097,ChildMort5Yrs
3.443,2.075,2.102,2098,ChildMort5Yrs
3.367,2.036,2.062,2099,ChildMort5Yrs
3.293,1.997,2.022,2100,ChildMort5Yrs
2.074,2.074,2.074,2019,ENP_Coal
2.036,2.036,2.036,2020,ENP_Coal
1.992,1.992,1.992,2021,ENP_Coal
1.957,1.957,1.957,2022,ENP_Coal
1.942,1.942,1.942,2023,ENP_Coal
1.88,1.88,1.88,2024,ENP_Coal
1.815,1.815,1.815,2025,ENP_Coal
1.755,1.742,1.755,2026,ENP_Coal
1.708,1.667,1.708,2027,ENP_Coal
1.671,1.599,1.67,2028,ENP_Coal
1.637,1.53,1.637,2029,ENP_Coal
1.602,1.466,1.604,2030,ENP_Coal
1.565,1.407,1.569,2031,ENP_Coal
1.523,1.354,1.53,2032,ENP_Coal
1.478,1.306,1.488,2033,ENP_Coal
1.436,1.26,1.447,2034,ENP_Coal
1.394,1.215,1.407,2035,ENP_Coal
1.353,1.172,1.368,2036,ENP_Coal
1.314,1.13,1.329,2037,ENP_Coal
1.275,1.084,1.291,2038,ENP_Coal
1.238,1.033,1.253,2039,ENP_Coal
1.201,0.978,1.217,2040,ENP_Coal
1.163,0.922,1.18,2041,ENP_Coal
1.126,0.865,1.145,2042,ENP_Coal
1.089,0.812,1.108,2043,ENP_Coal
1.051,0.762,1.072,2044,ENP_Coal
1.014,0.715,1.035,2045,ENP_Coal
0.978,0.671,0.999,2046,ENP_Coal
0.942,0.629,0.963,2047,ENP_Coal
0.908,0.591,0.929,2048,ENP_Coal
0.873,0.558,0.894,2049,ENP_Coal
0.84,0.529,0.861,2050,ENP_Coal
0.807,0.504,0.827,2051,ENP_Coal
0.775,0.481,0.794,2052,ENP_Coal
0.743,0.454,0.761,2053,ENP_Coal
0.712,0.43,0.729,2054,ENP_Coal
0.689,0.406,0.707,2055,ENP_Coal
0.661,0.381,0.678,2056,ENP_Coal
0.631,0.359,0.648,2057,ENP_Coal
0.602,0.336,0.618,2058,ENP_Coal
0.572,0.316,0.588,2059,ENP_Coal
0.543,0.298,0.558,2060,ENP_Coal
0.516,0.28,0.53,2061,ENP_Coal
0.489,0.264,0.502,2062,ENP_Coal
0.463,0.248,0.476,2063,ENP_Coal
0.439,0.234,0.451,2064,ENP_Coal
0.416,0.22,0.427,2065,ENP_Coal
0.394,0.209,0.404,2066,ENP_Coal
0.373,0.198,0.382,2067,ENP_Coal
0.353,0.188,0.361,2068,ENP_Coal
0.334,0.178,0.342,2069,ENP_Coal
0.316,0.169,0.323,2070,ENP_Coal
0.299,0.161,0.306,2071,ENP_Coal
0.283,0.152,0.29,2072,ENP_Coal
0.269,0.144,0.275,2073,ENP_Coal
0.255,0.136,0.26,2074,ENP_Coal
0.241,0.128,0.247,2075,ENP_Coal
0.229,0.121,0.234,2076,ENP_Coal
0.217,0.114,0.223,2077,ENP_Coal
0.206,0.108,0.211,2078,ENP_Coal
0.195,0.102,0.2,2079,ENP_Coal
0.185,0.096,0.19,2080,ENP_Coal
