Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base
2019,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,5.29502,5.29502,5.29502
2020,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,5.40207,5.40207,5.40207
2021,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,5.16109,5.16109,5.16109
2022,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,5.0505,5.0505,5.0505
2023,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.99529,4.99529,4.99529
2024,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.93691,4.93652,4.93691
2025,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.84468,4.8369,4.84505
2026,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.75163,4.73338,4.75428
2027,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.62516,4.60666,4.64427
2028,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.50309,4.49292,4.53556
2029,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.39136,4.37835,4.42777
2030,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.28932,4.27164,4.33537
2031,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.19439,4.17123,4.249
2032,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.10445,4.07461,4.17033
2033,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,4.01775,3.98234,4.0963
2034,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.93368,3.8935,4.02512
2035,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.84949,3.80688,3.95435
2036,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.76741,3.72255,3.88535
2037,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.68722,3.64034,3.81705
2038,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.60802,3.56103,3.74958
2039,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.53107,3.4838,3.68303
2040,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.45301,3.40482,3.6141
2041,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.37689,3.32773,3.54709
2042,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.30328,3.2529,3.48204
2043,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.23237,3.18029,3.41933
2044,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.16407,3.11056,3.3589
2045,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.09548,3.0432,3.29762
2046,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,3.02946,2.97542,3.23833
2047,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.96406,2.90939,3.18079
2048,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.90084,2.84526,3.12506
2049,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.84028,2.78366,3.07175
2050,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.78299,2.72489,3.01909
2051,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.72772,2.6666,2.96788
2052,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.6743,2.61081,2.91741
2053,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.62047,2.55683,2.86788
2054,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.5667,2.50461,2.81926
2055,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.5175,2.45723,2.77497
2056,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.46983,2.41124,2.73174
2057,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.42355,2.36662,2.68982
2058,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.37815,2.3231,2.64878
2059,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.33392,2.27969,2.60975
2060,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.29186,2.23835,2.57108
2061,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.25086,2.19801,2.53314
2062,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.21114,2.15905,2.49623
2063,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.17295,2.12168,2.4606
2064,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.13614,2.0855,2.4261
2065,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Very High,2.1007,2.05144,2.39308
