Year,Indicator,JET8,JETSDG,NDC cond.,NDC uncon.,Base,
2019,GDPPCP,48.87,48.87,48.87,48.87,48.87,
2020,GDPPCP,46.44,46.44,46.44,46.44,46.44,
2021,GDPPCP,48.88,48.88,48.88,48.88,48.88,
2022,GDPPCP,50.15,50.15,50.15,50.15,50.15,
2023,GDPPCP,50.62,50.62,50.62,50.62,50.62,
2024,GDPPCP,51.38,51.38,51.38,51.38,51.38,
2025,GDPPCP,52.22,52.22,52.22,52.22,52.22,
2026,GDPPCP,53.04,53.04,53.04,53.04,53.04,
2027,GDPPCP,53.92,54.03,53.98,53.95,53.9,
2028,GDPPCP,54.82,55.08,54.98,54.92,54.77,
2029,GDPPCP,55.74,56.18,56.02,55.93,55.62,
2030,GDPPCP,56.69,57.34,57.18,57.06,56.48,
2031,GDPPCP,57.65,58.55,58.08,57.93,57.35,
2032,GDPPCP,58.63,59.8,59.23,59.07,58.23,
2033,GDPPCP,59.61,61.09,60.45,60.27,59.12,
2034,GDPPCP,60.59,62.39,61.67,61.49,60.03,
2035,GDPPCP,61.54,63.68,62.91,62.73,60.94,
2036,GDPPCP,62.51,64.99,64.13,63.95,61.86,
2037,GDPPCP,63.49,66.3,65.36,65.18,62.79,
2038,GDPPCP,64.47,67.63,66.61,66.42,63.73,
2039,GDPPCP,65.46,68.97,67.88,67.7,64.69,
2040,GDPPCP,66.48,70.33,69.16,69,65.67,
2041,GDPPCP,67.53,71.72,70.46,70.31,66.67,
2042,GDPPCP,68.59,73.13,71.81,71.64,67.67,
2043,GDPPCP,69.68,74.58,73.19,72.97,68.68,
2044,GDPPCP,70.77,76.03,74.59,74.31,69.68,
2045,GDPPCP,71.85,77.49,76.01,75.65,70.69,
2046,GDPPCP,72.94,78.96,77.44,76.99,71.71,
2047,GDPPCP,74.02,80.42,78.89,78.36,72.73,
2048,GDPPCP,75.1,81.88,80.35,79.76,73.76,
2049,GDPPCP,76.22,83.38,81.83,81.2,74.81,
2050,GDPPCP,77.25,84.79,83.27,82.6,75.82,
2051,GDPPCP,78.3,86.21,84.71,84.02,76.83,
2052,GDPPCP,79.33,87.61,86.15,85.44,77.85,
2053,GDPPCP,80.36,88.99,87.59,86.87,78.88,
2054,GDPPCP,81.38,90.37,89.03,88.3,79.91,
2055,GDPPCP,82.39,91.74,90.47,89.74,80.94,
2056,GDPPCP,83.39,93.1,91.92,91.17,81.97,
2057,GDPPCP,84.42,94.5,93.37,92.61,83,
2058,GDPPCP,85.44,95.89,94.82,94.05,84.04,
2059,GDPPCP,86.51,97.32,96.29,95.5,85.09,
2060,GDPPCP,87.57,98.76,97.76,96.96,86.14,
2061,GDPPCP,88.66,100.2,99.23,98.41,87.2,
2062,GDPPCP,89.74,101.6,100.7,99.87,88.26,
2063,GDPPCP,90.83,103.1,102.2,101.3,89.32,
2064,GDPPCP,91.91,104.5,103.6,102.8,90.38,
2065,GDPPCP,92.97,105.9,105.1,104.2,91.43,
