Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
2.008,2.008,2.008,2019,ENDEM_GDP,AFG
2.251,2.251,2.251,2020,ENDEM_GDP,AFG
2.956,2.956,2.956,2021,ENDEM_GDP,AFG
2.96,2.96,2.96,2022,ENDEM_GDP,AFG
2.669,2.669,2.669,2023,ENDEM_GDP,AFG
2.566,2.566,2.566,2024,ENDEM_GDP,AFG
2.57,2.57,2.57,2025,ENDEM_GDP,AFG
2.617,2.617,2.618,2026,ENDEM_GDP,AFG
2.717,2.696,2.699,2027,ENDEM_GDP,AFG
2.767,2.75,2.76,2028,ENDEM_GDP,AFG
2.839,2.814,2.833,2029,ENDEM_GDP,AFG
2.898,2.871,2.902,2030,ENDEM_GDP,AFG
2.948,2.91,2.951,2031,ENDEM_GDP,AFG
3.003,2.939,2.997,2032,ENDEM_GDP,AFG
3.029,2.957,3.034,2033,ENDEM_GDP,AFG
3.047,2.965,3.061,2034,ENDEM_GDP,AFG
3.061,2.969,3.082,2035,ENDEM_GDP,AFG
3.072,2.969,3.1,2036,ENDEM_GDP,AFG
3.08,2.966,3.116,2037,ENDEM_GDP,AFG
3.085,2.959,3.126,2038,ENDEM_GDP,AFG
3.086,2.949,3.134,2039,ENDEM_GDP,AFG
3.087,2.935,3.137,2040,ENDEM_GDP,AFG
3.089,2.92,3.139,2041,ENDEM_GDP,AFG
3.085,2.9,3.138,2042,ENDEM_GDP,AFG
3.075,2.881,3.134,2043,ENDEM_GDP,AFG
3.065,2.859,3.128,2044,ENDEM_GDP,AFG
3.051,2.832,3.12,2045,ENDEM_GDP,AFG
3.032,2.8,3.108,2046,ENDEM_GDP,AFG
3.01,2.766,3.093,2047,ENDEM_GDP,AFG
2.986,2.732,3.072,2048,ENDEM_GDP,AFG
2.964,2.697,3.05,2049,ENDEM_GDP,AFG
2.935,2.657,3.021,2050,ENDEM_GDP,AFG
2.904,2.618,2.998,2051,ENDEM_GDP,AFG
2.873,2.578,2.969,2052,ENDEM_GDP,AFG
2.842,2.538,2.932,2053,ENDEM_GDP,AFG
2.81,2.496,2.893,2054,ENDEM_GDP,AFG
2.778,2.455,2.854,2055,ENDEM_GDP,AFG
2.746,2.411,2.812,2056,ENDEM_GDP,AFG
2.713,2.369,2.769,2057,ENDEM_GDP,AFG
2.679,2.327,2.725,2058,ENDEM_GDP,AFG
2.644,2.284,2.68,2059,ENDEM_GDP,AFG
2.61,2.241,2.627,2060,ENDEM_GDP,AFG
2.577,2.198,2.575,2061,ENDEM_GDP,AFG
2.541,2.154,2.521,2062,ENDEM_GDP,AFG
2.506,2.11,2.467,2063,ENDEM_GDP,AFG
2.471,2.067,2.415,2064,ENDEM_GDP,AFG
2.435,2.024,2.364,2065,ENDEM_GDP,AFG
2.4,1.982,2.312,2066,ENDEM_GDP,AFG
2.365,1.941,2.26,2067,ENDEM_GDP,AFG
2.331,1.9,2.207,2068,ENDEM_GDP,AFG
2.297,1.861,2.154,2069,ENDEM_GDP,AFG
2.263,1.821,2.101,2070,ENDEM_GDP,AFG
2.23,1.782,2.047,2071,ENDEM_GDP,AFG
2.197,1.744,1.992,2072,ENDEM_GDP,AFG
2.163,1.705,1.936,2073,ENDEM_GDP,AFG
2.129,1.666,1.896,2074,ENDEM_GDP,AFG
2.096,1.629,1.856,2075,ENDEM_GDP,AFG
2.063,1.591,1.815,2076,ENDEM_GDP,AFG
2.029,1.553,1.773,2077,ENDEM_GDP,AFG
1.996,1.515,1.732,2078,ENDEM_GDP,AFG
1.962,1.477,1.691,2079,ENDEM_GDP,AFG
1.928,1.44,1.651,2080,ENDEM_GDP,AFG
1.894,1.404,1.613,2081,ENDEM_GDP,AFG
1.86,1.369,1.578,2082,ENDEM_GDP,AFG
1.826,1.335,1.535,2083,ENDEM_GDP,AFG
1.794,1.296,1.5,2084,ENDEM_GDP,AFG
1.762,1.262,1.467,2085,ENDEM_GDP,AFG
1.73,1.229,1.435,2086,ENDEM_GDP,AFG
1.699,1.198,1.405,2087,ENDEM_GDP,AFG
1.669,1.168,1.375,2088,ENDEM_GDP,AFG
1.639,1.138,1.347,2089,ENDEM_GDP,AFG
1.61,1.11,1.321,2090,ENDEM_GDP,AFG
1.58,1.084,1.295,2091,ENDEM_GDP,AFG
1.552,1.058,1.272,2092,ENDEM_GDP,AFG
1.523,1.033,1.249,2093,ENDEM_GDP,AFG
1.496,1.01,1.226,2094,ENDEM_GDP,AFG
1.468,0.988,1.205,2095,ENDEM_GDP,AFG
1.442,0.966,1.184,2096,ENDEM_GDP,AFG
1.417,0.946,1.164,2097,ENDEM_GDP,AFG
1.392,0.927,1.146,2098,ENDEM_GDP,AFG
1.37,0.911,1.118,2099,ENDEM_GDP,AFG
1.349,0.895,1.089,2100,ENDEM_GDP,AFG
1.231,1.231,1.231,2019,ENDEM_GDP,AGO
1.424,1.424,1.424,2020,ENDEM_GDP,AGO
1.449,1.449,1.449,2021,ENDEM_GDP,AGO
1.443,1.443,1.443,2022,ENDEM_GDP,AGO
1.498,1.498,1.499,2023,ENDEM_GDP,AGO
1.509,1.509,1.51,2024,ENDEM_GDP,AGO
1.533,1.533,1.54,2025,ENDEM_GDP,AGO
1.55,1.549,1.563,2026,ENDEM_GDP,AGO
1.554,1.551,1.571,2027,ENDEM_GDP,AGO
1.562,1.557,1.587,2028,ENDEM_GDP,AGO
1.566,1.559,1.594,2029,ENDEM_GDP,AGO
1.568,1.559,1.596,2030,ENDEM_GDP,AGO
1.569,1.557,1.602,2031,ENDEM_GDP,AGO
1.568,1.554,1.609,2032,ENDEM_GDP,AGO
1.572,1.554,1.619,2033,ENDEM_GDP,AGO
1.575,1.553,1.63,2034,ENDEM_GDP,AGO
1.576,1.549,1.641,2035,ENDEM_GDP,AGO
1.574,1.542,1.65,2036,ENDEM_GDP,AGO
1.57,1.532,1.653,2037,ENDEM_GDP,AGO
1.562,1.519,1.65,2038,ENDEM_GDP,AGO
1.548,1.501,1.642,2039,ENDEM_GDP,AGO
1.535,1.48,1.63,2040,ENDEM_GDP,AGO
1.515,1.456,1.616,2041,ENDEM_GDP,AGO
1.498,1.435,1.602,2042,ENDEM_GDP,AGO
1.482,1.412,1.591,2043,ENDEM_GDP,AGO
1.465,1.39,1.579,2044,ENDEM_GDP,AGO
1.452,1.37,1.566,2045,ENDEM_GDP,AGO
1.436,1.351,1.553,2046,ENDEM_GDP,AGO
1.419,1.33,1.538,2047,ENDEM_GDP,AGO
1.403,1.308,1.523,2048,ENDEM_GDP,AGO
1.386,1.286,1.506,2049,ENDEM_GDP,AGO
1.368,1.263,1.49,2050,ENDEM_GDP,AGO
1.349,1.24,1.472,2051,ENDEM_GDP,AGO
1.329,1.216,1.454,2052,ENDEM_GDP,AGO
1.309,1.191,1.434,2053,ENDEM_GDP,AGO
1.289,1.167,1.412,2054,ENDEM_GDP,AGO
1.268,1.142,1.389,2055,ENDEM_GDP,AGO
1.247,1.117,1.365,2056,ENDEM_GDP,AGO
1.226,1.093,1.338,2057,ENDEM_GDP,AGO
1.205,1.069,1.313,2058,ENDEM_GDP,AGO
1.185,1.046,1.286,2059,ENDEM_GDP,AGO
1.164,1.023,1.245,2060,ENDEM_GDP,AGO
1.143,1.0,1.206,2061,ENDEM_GDP,AGO
1.123,0.978,1.17,2062,ENDEM_GDP,AGO
1.103,0.954,1.134,2063,ENDEM_GDP,AGO
1.082,0.932,1.1,2064,ENDEM_GDP,AGO
1.061,0.91,1.068,2065,ENDEM_GDP,AGO
1.04,0.888,1.036,2066,ENDEM_GDP,AGO
1.02,0.867,1.006,2067,ENDEM_GDP,AGO
1.0,0.846,0.976,2068,ENDEM_GDP,AGO
0.981,0.827,0.947,2069,ENDEM_GDP,AGO
