Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
2.04266,2.04266,2.04266,2019,GDPPCP,AFG
1.93534,1.93534,1.93534,2020,GDPPCP,AFG
1.48595,1.48595,1.48595,2021,GDPPCP,AFG
1.3991,1.3991,1.3991,2022,GDPPCP,AFG
1.43362,1.43362,1.43362,2023,GDPPCP,AFG
1.46872,1.46872,1.46872,2024,GDPPCP,AFG
1.50474,1.50474,1.50474,2025,GDPPCP,AFG
1.54189,1.54188,1.54188,2026,GDPPCP,AFG
1.55554,1.56779,1.56779,2027,GDPPCP,AFG
1.58112,1.60037,1.60013,2028,GDPPCP,AFG
1.59976,1.62985,1.62985,2029,GDPPCP,AFG
1.61953,1.65755,1.65806,2030,GDPPCP,AFG
1.6366,1.67312,1.6764,2031,GDPPCP,AFG
1.63962,1.68498,1.69048,2032,GDPPCP,AFG
1.64452,1.6975,1.70482,2033,GDPPCP,AFG
1.65288,1.71373,1.72318,2034,GDPPCP,AFG
1.66372,1.73327,1.74513,2035,GDPPCP,AFG
1.67688,1.7556,1.77028,2036,GDPPCP,AFG
1.69203,1.78027,1.79778,2037,GDPPCP,AFG
1.70914,1.80757,1.82857,2038,GDPPCP,AFG
1.72817,1.83742,1.86169,2039,GDPPCP,AFG
1.74831,1.86998,1.89798,2040,GDPPCP,AFG
1.76808,1.90479,1.93703,2041,GDPPCP,AFG
1.78989,1.94293,1.97911,2042,GDPPCP,AFG
1.81528,1.9825,2.02447,2043,GDPPCP,AFG
1.84231,2.02458,2.07281,2044,GDPPCP,AFG
1.87195,2.07094,2.12401,2045,GDPPCP,AFG
1.90489,2.12242,2.17946,2046,GDPPCP,AFG
1.94153,2.1782,2.23927,2047,GDPPCP,AFG
1.9811,2.23767,2.3042,2048,GDPPCP,AFG
2.02198,2.30018,2.37329,2049,GDPPCP,AFG
2.06693,2.36796,2.44854,2050,GDPPCP,AFG
2.11531,2.4397,2.52363,2051,GDPPCP,AFG
2.16633,2.51505,2.60189,2052,GDPPCP,AFG
2.21958,2.594,2.68625,2053,GDPPCP,AFG
2.27486,2.67752,2.77505,2054,GDPPCP,AFG
2.33178,2.7651,2.86692,2055,GDPPCP,AFG
2.39078,2.858,2.9625,2056,GDPPCP,AFG
2.45216,2.95507,3.06279,2057,GDPPCP,AFG
2.51581,3.05683,3.16773,2058,GDPPCP,AFG
2.58328,3.16387,3.27792,2059,GDPPCP,AFG
2.65254,3.27603,3.39314,2060,GDPPCP,AFG
2.7234,3.39357,3.51319,2061,GDPPCP,AFG
2.79808,3.51757,3.6401,2062,GDPPCP,AFG
2.87507,3.64829,3.7743,2063,GDPPCP,AFG
2.95517,3.78592,3.91439,2064,GDPPCP,AFG
3.03831,3.92926,4.06034,2065,GDPPCP,AFG
3.12449,4.07881,4.2132,2066,GDPPCP,AFG
3.21339,4.23368,4.3729,2067,GDPPCP,AFG
3.30441,4.39409,4.54038,2068,GDPPCP,AFG
3.39768,4.56083,4.71596,2069,GDPPCP,AFG
3.49375,4.73485,4.90053,2070,GDPPCP,AFG
3.59261,4.91669,5.09433,2071,GDPPCP,AFG
3.69491,5.10739,5.29814,2072,GDPPCP,AFG
3.80146,5.30809,5.51289,2073,GDPPCP,AFG
3.9125,5.52052,5.73951,2074,GDPPCP,AFG
4.02815,5.74086,5.97669,2075,GDPPCP,AFG
4.14846,5.97551,6.22758,2076,GDPPCP,AFG
4.27383,6.22407,6.49434,2077,GDPPCP,AFG
4.40503,6.48686,6.77641,2078,GDPPCP,AFG
4.5426,6.76576,7.07527,2079,GDPPCP,AFG
4.68764,7.06061,7.38771,2080,GDPPCP,AFG
4.84025,7.36864,7.71453,2081,GDPPCP,AFG
5.0007,7.69059,8.05274,2082,GDPPCP,AFG
5.16839,8.02572,8.43469,2083,GDPPCP,AFG
5.34212,8.40539,8.8263,2084,GDPPCP,AFG
5.52314,8.79772,9.23059,2085,GDPPCP,AFG
5.71058,9.20339,9.6482,2086,GDPPCP,AFG
5.90452,9.62371,10.08,2087,GDPPCP,AFG
6.10578,10.06,10.53,2088,GDPPCP,AFG
6.31443,10.52,11.01,2089,GDPPCP,AFG
6.53091,10.99,11.5,2090,GDPPCP,AFG
6.7574,11.49,12.03,2091,GDPPCP,AFG
6.99349,12.02,12.58,2092,GDPPCP,AFG
7.23918,12.58,13.16,2093,GDPPCP,AFG
7.49407,13.17,13.77,2094,GDPPCP,AFG
7.75767,13.8,14.43,2095,GDPPCP,AFG
8.02875,14.46,15.12,2096,GDPPCP,AFG
8.30934,15.16,15.85,2097,GDPPCP,AFG
8.59936,15.9,16.61,2098,GDPPCP,AFG
8.88463,16.62,17.36,2099,GDPPCP,AFG
9.17458,17.37,18.14,2100,GDPPCP,AFG
6.48398,6.48398,6.48398,2019,GDPPCP,AGO
5.90685,5.90685,5.90685,2020,GDPPCP,AGO
5.84283,5.84283,5.84283,2021,GDPPCP,AGO
5.92991,5.92991,5.92991,2022,GDPPCP,AGO
5.77911,5.77911,5.77911,2023,GDPPCP,AGO
5.80723,5.80723,5.80722,2024,GDPPCP,AGO
5.77559,5.77193,5.77161,2025,GDPPCP,AGO
5.7805,5.77643,5.77502,2026,GDPPCP,AGO
5.83625,5.84291,5.84632,2027,GDPPCP,AGO
5.89603,5.91077,5.91651,2028,GDPPCP,AGO
5.96956,5.99395,6.01582,2029,GDPPCP,AGO
6.05086,6.08755,6.14651,2030,GDPPCP,AGO
6.13853,6.18884,6.28575,2031,GDPPCP,AGO
6.22937,6.29535,6.42866,2032,GDPPCP,AGO
6.30912,6.39326,6.56387,2033,GDPPCP,AGO
6.38147,6.48782,6.69117,2034,GDPPCP,AGO
6.45406,6.58484,6.81413,2035,GDPPCP,AGO
6.53261,6.69054,6.93455,2036,GDPPCP,AGO
6.61867,6.80777,7.07056,2037,GDPPCP,AGO
6.7173,6.93958,7.23177,2038,GDPPCP,AGO
6.84062,7.099,7.42202,2039,GDPPCP,AGO
6.97674,7.27983,7.64242,2040,GDPPCP,AGO
7.13831,7.48691,7.88707,2041,GDPPCP,AGO
7.30922,7.70355,8.15034,2042,GDPPCP,AGO
7.48278,7.93215,8.41336,2043,GDPPCP,AGO
7.66075,8.16797,8.68494,2044,GDPPCP,AGO
7.83015,8.40169,8.96781,2045,GDPPCP,AGO
8.00408,8.63349,9.26277,2046,GDPPCP,AGO
8.18454,8.87589,9.57086,2047,GDPPCP,AGO
8.37077,9.13033,9.88997,2048,GDPPCP,AGO
8.56109,9.39526,10.22,2049,GDPPCP,AGO
8.76294,9.67399,10.56,2050,GDPPCP,AGO
8.97602,9.96949,10.91,2051,GDPPCP,AGO
9.19975,10.28,11.26,2052,GDPPCP,AGO
