Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
0.49442,0.49442,0.49442,2019,HDI,AFG
0.49788,0.49788,0.49788,2020,HDI,AFG
0.48814,0.48814,0.48814,2021,HDI,AFG
0.49099,0.49099,0.49099,2022,HDI,AFG
0.49927,0.49927,0.49927,2023,HDI,AFG
0.509,0.509,0.509,2024,HDI,AFG
0.52005,0.52002,0.52002,2025,HDI,AFG
0.53195,0.53208,0.53208,2026,HDI,AFG
0.54362,0.54449,0.54449,2027,HDI,AFG
0.55612,0.55745,0.55744,2028,HDI,AFG
0.56856,0.57044,0.57043,2029,HDI,AFG
0.58102,0.58337,0.58337,2030,HDI,AFG
0.59315,0.59567,0.59576,2031,HDI,AFG
0.60445,0.60751,0.60766,2032,HDI,AFG
0.61531,0.61891,0.61911,2033,HDI,AFG
0.62565,0.62981,0.63008,2034,HDI,AFG
0.63538,0.64015,0.64049,2035,HDI,AFG
0.64447,0.6499,0.65031,2036,HDI,AFG
0.65292,0.65901,0.65948,2037,HDI,AFG
0.66073,0.66749,0.66804,2038,HDI,AFG
0.66793,0.67533,0.67596,2039,HDI,AFG
0.67454,0.68263,0.68334,2040,HDI,AFG
0.68059,0.68941,0.6902,2041,HDI,AFG
0.68621,0.69573,0.69661,2042,HDI,AFG
0.69146,0.70161,0.70262,2043,HDI,AFG
0.69635,0.70711,0.70826,2044,HDI,AFG
0.70094,0.71232,0.71357,2045,HDI,AFG
0.70532,0.7173,0.71862,2046,HDI,AFG
0.70952,0.72207,0.72346,2047,HDI,AFG
0.71354,0.72664,0.72812,2048,HDI,AFG
0.71739,0.73104,0.73263,2049,HDI,AFG
0.72114,0.73534,0.73706,2050,HDI,AFG
0.72481,0.73953,0.74129,2051,HDI,AFG
0.72841,0.74362,0.7454,2052,HDI,AFG
0.73192,0.74763,0.74948,2053,HDI,AFG
0.73536,0.75158,0.75348,2054,HDI,AFG
0.73872,0.75546,0.75739,2055,HDI,AFG
0.74202,0.75931,0.76127,2056,HDI,AFG
0.74526,0.76314,0.7651,2057,HDI,AFG
0.74845,0.76693,0.7689,2058,HDI,AFG
0.75163,0.77069,0.77266,2059,HDI,AFG
0.75477,0.77443,0.7764,2060,HDI,AFG
0.75786,0.7781,0.78006,2061,HDI,AFG
0.76095,0.78177,0.78371,2062,HDI,AFG
0.76399,0.78542,0.78736,2063,HDI,AFG
0.76704,0.78907,0.79099,2064,HDI,AFG
0.77007,0.7927,0.79459,2065,HDI,AFG
0.77309,0.7963,0.79819,2066,HDI,AFG
0.7761,0.79988,0.80177,2067,HDI,AFG
0.77909,0.80342,0.80534,2068,HDI,AFG
0.78206,0.80694,0.80891,2069,HDI,AFG
0.785,0.81046,0.81249,2070,HDI,AFG
0.78793,0.81396,0.81606,2071,HDI,AFG
0.79084,0.81747,0.81964,2072,HDI,AFG
0.79374,0.82098,0.82324,2073,HDI,AFG
0.79665,0.82451,0.82685,2074,HDI,AFG
0.79955,0.82802,0.83048,2075,HDI,AFG
0.80246,0.83148,0.83403,2076,HDI,AFG
0.80536,0.83445,0.83711,2077,HDI,AFG
0.80828,0.83749,0.84025,2078,HDI,AFG
0.81121,0.8406,0.84346,2079,HDI,AFG
0.81417,0.84378,0.8467,2080,HDI,AFG
0.81715,0.84698,0.84997,2081,HDI,AFG
0.82003,0.85021,0.85297,2082,HDI,AFG
0.82246,0.85319,0.85647,2083,HDI,AFG
0.8249,0.85667,0.85991,2084,HDI,AFG
0.82737,0.86012,0.86334,2085,HDI,AFG
0.82985,0.86357,0.86676,2086,HDI,AFG
0.83234,0.86701,0.87017,2087,HDI,AFG
0.83486,0.87045,0.87358,2088,HDI,AFG
0.8374,0.8739,0.87704,2089,HDI,AFG
0.83996,0.87738,0.88052,2090,HDI,AFG
0.84257,0.88087,0.88405,2091,HDI,AFG
0.84521,0.88443,0.88759,2092,HDI,AFG
0.84788,0.88802,0.89119,2093,HDI,AFG
0.85057,0.89168,0.89485,2094,HDI,AFG
0.85326,0.8954,0.89858,2095,HDI,AFG
0.85584,0.89916,0.90236,2096,HDI,AFG
0.85854,0.90297,0.90618,2097,HDI,AFG
0.86125,0.90681,0.90991,2098,HDI,AFG
0.86387,0.91039,0.91341,2099,HDI,AFG
0.86647,0.9139,0.91684,2100,HDI,AFG
0.67502,0.67502,0.67502,2019,HDI,AGO
0.67402,0.67402,0.67402,2020,HDI,AGO
0.6787,0.6787,0.6787,2021,HDI,AGO
0.68512,0.68512,0.68512,2022,HDI,AGO
0.68845,0.68845,0.68845,2023,HDI,AGO
0.69408,0.69408,0.69408,2024,HDI,AGO
0.6987,0.69874,0.69874,2025,HDI,AGO
0.70346,0.70366,0.70364,2026,HDI,AGO
0.7087,0.70925,0.70929,2027,HDI,AGO
0.71381,0.7147,0.71475,2028,HDI,AGO
0.71894,0.7202,0.72042,2029,HDI,AGO
0.72406,0.72571,0.72632,2030,HDI,AGO
0.72966,0.73165,0.73267,2031,HDI,AGO
0.73559,0.73796,0.73934,2032,HDI,AGO
0.7416,0.74439,0.74614,2033,HDI,AGO
0.74764,0.75092,0.75295,2034,HDI,AGO
0.75374,0.75749,0.75973,2035,HDI,AGO
0.75988,0.76411,0.76643,2036,HDI,AGO
0.766,0.77074,0.77318,2037,HDI,AGO
0.77212,0.77734,0.77999,2038,HDI,AGO
0.77829,0.78397,0.78683,2039,HDI,AGO
