Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
620.0,620.0,620.0,2019,MaternalMortality,AFG
596.9,596.9,596.9,2020,MaternalMortality,AFG
599.9,599.9,599.9,2021,MaternalMortality,AFG
591.2,591.2,591.2,2022,MaternalMortality,AFG
577.3,577.3,577.3,2023,MaternalMortality,AFG
563.1,563.1,563.1,2024,MaternalMortality,AFG
548.4,548.4,548.4,2025,MaternalMortality,AFG
533.3,533.2,533.2,2026,MaternalMortality,AFG
519.2,518.2,518.2,2027,MaternalMortality,AFG
504.4,502.6,502.6,2028,MaternalMortality,AFG
489.6,486.8,486.8,2029,MaternalMortality,AFG
474.9,471.1,471.0,2030,MaternalMortality,AFG
460.3,455.9,455.8,2031,MaternalMortality,AFG
446.5,441.0,440.8,2032,MaternalMortality,AFG
432.7,426.2,425.8,2033,MaternalMortality,AFG
418.9,411.2,410.7,2034,MaternalMortality,AFG
405.1,396.1,395.6,2035,MaternalMortality,AFG
391.3,381.1,380.4,2036,MaternalMortality,AFG
377.6,366.0,365.2,2037,MaternalMortality,AFG
363.9,350.9,350.0,2038,MaternalMortality,AFG
350.2,335.9,334.9,2039,MaternalMortality,AFG
336.6,320.9,319.7,2040,MaternalMortality,AFG
323.2,305.9,304.6,2041,MaternalMortality,AFG
309.9,291.0,289.5,2042,MaternalMortality,AFG
296.5,276.1,274.4,2043,MaternalMortality,AFG
283.1,261.3,259.3,2044,MaternalMortality,AFG
269.8,246.4,244.3,2045,MaternalMortality,AFG
256.4,231.4,229.2,2046,MaternalMortality,AFG
243.0,216.4,214.1,2047,MaternalMortality,AFG
229.6,201.4,198.9,2048,MaternalMortality,AFG
216.2,186.4,183.8,2049,MaternalMortality,AFG
202.9,171.4,168.6,2050,MaternalMortality,AFG
189.5,156.5,153.5,2051,MaternalMortality,AFG
176.2,142.1,139.2,2052,MaternalMortality,AFG
163.0,127.9,124.9,2053,MaternalMortality,AFG
149.8,114.6,112.4,2054,MaternalMortality,AFG
136.8,104.4,102.6,2055,MaternalMortality,AFG
123.8,96.46,95.16,2056,MaternalMortality,AFG
111.3,90.5,89.56,2057,MaternalMortality,AFG
101.5,86.16,85.52,2058,MaternalMortality,AFG
93.85,83.2,82.83,2059,MaternalMortality,AFG
87.96,80.71,80.35,2060,MaternalMortality,AFG
83.53,78.29,77.94,2061,MaternalMortality,AFG
80.36,75.94,75.6,2062,MaternalMortality,AFG
77.95,73.66,73.33,2063,MaternalMortality,AFG
75.62,71.45,71.13,2064,MaternalMortality,AFG
73.35,69.31,69.0,2065,MaternalMortality,AFG
71.15,67.23,66.93,2066,MaternalMortality,AFG
69.01,65.21,64.92,2067,MaternalMortality,AFG
66.94,63.25,62.97,2068,MaternalMortality,AFG
64.93,61.36,61.08,2069,MaternalMortality,AFG
62.99,59.52,59.25,2070,MaternalMortality,AFG
61.1,57.73,57.47,2071,MaternalMortality,AFG
59.26,56.0,55.75,2072,MaternalMortality,AFG
57.48,54.32,54.08,2073,MaternalMortality,AFG
55.76,52.69,52.45,2074,MaternalMortality,AFG
54.09,51.11,50.88,2075,MaternalMortality,AFG
52.46,49.57,49.35,2076,MaternalMortality,AFG
50.89,48.09,47.87,2077,MaternalMortality,AFG
49.36,46.65,46.44,2078,MaternalMortality,AFG
47.88,45.25,45.04,2079,MaternalMortality,AFG
46.45,43.89,43.69,2080,MaternalMortality,AFG
45.05,42.57,42.38,2081,MaternalMortality,AFG
43.7,41.29,41.11,2082,MaternalMortality,AFG
42.39,40.06,39.88,2083,MaternalMortality,AFG
41.12,38.85,38.68,2084,MaternalMortality,AFG
39.89,37.69,37.52,2085,MaternalMortality,AFG
38.69,36.56,36.39,2086,MaternalMortality,AFG
37.53,35.46,35.3,2087,MaternalMortality,AFG
36.4,34.4,34.24,2088,MaternalMortality,AFG
35.31,33.37,33.22,2089,MaternalMortality,AFG
34.25,32.36,32.22,2090,MaternalMortality,AFG
33.22,31.39,31.25,2091,MaternalMortality,AFG
32.23,30.45,30.32,2092,MaternalMortality,AFG
31.26,29.54,29.41,2093,MaternalMortality,AFG
30.32,28.65,28.52,2094,MaternalMortality,AFG
29.41,27.79,27.67,2095,MaternalMortality,AFG
28.53,26.96,26.84,2096,MaternalMortality,AFG
27.67,26.15,26.03,2097,MaternalMortality,AFG
26.84,25.37,25.25,2098,MaternalMortality,AFG
26.04,24.6,24.49,2099,MaternalMortality,AFG
25.26,23.87,23.76,2100,MaternalMortality,AFG
222.0,222.0,222.0,2019,MaternalMortality,AGO
219.9,219.9,219.9,2020,MaternalMortality,AGO
