Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
57.08,57.08,57.08,2019,Pov320_Percent,AFG
60.05,60.05,60.05,2020,Pov320_Percent,AFG
71.1,71.1,71.1,2021,Pov320_Percent,AFG
77.84,77.84,77.84,2022,Pov320_Percent,AFG
80.3,80.3,80.3,2023,Pov320_Percent,AFG
82.17,82.17,82.16,2024,Pov320_Percent,AFG
83.51,83.4,83.4,2025,Pov320_Percent,AFG
83.73,83.68,83.67,2026,Pov320_Percent,AFG
83.24,83.19,83.17,2027,Pov320_Percent,AFG
82.33,82.38,82.34,2028,Pov320_Percent,AFG
81.56,81.65,81.61,2029,Pov320_Percent,AFG
80.81,80.91,80.79,2030,Pov320_Percent,AFG
80.4,80.51,80.16,2031,Pov320_Percent,AFG
80.89,80.99,80.42,2032,Pov320_Percent,AFG
81.85,82.02,81.29,2033,Pov320_Percent,AFG
83.05,83.23,82.4,2034,Pov320_Percent,AFG
84.29,84.37,83.51,2035,Pov320_Percent,AFG
85.51,85.31,84.51,2036,Pov320_Percent,AFG
86.64,86.03,85.38,2037,Pov320_Percent,AFG
87.62,86.51,85.96,2038,Pov320_Percent,AFG
88.19,86.72,86.29,2039,Pov320_Percent,AFG
88.07,86.59,86.17,2040,Pov320_Percent,AFG
87.97,86.11,85.57,2041,Pov320_Percent,AFG
87.89,85.29,84.53,2042,Pov320_Percent,AFG
87.5,84.28,83.16,2043,Pov320_Percent,AFG
86.7,83.1,81.63,2044,Pov320_Percent,AFG
85.83,81.69,80.0,2045,Pov320_Percent,AFG
84.84,80.08,78.25,2046,Pov320_Percent,AFG
83.69,78.35,76.37,2047,Pov320_Percent,AFG
82.41,76.54,74.35,2048,Pov320_Percent,AFG
81.0,74.66,72.26,2049,Pov320_Percent,AFG
79.39,72.65,70.09,2050,Pov320_Percent,AFG
77.68,70.58,68.12,2051,Pov320_Percent,AFG
75.95,68.5,66.18,2052,Pov320_Percent,AFG
74.25,66.42,64.15,2053,Pov320_Percent,AFG
72.6,64.33,62.14,2054,Pov320_Percent,AFG
71.0,62.26,60.13,2055,Pov320_Percent,AFG
69.46,60.12,58.21,2056,Pov320_Percent,AFG
67.96,58.06,56.36,2057,Pov320_Percent,AFG
66.54,56.07,54.62,2058,Pov320_Percent,AFG
65.21,54.17,52.98,2059,Pov320_Percent,AFG
64.02,52.36,51.45,2060,Pov320_Percent,AFG
62.96,50.66,50.05,2061,Pov320_Percent,AFG
61.94,49.03,48.7,2062,Pov320_Percent,AFG
60.97,47.49,47.39,2063,Pov320_Percent,AFG
60.04,46.02,46.09,2064,Pov320_Percent,AFG
59.19,44.64,44.78,2065,Pov320_Percent,AFG
58.39,43.3,43.46,2066,Pov320_Percent,AFG
57.67,42.04,42.19,2067,Pov320_Percent,AFG
57.0,40.85,41.01,2068,Pov320_Percent,AFG
56.39,39.72,39.94,2069,Pov320_Percent,AFG
55.8,38.63,38.96,2070,Pov320_Percent,AFG
55.23,37.56,38.01,2071,Pov320_Percent,AFG
54.66,36.51,37.05,2072,Pov320_Percent,AFG
54.08,35.47,36.03,2073,Pov320_Percent,AFG
53.51,34.42,34.88,2074,Pov320_Percent,AFG
52.92,33.42,33.74,2075,Pov320_Percent,AFG
52.32,32.38,32.49,2076,Pov320_Percent,AFG
51.69,31.31,31.14,2077,Pov320_Percent,AFG
50.98,30.19,29.66,2078,Pov320_Percent,AFG
50.22,29.0,28.06,2079,Pov320_Percent,AFG
49.38,27.72,26.41,2080,Pov320_Percent,AFG
48.47,26.41,24.81,2081,Pov320_Percent,AFG
47.49,25.1,15.61,2082,Pov320_Percent,AFG
46.41,16.15,14.27,2083,Pov320_Percent,AFG
45.24,14.98,13.08,2084,Pov320_Percent,AFG
43.99,13.86,11.98,2085,Pov320_Percent,AFG
42.71,12.77,10.93,2086,Pov320_Percent,AFG
41.45,11.68,9.958,2087,Pov320_Percent,AFG
40.22,10.65,9.06,2088,Pov320_Percent,AFG
39.03,9.706,8.244,2089,Pov320_Percent,AFG
