Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
-0.08614,-0.08614,-0.08614,2019,PovHeadcountTotalSexDif,AFG
-0.10953,-0.10953,-0.10953,2020,PovHeadcountTotalSexDif,AFG
-0.15761,-0.15761,-0.15761,2021,PovHeadcountTotalSexDif,AFG
-0.21593,-0.21593,-0.21593,2022,PovHeadcountTotalSexDif,AFG
-0.26332,-0.26332,-0.26332,2023,PovHeadcountTotalSexDif,AFG
-0.30935,-0.30935,-0.30931,2024,PovHeadcountTotalSexDif,AFG
-0.35462,-0.34816,-0.34808,2025,PovHeadcountTotalSexDif,AFG
-0.38991,-0.37882,-0.37874,2026,PovHeadcountTotalSexDif,AFG
-0.41065,-0.39533,-0.39517,2027,PovHeadcountTotalSexDif,AFG
-0.4236,-0.40589,-0.40579,2028,PovHeadcountTotalSexDif,AFG
-0.43757,-0.41618,-0.41661,2029,PovHeadcountTotalSexDif,AFG
-0.45061,-0.42494,-0.4247,2030,PovHeadcountTotalSexDif,AFG
-0.46836,-0.43797,-0.43471,2031,PovHeadcountTotalSexDif,AFG
-0.50165,-0.46594,-0.45918,2032,PovHeadcountTotalSexDif,AFG
-0.54691,-0.50678,-0.49665,2033,PovHeadcountTotalSexDif,AFG
-0.60136,-0.55567,-0.54271,2034,PovHeadcountTotalSexDif,AFG
-0.66101,-0.60714,-0.59247,2035,PovHeadcountTotalSexDif,AFG
-0.72495,-0.65794,-0.64385,2036,PovHeadcountTotalSexDif,AFG
-0.79181,-0.70545,-0.68932,2037,PovHeadcountTotalSexDif,AFG
-0.85844,-0.7467,-0.7325,2038,PovHeadcountTotalSexDif,AFG
-0.91507,-0.78108,-0.77012,2039,PovHeadcountTotalSexDif,AFG
-0.94788,-0.80487,-0.79462,2040,PovHeadcountTotalSexDif,AFG
-0.97929,-0.81661,-0.80328,2041,PovHeadcountTotalSexDif,AFG
-1.01051,-0.8163,-0.79665,2042,PovHeadcountTotalSexDif,AFG
-1.02939,-0.80891,-0.77936,2043,PovHeadcountTotalSexDif,AFG
-1.03223,-0.79498,-0.7566,2044,PovHeadcountTotalSexDif,AFG
-1.03268,-0.77469,-0.73218,2045,PovHeadcountTotalSexDif,AFG
-1.0279,-0.74868,-0.70478,2046,PovHeadcountTotalSexDif,AFG
-1.01698,-0.71965,-0.67469,2047,PovHeadcountTotalSexDif,AFG
-1.00067,-0.68929,-0.64179,2048,PovHeadcountTotalSexDif,AFG
-0.97957,-0.65848,-0.60845,2049,PovHeadcountTotalSexDif,AFG
-0.95184,-0.62563,-0.57463,2050,PovHeadcountTotalSexDif,AFG
-0.92107,-0.59297,-0.54675,2051,PovHeadcountTotalSexDif,AFG
-0.89019,-0.56164,-0.5206,2052,PovHeadcountTotalSexDif,AFG
-0.86047,-0.53123,-0.49271,2053,PovHeadcountTotalSexDif,AFG
-0.83224,-0.50082,-0.46486,2054,PovHeadcountTotalSexDif,AFG
-0.80472,-0.4702,-0.43593,2055,PovHeadcountTotalSexDif,AFG
-0.77717,-0.43711,-0.40732,2056,PovHeadcountTotalSexDif,AFG
-0.74938,-0.40448,-0.37905,2057,PovHeadcountTotalSexDif,AFG
