Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
15.08,15.08,15.08,2019,SecondaryEd_Percent,AFG
15.5,15.5,15.5,2020,SecondaryEd_Percent,AFG
15.85,15.85,15.85,2021,SecondaryEd_Percent,AFG
16.08,16.08,16.08,2022,SecondaryEd_Percent,AFG
16.29,16.29,16.29,2023,SecondaryEd_Percent,AFG
16.52,16.52,16.52,2024,SecondaryEd_Percent,AFG
16.77,16.79,16.79,2025,SecondaryEd_Percent,AFG
17.03,17.09,17.09,2026,SecondaryEd_Percent,AFG
17.29,17.4,17.4,2027,SecondaryEd_Percent,AFG
17.55,17.72,17.72,2028,SecondaryEd_Percent,AFG
17.8,18.05,18.05,2029,SecondaryEd_Percent,AFG
18.04,18.39,18.39,2030,SecondaryEd_Percent,AFG
18.28,18.74,18.74,2031,SecondaryEd_Percent,AFG
18.49,19.11,19.1,2032,SecondaryEd_Percent,AFG
18.7,19.48,19.46,2033,SecondaryEd_Percent,AFG
18.89,19.85,19.83,2034,SecondaryEd_Percent,AFG
19.1,20.26,20.24,2035,SecondaryEd_Percent,AFG
19.31,20.68,20.66,2036,SecondaryEd_Percent,AFG
19.53,21.11,21.09,2037,SecondaryEd_Percent,AFG
19.75,21.54,21.51,2038,SecondaryEd_Percent,AFG
19.96,21.96,21.94,2039,SecondaryEd_Percent,AFG
20.14,22.34,22.31,2040,SecondaryEd_Percent,AFG
20.31,22.7,22.68,2041,SecondaryEd_Percent,AFG
20.47,23.06,23.04,2042,SecondaryEd_Percent,AFG
20.65,23.43,23.41,2043,SecondaryEd_Percent,AFG
20.83,23.81,23.79,2044,SecondaryEd_Percent,AFG
21.02,24.2,24.19,2045,SecondaryEd_Percent,AFG
21.21,24.6,24.59,2046,SecondaryEd_Percent,AFG
21.42,25.0,25.0,2047,SecondaryEd_Percent,AFG
21.63,25.41,25.41,2048,SecondaryEd_Percent,AFG
21.9,25.86,25.87,2049,SecondaryEd_Percent,AFG
22.17,26.32,26.32,2050,SecondaryEd_Percent,AFG
22.44,26.77,26.78,2051,SecondaryEd_Percent,AFG
22.71,27.21,27.23,2052,SecondaryEd_Percent,AFG
22.98,27.66,27.68,2053,SecondaryEd_Percent,AFG
23.26,28.1,28.12,2054,SecondaryEd_Percent,AFG
23.53,28.54,28.57,2055,SecondaryEd_Percent,AFG
23.81,28.97,29.01,2056,SecondaryEd_Percent,AFG
24.09,29.41,29.46,2057,SecondaryEd_Percent,AFG
24.37,29.84,29.9,2058,SecondaryEd_Percent,AFG
24.65,30.27,30.34,2059,SecondaryEd_Percent,AFG
24.94,30.71,30.79,2060,SecondaryEd_Percent,AFG
25.23,31.16,31.25,2061,SecondaryEd_Percent,AFG
25.51,31.61,31.7,2062,SecondaryEd_Percent,AFG
25.8,32.06,32.17,2063,SecondaryEd_Percent,AFG
26.09,32.53,32.63,2064,SecondaryEd_Percent,AFG
26.39,33.0,33.11,2065,SecondaryEd_Percent,AFG
26.69,33.48,33.6,2066,SecondaryEd_Percent,AFG
26.99,33.96,34.1,2067,SecondaryEd_Percent,AFG
27.29,34.46,34.6,2068,SecondaryEd_Percent,AFG
27.61,34.96,35.11,2069,SecondaryEd_Percent,AFG
27.92,35.47,35.63,2070,SecondaryEd_Percent,AFG
28.24,35.99,36.15,2071,SecondaryEd_Percent,AFG
28.57,36.51,36.68,2072,SecondaryEd_Percent,AFG
28.9,37.04,37.21,2073,SecondaryEd_Percent,AFG
29.24,37.57,37.76,2074,SecondaryEd_Percent,AFG
29.59,38.11,38.31,2075,SecondaryEd_Percent,AFG
29.93,38.66,38.86,2076,SecondaryEd_Percent,AFG
