Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
28.08,28.08,28.08,2019,WaterAccessImproved_Number,AFG
29.07,29.07,29.07,2020,WaterAccessImproved_Number,AFG
30.17,30.17,30.17,2021,WaterAccessImproved_Number,AFG
31.29,31.29,31.29,2022,WaterAccessImproved_Number,AFG
32.49,32.49,32.49,2023,WaterAccessImproved_Number,AFG
33.76,33.76,33.76,2024,WaterAccessImproved_Number,AFG
35.07,35.07,35.07,2025,WaterAccessImproved_Number,AFG
36.36,36.36,36.36,2026,WaterAccessImproved_Number,AFG
37.6,37.6,37.6,2027,WaterAccessImproved_Number,AFG
38.76,38.75,38.75,2028,WaterAccessImproved_Number,AFG
39.82,39.81,39.81,2029,WaterAccessImproved_Number,AFG
40.78,40.97,40.97,2030,WaterAccessImproved_Number,AFG
41.66,42.25,42.25,2031,WaterAccessImproved_Number,AFG
42.62,43.65,43.66,2032,WaterAccessImproved_Number,AFG
43.66,45.19,45.2,2033,WaterAccessImproved_Number,AFG
44.74,46.86,46.88,2034,WaterAccessImproved_Number,AFG
45.84,48.64,48.65,2035,WaterAccessImproved_Number,AFG
46.94,50.47,50.48,2036,WaterAccessImproved_Number,AFG
48.1,52.33,52.33,2037,WaterAccessImproved_Number,AFG
49.29,54.18,54.19,2038,WaterAccessImproved_Number,AFG
50.53,56.03,56.04,2039,WaterAccessImproved_Number,AFG
51.77,57.86,57.88,2040,WaterAccessImproved_Number,AFG
53.01,59.69,59.72,2041,WaterAccessImproved_Number,AFG
54.22,61.53,61.57,2042,WaterAccessImproved_Number,AFG
55.49,63.39,63.44,2043,WaterAccessImproved_Number,AFG
56.85,65.28,65.34,2044,WaterAccessImproved_Number,AFG
58.2,67.19,67.27,2045,WaterAccessImproved_Number,AFG
59.55,69.13,69.21,2046,WaterAccessImproved_Number,AFG
60.89,71.06,71.15,2047,WaterAccessImproved_Number,AFG
62.22,72.99,73.07,2048,WaterAccessImproved_Number,AFG
63.53,74.88,74.95,2049,WaterAccessImproved_Number,AFG
64.85,76.72,76.78,2050,WaterAccessImproved_Number,AFG
66.19,78.5,78.55,2051,WaterAccessImproved_Number,AFG
67.55,80.22,80.25,2052,WaterAccessImproved_Number,AFG
68.93,81.88,81.88,2053,WaterAccessImproved_Number,AFG
70.32,83.47,83.45,2054,WaterAccessImproved_Number,AFG
71.74,84.98,84.95,2055,WaterAccessImproved_Number,AFG
73.16,86.44,86.38,2056,WaterAccessImproved_Number,AFG
74.59,87.83,87.75,2057,WaterAccessImproved_Number,AFG
76.01,89.17,89.07,2058,WaterAccessImproved_Number,AFG
77.43,90.46,90.33,2059,WaterAccessImproved_Number,AFG
78.83,91.7,91.56,2060,WaterAccessImproved_Number,AFG
80.23,92.89,92.73,2061,WaterAccessImproved_Number,AFG
81.6,94.05,93.87,2062,WaterAccessImproved_Number,AFG
82.97,95.16,94.97,2063,WaterAccessImproved_Number,AFG
84.33,96.23,96.02,2064,WaterAccessImproved_Number,AFG
85.69,97.25,97.03,2065,WaterAccessImproved_Number,AFG
87.04,98.24,98.01,2066,WaterAccessImproved_Number,AFG
88.39,99.19,98.94,2067,WaterAccessImproved_Number,AFG
89.72,100.1,99.83,2068,WaterAccessImproved_Number,AFG
91.05,101.0,100.7,2069,WaterAccessImproved_Number,AFG
92.35,101.8,101.5,2070,WaterAccessImproved_Number,AFG
93.63,102.6,102.3,2071,WaterAccessImproved_Number,AFG
94.89,103.3,103.0,2072,WaterAccessImproved_Number,AFG
96.12,104.0,103.7,2073,WaterAccessImproved_Number,AFG
97.33,104.6,104.3,2074,WaterAccessImproved_Number,AFG
98.52,105.2,104.9,2075,WaterAccessImproved_Number,AFG
99.69,105.8,105.4,2076,WaterAccessImproved_Number,AFG
100.8,106.3,105.9,2077,WaterAccessImproved_Number,AFG
102.0,106.8,106.4,2078,WaterAccessImproved_Number,AFG
103.1,107.3,106.9,2079,WaterAccessImproved_Number,AFG
104.2,107.7,107.3,2080,WaterAccessImproved_Number,AFG
105.3,108.1,107.7,2081,WaterAccessImproved_Number,AFG
106.4,108.6,108.1,2082,WaterAccessImproved_Number,AFG
107.5,108.9,108.5,2083,WaterAccessImproved_Number,AFG
108.5,109.3,108.9,2084,WaterAccessImproved_Number,AFG
109.5,109.7,109.2,2085,WaterAccessImproved_Number,AFG
110.5,110.0,109.6,2086,WaterAccessImproved_Number,AFG
111.5,110.3,109.9,2087,WaterAccessImproved_Number,AFG
112.4,110.6,110.2,2088,WaterAccessImproved_Number,AFG
113.2,110.8,110.4,2089,WaterAccessImproved_Number,AFG
114.0,111.1,110.7,2090,WaterAccessImproved_Number,AFG
114.8,111.3,110.9,2091,WaterAccessImproved_Number,AFG
115.5,111.5,111.1,2092,WaterAccessImproved_Number,AFG
116.2,111.7,111.2,2093,WaterAccessImproved_Number,AFG
116.9,111.8,111.4,2094,WaterAccessImproved_Number,AFG
117.6,112.0,111.5,2095,WaterAccessImproved_Number,AFG
118.3,112.1,111.6,2096,WaterAccessImproved_Number,AFG
119.1,112.1,111.7,2097,WaterAccessImproved_Number,AFG
119.7,112.2,111.7,2098,WaterAccessImproved_Number,AFG
120.3,112.2,111.7,2099,WaterAccessImproved_Number,AFG
120.9,112.2,111.7,2100,WaterAccessImproved_Number,AFG
21.41,21.41,21.41,2019,WaterAccessImproved_Number,AGO
22.25,22.25,22.25,2020,WaterAccessImproved_Number,AGO
22.98,22.98,22.98,2021,WaterAccessImproved_Number,AGO
23.76,23.76,23.76,2022,WaterAccessImproved_Number,AGO
24.7,24.7,24.7,2023,WaterAccessImproved_Number,AGO
25.61,25.61,25.61,2024,WaterAccessImproved_Number,AGO
26.61,26.66,26.66,2025,WaterAccessImproved_Number,AGO
27.61,27.83,27.83,2026,WaterAccessImproved_Number,AGO
28.63,29.14,29.14,2027,WaterAccessImproved_Number,AGO
29.68,30.62,30.62,2028,WaterAccessImproved_Number,AGO
30.82,32.26,32.26,2029,WaterAccessImproved_Number,AGO
32.02,34.05,34.04,2030,WaterAccessImproved_Number,AGO
33.25,35.95,35.93,2031,WaterAccessImproved_Number,AGO
34.49,37.96,37.93,2032,WaterAccessImproved_Number,AGO
35.75,40.04,40.01,2033,WaterAccessImproved_Number,AGO
37.01,42.16,42.14,2034,WaterAccessImproved_Number,AGO
38.28,44.31,44.31,2035,WaterAccessImproved_Number,AGO
39.57,46.47,46.5,2036,WaterAccessImproved_Number,AGO
40.87,48.62,48.68,2037,WaterAccessImproved_Number,AGO
42.21,50.75,50.85,2038,WaterAccessImproved_Number,AGO
43.6,52.88,52.99,2039,WaterAccessImproved_Number,AGO
45.04,54.99,55.11,2040,WaterAccessImproved_Number,AGO
46.53,57.09,57.21,2041,WaterAccessImproved_Number,AGO
48.07,59.17,59.28,2042,WaterAccessImproved_Number,AGO
49.65,61.22,61.31,2043,WaterAccessImproved_Number,AGO
51.26,63.24,63.31,2044,WaterAccessImproved_Number,AGO
52.88,65.22,65.26,2045,WaterAccessImproved_Number,AGO
54.52,67.14,67.15,2046,WaterAccessImproved_Number,AGO
56.15,68.99,68.97,2047,WaterAccessImproved_Number,AGO
57.79,70.79,70.73,2048,WaterAccessImproved_Number,AGO
59.43,72.51,72.42,2049,WaterAccessImproved_Number,AGO
61.06,74.17,74.05,2050,WaterAccessImproved_Number,AGO
