Baseline,SDG Push,JET SDG,Year,indicator,Country/Region
74.35,74.35,74.35,2019,WaterAccessImproved_Percent,AFG
74.9,74.9,74.9,2020,WaterAccessImproved_Percent,AFG
75.62,75.62,75.62,2021,WaterAccessImproved_Percent,AFG
76.27,76.27,76.27,2022,WaterAccessImproved_Percent,AFG
76.98,76.98,76.98,2023,WaterAccessImproved_Percent,AFG
77.74,77.74,77.74,2024,WaterAccessImproved_Percent,AFG
78.46,78.46,78.46,2025,WaterAccessImproved_Percent,AFG
79.08,79.08,79.08,2026,WaterAccessImproved_Percent,AFG
79.52,79.52,79.52,2027,WaterAccessImproved_Percent,AFG
79.73,79.73,79.73,2028,WaterAccessImproved_Percent,AFG
79.71,79.7,79.7,2029,WaterAccessImproved_Percent,AFG
79.48,79.86,79.86,2030,WaterAccessImproved_Percent,AFG
79.07,80.22,80.23,2031,WaterAccessImproved_Percent,AFG
78.8,80.76,80.78,2032,WaterAccessImproved_Percent,AFG
78.66,81.52,81.54,2033,WaterAccessImproved_Percent,AFG
78.6,82.45,82.47,2034,WaterAccessImproved_Percent,AFG
78.54,83.51,83.53,2035,WaterAccessImproved_Percent,AFG
78.5,84.61,84.63,2036,WaterAccessImproved_Percent,AFG
78.51,85.69,85.71,2037,WaterAccessImproved_Percent,AFG
78.59,86.73,86.74,2038,WaterAccessImproved_Percent,AFG
78.7,87.7,87.72,2039,WaterAccessImproved_Percent,AFG
78.82,88.6,88.64,2040,WaterAccessImproved_Percent,AFG
78.92,89.47,89.52,2041,WaterAccessImproved_Percent,AFG
78.95,90.32,90.39,2042,WaterAccessImproved_Percent,AFG
79.08,91.17,91.26,2043,WaterAccessImproved_Percent,AFG
79.31,92.03,92.14,2044,WaterAccessImproved_Percent,AFG
79.51,92.9,93.03,2045,WaterAccessImproved_Percent,AFG
79.7,93.76,93.91,2046,WaterAccessImproved_Percent,AFG
79.87,94.61,94.77,2047,WaterAccessImproved_Percent,AFG
80.0,95.42,95.58,2048,WaterAccessImproved_Percent,AFG
80.11,96.17,96.32,2049,WaterAccessImproved_Percent,AFG
80.22,96.84,96.99,2050,WaterAccessImproved_Percent,AFG
80.35,97.44,97.58,2051,WaterAccessImproved_Percent,AFG
80.5,97.96,98.09,2052,WaterAccessImproved_Percent,AFG
80.67,98.4,98.51,2053,WaterAccessImproved_Percent,AFG
80.87,98.77,98.86,2054,WaterAccessImproved_Percent,AFG
81.07,99.06,99.14,2055,WaterAccessImproved_Percent,AFG
81.29,99.29,99.35,2056,WaterAccessImproved_Percent,AFG
81.51,99.47,99.52,2057,WaterAccessImproved_Percent,AFG
81.74,99.6,99.65,2058,WaterAccessImproved_Percent,AFG
81.95,99.71,99.74,2059,WaterAccessImproved_Percent,AFG
82.17,99.79,99.82,2060,WaterAccessImproved_Percent,AFG
82.37,99.85,99.87,2061,WaterAccessImproved_Percent,AFG
82.57,99.89,99.91,2062,WaterAccessImproved_Percent,AFG
82.77,99.93,99.94,2063,WaterAccessImproved_Percent,AFG
82.98,99.95,99.96,2064,WaterAccessImproved_Percent,AFG
83.19,99.97,99.97,2065,WaterAccessImproved_Percent,AFG
83.41,99.98,99.98,2066,WaterAccessImproved_Percent,AFG
83.64,99.98,99.99,2067,WaterAccessImproved_Percent,AFG
83.88,99.99,99.99,2068,WaterAccessImproved_Percent,AFG
84.11,99.99,99.99,2069,WaterAccessImproved_Percent,AFG
84.35,100.0,100.0,2070,WaterAccessImproved_Percent,AFG
84.58,100.0,100.0,2071,WaterAccessImproved_Percent,AFG
84.81,100.0,100.0,2072,WaterAccessImproved_Percent,AFG
85.04,100.0,100.0,2073,WaterAccessImproved_Percent,AFG
85.27,100.0,100.0,2074,WaterAccessImproved_Percent,AFG
85.5,100.0,100.0,2075,WaterAccessImproved_Percent,AFG
85.73,100.0,100.0,2076,WaterAccessImproved_Percent,AFG
85.96,100.0,100.0,2077,WaterAccessImproved_Percent,AFG
86.2,100.0,100.0,2078,WaterAccessImproved_Percent,AFG
86.45,100.0,100.0,2079,WaterAccessImproved_Percent,AFG
86.71,100.0,100.0,2080,WaterAccessImproved_Percent,AFG
87.01,100.0,100.0,2081,WaterAccessImproved_Percent,AFG
87.31,100.0,100.0,2082,WaterAccessImproved_Percent,AFG
87.62,100.0,100.0,2083,WaterAccessImproved_Percent,AFG
87.93,100.0,100.0,2084,WaterAccessImproved_Percent,AFG
88.25,100.0,100.0,2085,WaterAccessImproved_Percent,AFG
88.56,100.0,100.0,2086,WaterAccessImproved_Percent,AFG
88.86,100.0,100.0,2087,WaterAccessImproved_Percent,AFG
89.15,100.0,100.0,2088,WaterAccessImproved_Percent,AFG
89.43,100.0,100.0,2089,WaterAccessImproved_Percent,AFG
89.71,100.0,100.0,2090,WaterAccessImproved_Percent,AFG
89.98,100.0,100.0,2091,WaterAccessImproved_Percent,AFG
90.24,100.0,100.0,2092,WaterAccessImproved_Percent,AFG
90.5,100.0,100.0,2093,WaterAccessImproved_Percent,AFG
90.82,100.0,100.0,2094,WaterAccessImproved_Percent,AFG
91.14,100.0,100.0,2095,WaterAccessImproved_Percent,AFG
91.45,100.0,100.0,2096,WaterAccessImproved_Percent,AFG
91.9,100.0,100.0,2097,WaterAccessImproved_Percent,AFG
92.19,100.0,100.0,2098,WaterAccessImproved_Percent,AFG
