Year,Indicator,JET8,JETSDG,NDC cond.,NDC uncon.,Base,
2019,GDPPCP,6.554,6.554,6.554,6.554,6.554,
2020,GDPPCP,6.137,6.137,6.137,6.137,6.137,
2021,GDPPCP,6.374,6.374,6.374,6.374,6.374,
2022,GDPPCP,6.644,6.644,6.644,6.644,6.644,
2023,GDPPCP,6.8,6.8,6.8,6.8,6.8,
2024,GDPPCP,6.944,6.94,6.944,6.944,6.944,
2025,GDPPCP,7.125,7.119,7.122,7.126,7.126,
2026,GDPPCP,7.314,7.307,7.308,7.309,7.314,
2027,GDPPCP,7.477,7.494,7.493,7.493,7.477,
2028,GDPPCP,7.635,7.671,7.669,7.667,7.634,
2029,GDPPCP,7.803,7.863,7.855,7.85,7.796,
2030,GDPPCP,7.977,8.066,8.058,8.042,7.96,
2031,GDPPCP,8.161,8.282,8.251,8.237,8.127,
2032,GDPPCP,8.353,8.507,8.462,8.447,8.306,
2033,GDPPCP,8.553,8.743,8.687,8.67,8.493,
2034,GDPPCP,8.758,8.987,8.923,8.903,8.685,
2035,GDPPCP,8.969,9.243,9.169,9.146,8.885,
2036,GDPPCP,9.186,9.51,9.425,9.4,9.091,
2037,GDPPCP,9.409,9.789,9.692,9.663,9.304,
2038,GDPPCP,9.639,10.08,9.974,9.939,9.525,
2039,GDPPCP,9.877,10.37,10.27,10.23,9.753,
2040,GDPPCP,10.12,10.68,10.57,10.52,9.987,
2041,GDPPCP,10.37,11,10.88,10.83,10.23,
2042,GDPPCP,10.63,11.33,11.21,11.15,10.47,
2043,GDPPCP,10.9,11.68,11.56,11.48,10.72,
2044,GDPPCP,11.17,12.03,11.91,11.82,10.97,
2045,GDPPCP,11.44,12.39,12.28,12.16,11.23,
2046,GDPPCP,11.71,12.76,12.65,12.52,11.48,
2047,GDPPCP,11.99,13.14,13.04,12.89,11.74,
2048,GDPPCP,12.28,13.53,13.43,13.27,12.01,
2049,GDPPCP,12.57,13.93,13.83,13.65,12.28,
2050,GDPPCP,12.86,14.34,14.24,14.05,12.55,
2051,GDPPCP,13.16,14.77,14.66,14.47,12.84,
2052,GDPPCP,13.46,15.2,15.09,14.89,13.12,
2053,GDPPCP,13.77,15.64,15.54,15.33,13.41,
2054,GDPPCP,14.08,16.09,16,15.78,13.71,
2055,GDPPCP,14.4,16.56,16.47,16.25,14.02,
2056,GDPPCP,14.72,17.03,16.96,16.73,14.33,
2057,GDPPCP,15.05,17.54,17.48,17.23,14.65,
2058,GDPPCP,15.38,18.06,18.01,17.75,14.97,
2059,GDPPCP,15.73,18.61,18.57,18.3,15.31,
2060,GDPPCP,16.09,19.19,19.15,18.86,15.64,
2061,GDPPCP,16.46,19.79,19.76,19.46,15.99,
2062,GDPPCP,16.84,20.42,20.39,20.08,16.34,
2063,GDPPCP,17.23,21.07,21.05,20.73,16.71,
2064,GDPPCP,17.63,21.76,21.73,21.4,17.08,
2065,GDPPCP,18.04,22.46,22.44,22.1,17.47,
2066,GDPPCP,18.45,23.2,23.18,22.83,17.86,
2067,GDPPCP,18.88,23.96,23.95,23.59,18.27,
2068,GDPPCP,19.33,24.76,24.75,24.37,18.69,
2069,GDPPCP,19.8,25.59,25.58,25.19,19.13,
2070,GDPPCP,20.28,26.45,26.45,26.04,19.59,
2071,GDPPCP,20.77,27.34,27.35,26.92,20.07,
2072,GDPPCP,21.28,28.27,28.27,27.82,20.56,
2073,GDPPCP,21.8,29.22,29.23,28.75,21.07,
2074,GDPPCP,22.34,30.2,30.22,29.71,21.59,
2075,GDPPCP,22.89,31.21,31.23,30.7,22.12,
2076,GDPPCP,23.46,32.24,32.26,31.71,22.66,
2077,GDPPCP,24.04,33.31,33.32,32.76,23.22,
2078,GDPPCP,24.64,34.38,34.41,33.83,23.8,
2079,GDPPCP,25.25,35.51,35.53,34.93,24.38,
2080,GDPPCP,25.87,36.65,36.66,36.05,24.99,
2081,GDPPCP,26.52,37.83,37.83,37.2,25.61,
2082,GDPPCP,27.17,39.03,39.02,38.38,26.24,
2083,GDPPCP,27.85,40.24,40.25,39.59,26.9,
2084,GDPPCP,28.54,41.48,41.5,40.83,27.57,
2085,GDPPCP,29.25,42.75,42.78,42.09,28.26,
2086,GDPPCP,29.98,44.04,44.09,43.39,28.97,
2087,GDPPCP,30.73,45.37,45.43,44.72,29.69,
2088,GDPPCP,31.49,46.71,46.81,46.07,30.44,
2089,GDPPCP,32.27,48.08,48.21,47.45,31.2,
2090,GDPPCP,33.07,49.47,49.63,48.87,31.98,
2091,GDPPCP,33.88,50.89,51.08,50.3,32.77,
2092,GDPPCP,34.7,52.32,52.56,51.77,33.56,
2093,GDPPCP,35.52,53.81,54.14,53.26,34.37,
2094,GDPPCP,36.36,55.37,55.74,54.86,35.18,
2095,GDPPCP,37.19,56.94,57.35,56.48,36.01,
2096,GDPPCP,38.04,58.51,58.99,58.11,36.85,
2097,GDPPCP,38.89,60.1,60.63,59.75,37.69,
2098,GDPPCP,39.76,61.68,62.29,61.39,38.55,
2099,GDPPCP,40.58,63.19,63.87,62.95,39.36,
2100,GDPPCP,41.41,64.71,65.48,64.53,40.19,
2019,INCOMELT215LN,375.4,375.4,375.4,375.4,375.4,
2020,INCOMELT215LN,398.8,398.8,398.8,398.8,398.8,
2021,INCOMELT215LN,373.2,373.2,373.2,373.2,373.2,
2022,INCOMELT215LN,369.1,369.1,369.1,369.1,369.1,
2023,INCOMELT215LN,354.7,354.7,354.7,354.7,354.7,
2024,INCOMELT215LN,339.4,331,341.5,339.4,339.4,
2025,INCOMELT215LN,326,311.3,321.7,326.1,326,
2026,INCOMELT215LN,313.4,294.7,304.6,305.8,313.3,
2027,INCOMELT215LN,314.1,290.2,301.5,299.3,314.2,
2028,INCOMELT215LN,303.4,275.9,288,284,304.5,
2029,INCOMELT215LN,287.7,257.3,270.2,266,290.7,
2030,INCOMELT215LN,272.8,239.6,249.8,249.4,277.9,
2031,INCOMELT215LN,259.3,222.9,239,235.2,266.8,
2032,INCOMELT215LN,249.5,209.8,226.8,222.7,258.7,
2033,INCOMELT215LN,241.8,198.5,216.2,211.1,252.1,
2034,INCOMELT215LN,235.6,188.7,207,200.8,246.5,
2035,INCOMELT215LN,230.6,179.8,198.8,191.3,241.2,
2036,INCOMELT215LN,226.1,171.5,190.6,182.5,236,
2037,INCOMELT215LN,221.7,165.9,181.3,174.4,231,
2038,INCOMELT215LN,217.4,161.1,174.4,166.9,226.3,
2039,INCOMELT215LN,213.4,156.8,167.8,162.3,222.1,
2040,INCOMELT215LN,209.6,152.8,161.2,158.3,218.6,
2041,INCOMELT215LN,206,148.7,154.6,154.4,215.9,
2042,INCOMELT215LN,202.2,144.2,148,150.1,213.4,
2043,INCOMELT215LN,198.4,140.1,141.4,146.1,210.4,
2044,INCOMELT215LN,195.1,136.1,135.5,141.6,207.7,
2045,INCOMELT215LN,192.5,132.2,128.5,136.9,204.9,
2046,INCOMELT215LN,189.7,128.6,121.7,131.9,201.4,
2047,INCOMELT215LN,187,125.1,114.5,127,198.1,
2048,INCOMELT215LN,184.7,121.9,107.4,122.2,194.9,
2049,INCOMELT215LN,183.1,118.3,99.79,116.7,192.3,
2050,INCOMELT215LN,182.3,116.2,94.07,112.5,190.1,
2051,INCOMELT215LN,182.5,114.7,87.8,108.2,188.4,
2052,INCOMELT215LN,183.6,114,82.62,104.1,187.1,
2053,INCOMELT215LN,185,112.3,76.55,99.96,186.1,
2054,INCOMELT215LN,186.4,104.8,72.65,89.43,185.4,
2055,INCOMELT215LN,186.3,103.2,66.92,85.28,184.6,
2056,INCOMELT215LN,184.6,98.97,61.49,80.9,182.4,
2057,INCOMELT215LN,179.7,92.31,55.83,75.77,180.5,
2058,INCOMELT215LN,170.7,83.27,51.16,69.97,176.8,
2059,INCOMELT215LN,156.1,73.34,46.82,62.93,170.6,
2060,INCOMELT215LN,145.1,63.88,42.84,55.39,161.6,
2061,INCOMELT215LN,132.2,55.54,38.88,48.39,150.9,
2062,INCOMELT215LN,120.5,48.35,34.87,42.12,140,
2063,INCOMELT215LN,109.8,42.06,30.86,36.62,126.5,
2064,INCOMELT215LN,100.3,36.52,27.03,31.74,118.5,
2065,INCOMELT215LN,91.64,31.6,23.52,27.35,109.4,
2066,INCOMELT215LN,83.46,27.18,20.34,23.32,101,
2067,INCOMELT215LN,75.65,23.21,17.48,19.8,92.88,
2068,INCOMELT215LN,68.36,19.77,14.98,16.74,85.07,
2069,INCOMELT215LN,61.68,16.79,12.82,14.1,77.59,
2070,INCOMELT215LN,55.74,14.27,10.93,11.87,70.64,
2071,INCOMELT215LN,50.55,12.15,9.314,9.984,64.35,
2072,INCOMELT215LN,46.07,10.4,7.922,8.396,58.72,
2073,INCOMELT215LN,42.21,8.926,6.788,7.076,53.79,
2074,INCOMELT215LN,38.88,7.695,5.776,5.973,49.52,
2075,INCOMELT215LN,35.94,6.647,4.948,5.055,45.72,
2076,INCOMELT215LN,33.27,5.737,4.255,4.297,42.27,
2077,INCOMELT215LN,30.78,4.957,3.67,3.672,39.06,
2078,INCOMELT215LN,28.45,4.292,3.177,3.176,36.05,
2079,INCOMELT215LN,26.4,3.694,2.769,2.747,33.2,
2080,INCOMELT215LN,24.58,3.171,2.43,2.376,30.5,
2081,INCOMELT215LN,22.82,2.727,2.14,2.058,27.99,
2082,INCOMELT215LN,21.17,2.372,1.889,1.792,25.92,
2083,INCOMELT215LN,19.65,2.083,1.676,1.568,24.16,
2084,INCOMELT215LN,18.32,1.837,1.498,1.382,22.54,
2085,INCOMELT215LN,17.15,1.628,1.348,1.23,21.02,
2086,INCOMELT215LN,16.09,1.449,1.221,1.102,19.5,
2087,INCOMELT215LN,15.13,1.294,1.112,0.993,18.06,
2088,INCOMELT215LN,14.24,1.159,1.015,0.896,16.76,
2089,INCOMELT215LN,13.37,1.042,0.933,0.816,15.62,
2090,INCOMELT215LN,12.51,0.941,0.854,0.743,14.56,
2091,INCOMELT215LN,11.62,0.847,0.781,0.677,13.57,
2092,INCOMELT215LN,10.75,0.758,0.715,0.62,12.63,
2093,INCOMELT215LN,9.899,0.679,0.655,0.569,11.71,
2094,INCOMELT215LN,9.091,0.611,0.6,0.524,10.8,
2095,INCOMELT215LN,8.302,0.55,0.55,0.482,9.908,
2096,INCOMELT215LN,7.551,0.498,0.504,0.445,9.025,
2097,INCOMELT215LN,6.858,0.455,0.463,0.41,8.171,
2098,INCOMELT215LN,6.233,0.417,0.425,0.378,7.38,
2099,INCOMELT215LN,5.689,0.384,0.392,0.35,6.686,
2100,INCOMELT215LN,5.203,0.356,0.363,0.324,6.067,
2019,HDI,0.731,0.731,0.731,0.731,0.731,
2020,HDI,0.73,0.73,0.73,0.73,0.73,
2021,HDI,0.735,0.735,0.735,0.735,0.735,
2022,HDI,0.74,0.74,0.74,0.74,0.74,
2023,HDI,0.744,0.744,0.744,0.744,0.744,
2024,HDI,0.748,0.748,0.748,0.748,0.748,
2025,HDI,0.752,0.752,0.752,0.752,0.752,
2026,HDI,0.756,0.757,0.756,0.756,0.756,
2027,HDI,0.76,0.761,0.761,0.761,0.76,
2028,HDI,0.764,0.765,0.765,0.765,0.764,
2029,HDI,0.769,0.77,0.77,0.77,0.769,
2030,HDI,0.774,0.775,0.775,0.775,0.773,
2031,HDI,0.779,0.781,0.78,0.78,0.778,
2032,HDI,0.784,0.786,0.786,0.786,0.784,
2033,HDI,0.789,0.792,0.792,0.792,0.789,
2034,HDI,0.795,0.798,0.798,0.797,0.794,
2035,HDI,0.801,0.804,0.804,0.803,0.8,
2036,HDI,0.806,0.81,0.81,0.809,0.805,
2037,HDI,0.811,0.816,0.815,0.815,0.81,
2038,HDI,0.816,0.822,0.821,0.82,0.816,
2039,HDI,0.822,0.827,0.826,0.826,0.821,
2040,HDI,0.827,0.832,0.832,0.831,0.825,
2041,HDI,0.831,0.838,0.837,0.836,0.83,
2042,HDI,0.836,0.843,0.842,0.841,0.835,
2043,HDI,0.84,0.848,0.847,0.846,0.839,
2044,HDI,0.845,0.852,0.852,0.851,0.843,
2045,HDI,0.849,0.857,0.857,0.855,0.847,
2046,HDI,0.853,0.861,0.861,0.86,0.851,
2047,HDI,0.856,0.866,0.866,0.864,0.855,
2048,HDI,0.86,0.87,0.87,0.868,0.858,
2049,HDI,0.864,0.874,0.874,0.872,0.862,
2050,HDI,0.867,0.878,0.878,0.876,0.865,
2051,HDI,0.871,0.882,0.882,0.88,0.869,
2052,HDI,0.874,0.886,0.886,0.884,0.872,
2053,HDI,0.877,0.889,0.89,0.888,0.875,
2054,HDI,0.88,0.893,0.893,0.892,0.878,
2055,HDI,0.883,0.897,0.897,0.895,0.881,
2056,HDI,0.886,0.9,0.901,0.899,0.884,
2057,HDI,0.889,0.904,0.904,0.903,0.887,
2058,HDI,0.892,0.907,0.908,0.906,0.89,
2059,HDI,0.895,0.911,0.911,0.91,0.893,
2060,HDI,0.898,0.914,0.915,0.913,0.895,
2061,HDI,0.901,0.918,0.918,0.917,0.898,
2062,HDI,0.904,0.921,0.922,0.92,0.901,
2063,HDI,0.906,0.924,0.925,0.924,0.904,
2064,HDI,0.909,0.928,0.928,0.927,0.906,
2065,HDI,0.912,0.931,0.932,0.93,0.909,
2066,HDI,0.914,0.934,0.935,0.933,0.912,
2067,HDI,0.917,0.937,0.938,0.937,0.914,
2068,HDI,0.919,0.94,0.941,0.94,0.916,
2069,HDI,0.922,0.943,0.944,0.943,0.919,
2070,HDI,0.924,0.947,0.947,0.946,0.921,
2071,HDI,0.927,0.949,0.95,0.949,0.924,
2072,HDI,0.929,0.952,0.953,0.952,0.926,
2073,HDI,0.932,0.955,0.956,0.955,0.929,
2074,HDI,0.934,0.958,0.959,0.957,0.931,
2075,HDI,0.936,0.961,0.961,0.96,0.933,
2076,HDI,0.939,0.963,0.964,0.963,0.936,
2077,HDI,0.941,0.966,0.966,0.965,0.938,
2078,HDI,0.943,0.969,0.969,0.968,0.94,
2079,HDI,0.945,0.971,0.971,0.97,0.943,
2080,HDI,0.948,0.973,0.974,0.973,0.945,
2081,HDI,0.95,0.975,0.976,0.975,0.947,
2082,HDI,0.952,0.977,0.977,0.976,0.949,
2083,HDI,0.954,0.978,0.978,0.978,0.951,
2084,HDI,0.956,0.979,0.98,0.979,0.953,
2085,HDI,0.958,0.981,0.981,0.98,0.955,
2086,HDI,0.96,0.982,0.982,0.982,0.957,
2087,HDI,0.962,0.983,0.983,0.983,0.959,
2088,HDI,0.964,0.984,0.985,0.984,0.961,
2089,HDI,0.966,0.986,0.986,0.985,0.963,
2090,HDI,0.968,0.987,0.987,0.987,0.965,
2091,HDI,0.97,0.988,0.988,0.988,0.967,
2092,HDI,0.971,0.989,0.989,0.989,0.969,
2093,HDI,0.973,0.99,0.99,0.99,0.971,
2094,HDI,0.974,0.991,0.991,0.991,0.972,
2095,HDI,0.975,0.992,0.992,0.992,0.973,
2096,HDI,0.976,0.993,0.993,0.993,0.974,
2097,HDI,0.977,0.994,0.994,0.994,0.975,
2098,HDI,0.978,0.995,0.995,0.995,0.976,
2099,HDI,0.978,0.996,0.996,0.996,0.977,
2100,HDI,0.979,0.997,0.997,0.997,0.978,
2019,ENP_oil,2.333,2.333,2.333,2.333,2.333,
2020,ENP_oil,2.276,2.276,2.276,2.276,2.276,
2021,ENP_oil,2.265,2.265,2.265,2.265,2.265,
2022,ENP_oil,2.252,2.252,2.252,2.252,2.252,
2023,ENP_oil,2.195,2.195,2.195,2.195,2.195,
2024,ENP_oil,2.134,2.134,2.134,2.134,2.134,
2025,ENP_oil,2.071,2.071,2.018,2.033,2.071,
2026,ENP_oil,2.004,2.004,1.877,1.931,2.008,
2027,ENP_oil,1.933,1.932,1.75,1.847,1.957,
2028,ENP_oil,1.85,1.848,1.622,1.765,1.915,
2029,ENP_oil,1.755,1.754,1.474,1.673,1.874,
2030,ENP_oil,1.656,1.657,1.309,1.564,1.833,
2031,ENP_oil,1.559,1.563,1.191,1.481,1.794,
2032,ENP_oil,1.466,1.474,1.099,1.395,1.751,
2033,ENP_oil,1.381,1.392,1.013,1.314,1.711,
2034,ENP_oil,1.303,1.319,0.944,1.247,1.665,
2035,ENP_oil,1.233,1.253,0.887,1.19,1.624,
2036,ENP_oil,1.17,1.195,0.837,1.146,1.584,
2037,ENP_oil,1.113,1.142,0.792,1.108,1.547,
2038,ENP_oil,1.059,1.092,0.75,1.073,1.512,
2039,ENP_oil,1.005,1.039,0.71,1.041,1.483,
2040,ENP_oil,0.947,0.981,0.671,1.006,1.45,
2041,ENP_oil,0.887,0.921,0.633,0.969,1.422,
2042,ENP_oil,0.829,0.861,0.595,0.934,1.391,
2043,ENP_oil,0.775,0.805,0.56,0.9,1.366,
2044,ENP_oil,0.726,0.755,0.527,0.868,1.335,
2045,ENP_oil,0.682,0.711,0.5,0.838,1.308,
2046,ENP_oil,0.642,0.672,0.473,0.809,1.279,
