Year,Indicator,JET8,JETSDG,NDC cond.,NDC uncon.,Base,
2019,GDPPCP,16.33,16.33,16.33,16.33,16.33,
2020,GDPPCP,15.78,15.78,15.78,15.78,15.78,
2021,GDPPCP,16.66,16.66,16.66,16.66,16.66,
2022,GDPPCP,16.95,16.95,16.95,16.95,16.95,
2023,GDPPCP,17.39,17.39,17.39,17.39,17.39,
2024,GDPPCP,17.72,17.72,17.72,17.72,17.72,
2025,GDPPCP,18.05,18.04,18.05,18.06,18.06,
2026,GDPPCP,18.38,18.37,18.37,18.37,18.38,
2027,GDPPCP,18.84,18.87,18.87,18.86,18.84,
2028,GDPPCP,19.3,19.38,19.37,19.35,19.29,
2029,GDPPCP,19.79,19.93,19.89,19.85,19.74,
2030,GDPPCP,20.29,20.49,20.42,20.37,20.2,
2031,GDPPCP,20.78,21.06,20.92,20.88,20.66,
2032,GDPPCP,21.3,21.67,21.48,21.43,21.12,
2033,GDPPCP,21.82,22.3,22.04,21.98,21.58,
2034,GDPPCP,22.34,22.94,22.63,22.56,22.05,
2035,GDPPCP,22.85,23.58,23.21,23.14,22.51,
2036,GDPPCP,23.36,24.24,23.81,23.73,22.98,
2037,GDPPCP,23.87,24.92,24.42,24.33,23.45,
2038,GDPPCP,24.39,25.61,25.06,24.95,23.93,
2039,GDPPCP,24.92,26.3,25.7,25.6,24.42,
2040,GDPPCP,25.47,27.02,26.36,26.27,24.93,
2041,GDPPCP,26.04,27.78,27.04,26.95,25.45,
2042,GDPPCP,26.62,28.56,27.75,27.65,25.99,
2043,GDPPCP,27.22,29.36,28.49,28.37,26.54,
2044,GDPPCP,27.82,30.19,29.25,29.11,27.09,
2045,GDPPCP,28.42,31.02,30.03,29.85,27.64,
2046,GDPPCP,29.02,31.88,30.84,30.62,28.2,
2047,GDPPCP,29.62,32.77,31.67,31.41,28.77,
2048,GDPPCP,30.24,33.69,32.53,32.24,29.33,
2049,GDPPCP,30.85,34.6,33.4,33.07,29.89,
2050,GDPPCP,31.45,35.52,34.3,33.94,30.47,
2051,GDPPCP,32.07,36.47,35.23,34.82,31.05,
2052,GDPPCP,32.7,37.43,36.18,35.75,31.65,
2053,GDPPCP,33.33,38.42,37.14,36.7,32.26,
2054,GDPPCP,33.98,39.42,38.14,37.68,32.89,
2055,GDPPCP,34.64,40.45,39.16,38.69,33.54,
2056,GDPPCP,35.32,41.5,40.2,39.73,34.2,
2057,GDPPCP,36.02,42.57,41.27,40.79,34.88,
2058,GDPPCP,36.74,43.66,42.38,41.88,35.58,
2059,GDPPCP,37.47,44.79,43.53,43,36.3,
2060,GDPPCP,38.23,45.97,44.72,44.16,37.05,
2061,GDPPCP,39.01,47.19,45.96,45.37,37.83,
2062,GDPPCP,39.81,48.44,47.24,46.61,38.62,
2063,GDPPCP,40.62,49.72,48.56,47.89,39.41,
2064,GDPPCP,41.44,51,49.9,49.2,40.22,
