HighHDI,LowHDI,Year,Diff
16.24,1.701,2019,14.539
16.28,1.814,2020,14.466
16.03,1.849,2021,14.181
16,1.882,2022,14.118
15.93,1.935,2023,13.995
15.97,1.973,2024,13.997
15.85,2.025,2025,13.825
15.73,2.09,2026,13.64
15.59,2.162,2027,13.428
15.55,2.237,2028,13.313
15.52,2.317,2029,13.203
15.52,2.4,2030,13.12
15.53,2.485,2031,13.045
15.55,2.573,2032,12.977
15.58,2.663,2033,12.917
15.62,2.754,2034,12.866
15.64,2.848,2035,12.792
15.66,2.944,2036,12.716
15.4,3.038,2037,12.362
15.12,3.134,2038,11.986
14.83,3.233,2039,11.597
14.57,3.335,2040,11.235
14.3,3.441,2041,10.859
14.03,3.549,2042,10.481
13.75,3.662,2043,10.088
13.46,3.777,2044,9.683
13.16,3.895,2045,9.265
12.84,4.016,2046,8.824
13,4.158,2047,8.842
13.16,4.305,2048,8.855
13.33,4.455,2049,8.875
13.49,4.611,2050,8.879
13.65,4.769,2051,8.881
13.83,4.929,2052,8.901
13.99,5.09,2053,8.9
14.15,5.253,2054,8.897
14.29,5.417,2055,8.873
14.3,5.576,2056,8.724
14.31,5.74,2057,8.57
14.32,5.911,2058,8.409
14.33,6.088,2059,8.242
14.33,6.231,2060,8.099
14.34,6.38,2061,7.96
14.36,6.535,2062,7.825
14.38,6.695,2063,7.685
14.4,6.861,2064,7.539
14.42,7.033,2065,7.387
14.44,7.212,2066,7.228
14.45,7.393,2067,7.057
14.46,7.576,2068,6.884
14.46,7.761,2069,6.699
14.46,7.951,2070,6.509
14.45,8.14,2071,6.31
14.43,8.332,2072,6.098
14.39,8.523,2073,5.867
14.35,8.739,2074,5.611
14.29,8.957,2075,5.333
14.23,9.178,2076,5.052
14.16,9.401,2077,4.759
14.08,9.628,2078,4.452
14,9.858,2079,4.142
13.92,10.09,2080,3.83
13.83,10.32,2081,3.51
13.75,10.56,2082,3.19
13.66,10.8,2083,2.86
13.57,11.05,2084,2.52
13.47,11.32,2085,2.15
13.38,11.59,2086,1.79
13.29,11.87,2087,1.42
13.2,12.16,2088,1.04
13.1,12.46,2089,0.64
12.99,12.76,2090,0.23
12.88,13.07,2091,-0.19
13.05,13.41,2092,-0.36
13.23,13.75,2093,-0.52
13.4,14.09,2094,-0.69
13.58,14.43,2095,-0.85
13.75,14.77,2096,-1.02
13.91,15.11,2097,-1.2
14.07,15.45,2098,-1.38
14.24,15.7,2099,-1.46
14.28,15.93,2100,-1.65
